 #  energy  real  imag
  0.000000000000000E+000   5.528351      0.0000000E+00
  1.333333333333333E-003   5.529807      0.0000000E+00
  2.666666666666667E-003   5.531264      0.0000000E+00
  4.000000000000000E-003   5.532722      0.0000000E+00
  5.333333333333333E-003   5.534182      0.0000000E+00
  6.666666666666667E-003   5.535643      0.0000000E+00
  8.000000000000000E-003   5.537104      0.0000000E+00
  9.333333333333334E-003   5.538567      0.0000000E+00
  1.066666666666667E-002   5.540030      0.0000000E+00
  1.200000000000000E-002   5.541495      0.0000000E+00
  1.333333333333333E-002   5.542961      0.0000000E+00
  1.466666666666667E-002   5.544428      0.0000000E+00
  1.600000000000000E-002   5.545897      0.0000000E+00
  1.733333333333333E-002   5.547366      0.0000000E+00
  1.866666666666667E-002   5.548836      0.0000000E+00
  2.000000000000000E-002   5.550308      0.0000000E+00
  2.133333333333333E-002   5.551781      0.0000000E+00
  2.266666666666667E-002   5.553254      0.0000000E+00
  2.400000000000000E-002   5.554729      0.0000000E+00
  2.533333333333333E-002   5.556205      0.0000000E+00
  2.666666666666667E-002   5.557683      0.0000000E+00
  2.800000000000000E-002   5.559161      0.0000000E+00
  2.933333333333333E-002   5.560640      0.0000000E+00
  3.066666666666666E-002   5.562121      0.0000000E+00
  3.200000000000000E-002   5.563602      0.0000000E+00
  3.333333333333333E-002   5.565085      0.0000000E+00
  3.466666666666667E-002   5.566569      0.0000000E+00
  3.600000000000000E-002   5.568054      0.0000000E+00
  3.733333333333334E-002   5.569541      0.0000000E+00
  3.866666666666667E-002   5.571028      0.0000000E+00
  4.000000000000000E-002   5.572516      0.0000000E+00
  4.133333333333333E-002   5.574006      0.0000000E+00
  4.266666666666667E-002   5.575497      0.0000000E+00
  4.400000000000000E-002   5.576989      0.0000000E+00
  4.533333333333334E-002   5.578482      0.0000000E+00
  4.666666666666667E-002   5.579976      0.0000000E+00
  4.800000000000000E-002   5.581471      0.0000000E+00
  4.933333333333333E-002   5.582968      0.0000000E+00
  5.066666666666667E-002   5.584466      0.0000000E+00
  5.200000000000000E-002   5.585964      0.0000000E+00
  5.333333333333334E-002   5.587464      0.0000000E+00
  5.466666666666667E-002   5.588965      0.0000000E+00
  5.600000000000000E-002   5.590468      0.0000000E+00
  5.733333333333333E-002   5.591971      0.0000000E+00
  5.866666666666667E-002   5.593476      0.0000000E+00
  6.000000000000000E-002   5.594982      0.0000000E+00
  6.133333333333333E-002   5.596488      0.0000000E+00
  6.266666666666666E-002   5.597997      0.0000000E+00
  6.400000000000000E-002   5.599506      0.0000000E+00
  6.533333333333333E-002   5.601017      0.0000000E+00
  6.666666666666667E-002   5.602528      0.0000000E+00
  6.800000000000000E-002   5.604041      0.0000000E+00
  6.933333333333333E-002   5.605555      0.0000000E+00
  7.066666666666667E-002   5.607070      0.0000000E+00
  7.199999999999999E-002   5.608586      0.0000000E+00
  7.333333333333333E-002   5.610104      0.0000000E+00
  7.466666666666667E-002   5.611623      0.0000000E+00
  7.600000000000000E-002   5.613142      0.0000000E+00
  7.733333333333334E-002   5.614664      0.0000000E+00
  7.866666666666666E-002   5.616186      0.0000000E+00
  8.000000000000000E-002   5.617709      0.0000000E+00
  8.133333333333333E-002   5.619234      0.0000000E+00
  8.266666666666667E-002   5.620760      0.0000000E+00
  8.400000000000001E-002   5.622287      0.0000000E+00
  8.533333333333333E-002   5.623815      0.0000000E+00
  8.666666666666667E-002   5.625344      0.0000000E+00
  8.799999999999999E-002   5.626875      0.0000000E+00
  8.933333333333333E-002   5.628407      0.0000000E+00
  9.066666666666667E-002   5.629940      0.0000000E+00
  9.200000000000000E-002   5.631474      0.0000000E+00
  9.333333333333334E-002   5.633009      0.0000000E+00
  9.466666666666666E-002   5.634546      0.0000000E+00
  9.600000000000000E-002   5.636084      0.0000000E+00
  9.733333333333333E-002   5.637623      0.0000000E+00
  9.866666666666667E-002   5.639163      0.0000000E+00
