 #  energy  x  y  z  sp  sm
         0.0000         0.1626         0.0903         0.0000         0.1287         0.1288
         0.0013         0.1626         0.0903         0.0000         0.1288         0.1289
         0.0027         0.1627         0.0904         0.0000         0.1288         0.1289
         0.0040         0.1627         0.0904         0.0000         0.1289         0.1290
         0.0053         0.1628         0.0904         0.0000         0.1289         0.1290
         0.0067         0.1628         0.0905         0.0000         0.1289         0.1290
         0.0080         0.1628         0.0905         0.0000         0.1290         0.1291
         0.0093         0.1629         0.0905         0.0000         0.1290         0.1291
         0.0107         0.1629         0.0906         0.0000         0.1291         0.1292
         0.0120         0.1630         0.0906         0.0000         0.1291         0.1292
         0.0133         0.1630         0.0906         0.0000         0.1291         0.1292
         0.0147         0.1631         0.0907         0.0000         0.1292         0.1293
         0.0160         0.1631         0.0907         0.0000         0.1292         0.1293
         0.0173         0.1632         0.0907         0.0000         0.1293         0.1294
         0.0187         0.1632         0.0908         0.0000         0.1293         0.1294
         0.0200         0.1632         0.0908         0.0000         0.1294         0.1294
         0.0213         0.1633         0.0908         0.0000         0.1294         0.1295
         0.0227         0.1633         0.0909         0.0000         0.1294         0.1295
         0.0240         0.1634         0.0909         0.0000         0.1295         0.1296
         0.0253         0.1634         0.0909         0.0000         0.1295         0.1296
         0.0267         0.1635         0.0910         0.0000         0.1296         0.1297
         0.0280         0.1635         0.0910         0.0000         0.1296         0.1297
         0.0293         0.1636         0.0911         0.0000         0.1296         0.1297
         0.0307         0.1636         0.0911         0.0000         0.1297         0.1298
         0.0320         0.1636         0.0911         0.0000         0.1297         0.1298
         0.0333         0.1637         0.0912         0.0000         0.1298         0.1299
         0.0347         0.1637         0.0912         0.0000         0.1298         0.1299
         0.0360         0.1638         0.0912         0.0000         0.1298         0.1299
         0.0373         0.1638         0.0913         0.0000         0.1299         0.1300
         0.0387         0.1639         0.0913         0.0000         0.1299         0.1300
         0.0400         0.1639         0.0913         0.0000         0.1300         0.1301
         0.0413         0.1640         0.0914         0.0000         0.1300         0.1301
         0.0427         0.1640         0.0914         0.0000         0.1301         0.1301
         0.0440         0.1641         0.0914         0.0000         0.1301         0.1302
         0.0453         0.1641         0.0915         0.0000         0.1301         0.1302
         0.0467         0.1641         0.0915         0.0000         0.1302         0.1303
         0.0480         0.1642         0.0915         0.0000         0.1302         0.1303
         0.0493         0.1642         0.0916         0.0000         0.1303         0.1304
         0.0507         0.1643         0.0916         0.0000         0.1303         0.1304
         0.0520         0.1643         0.0917         0.0000         0.1303         0.1304
         0.0533         0.1644         0.0917         0.0000         0.1304         0.1305
         0.0547         0.1644         0.0917         0.0000         0.1304         0.1305
         0.0560         0.1645         0.0918         0.0000         0.1305         0.1306
         0.0573         0.1645         0.0918         0.0000         0.1305         0.1306
         0.0587         0.1646         0.0918         0.0000         0.1306         0.1306
         0.0600         0.1646         0.0919         0.0000         0.1306         0.1307
         0.0613         0.1646         0.0919         0.0000         0.1306         0.1307
         0.0627         0.1647         0.0919         0.0000         0.1307         0.1308
         0.0640         0.1647         0.0920         0.0000         0.1307         0.1308
         0.0653         0.1648         0.0920         0.0000         0.1308         0.1309
         0.0667         0.1648         0.0920         0.0000         0.1308         0.1309
         0.0680         0.1649         0.0921         0.0000         0.1308         0.1309
         0.0693         0.1649         0.0921         0.0000         0.1309         0.1310
         0.0707         0.1650         0.0922         0.0000         0.1309         0.1310
         0.0720         0.1650         0.0922         0.0000         0.1310         0.1311
         0.0733         0.1651         0.0922         0.0000         0.1310         0.1311
         0.0747         0.1651         0.0923         0.0000         0.1311         0.1312
         0.0760         0.1652         0.0923         0.0000         0.1311         0.1312
         0.0773         0.1652         0.0923         0.0000         0.1311         0.1312
         0.0787         0.1652         0.0924         0.0000         0.1312         0.1313
         0.0800         0.1653         0.0924         0.0000         0.1312         0.1313
         0.0813         0.1653         0.0924         0.0000         0.1313         0.1314
         0.0827         0.1654         0.0925         0.0000         0.1313         0.1314
         0.0840         0.1654         0.0925         0.0000         0.1313         0.1314
         0.0853         0.1655         0.0926         0.0000         0.1314         0.1315
         0.0867         0.1655         0.0926         0.0000         0.1314         0.1315
         0.0880         0.1656         0.0926         0.0000         0.1315         0.1316
         0.0893         0.1656         0.0927         0.0000         0.1315         0.1316
         0.0907         0.1657         0.0927         0.0000         0.1316         0.1317
         0.0920         0.1657         0.0927         0.0000         0.1316         0.1317
         0.0933         0.1658         0.0928         0.0000         0.1316         0.1317
         0.0947         0.1658         0.0928         0.0000         0.1317         0.1318
         0.0960         0.1658         0.0928         0.0000         0.1317         0.1318
         0.0973         0.1659         0.0929         0.0000         0.1318         0.1319
         0.0987         0.1659         0.0929         0.0000         0.1318         0.1319
         0.1000         0.1660         0.0930         0.0000         0.1319         0.1320
         0.1013         0.1660         0.0930         0.0000         0.1319         0.1320
         0.1027         0.1661         0.0930         0.0000         0.1319         0.1320
         0.1040         0.1661         0.0931         0.0000         0.1320         0.1321
         0.1053         0.1662         0.0931         0.0000         0.1320         0.1321
         0.1067         0.1662         0.0931         0.0000         0.1321         0.1322
         0.1080         0.1663         0.0932         0.0000         0.1321         0.1322
         0.1093         0.1663         0.0932         0.0000         0.1322         0.1323
         0.1107         0.1664         0.0933         0.0000         0.1322         0.1323
         0.1120         0.1664         0.0933         0.0000         0.1322         0.1323
         0.1133         0.1664         0.0933         0.0000         0.1323         0.1324
         0.1147         0.1665         0.0934         0.0000         0.1323         0.1324
         0.1160         0.1665         0.0934         0.0000         0.1324         0.1325
         0.1173         0.1666         0.0934         0.0000         0.1324         0.1325
         0.1187         0.1666         0.0935         0.0000         0.1325         0.1326
         0.1200         0.1667         0.0935         0.0000         0.1325         0.1326
         0.1213         0.1667         0.0935         0.0000         0.1325         0.1326
         0.1227         0.1668         0.0936         0.0000         0.1326         0.1327
         0.1240         0.1668         0.0936         0.0000         0.1326         0.1327
         0.1253         0.1669         0.0937         0.0000         0.1327         0.1328
         0.1267         0.1669         0.0937         0.0000         0.1327         0.1328
         0.1280         0.1670         0.0937         0.0000         0.1328         0.1329
         0.1293         0.1670         0.0938         0.0000         0.1328         0.1329
         0.1307         0.1671         0.0938         0.0000         0.1328         0.1329
         0.1320         0.1671         0.0938         0.0000         0.1329         0.1330
         0.1333         0.1672         0.0939         0.0000         0.1329         0.1330
         0.1347         0.1672         0.0939         0.0000         0.1330         0.1331
         0.1360         0.1672         0.0940         0.0000         0.1330         0.1331
         0.1373         0.1673         0.0940         0.0000         0.1331         0.1332
         0.1387         0.1673         0.0940         0.0000         0.1331         0.1332
         0.1400         0.1674         0.0941         0.0000         0.1331         0.1333
         0.1413         0.1674         0.0941         0.0000         0.1332         0.1333
         0.1427         0.1675         0.0941         0.0000         0.1332         0.1333
         0.1440         0.1675         0.0942         0.0000         0.1333         0.1334
         0.1453         0.1676         0.0942         0.0000         0.1333         0.1334
         0.1467         0.1676         0.0943         0.0000         0.1334         0.1335
         0.1480         0.1677         0.0943         0.0000         0.1334         0.1335
         0.1493         0.1677         0.0943         0.0000         0.1334         0.1336
         0.1507         0.1678         0.0944         0.0000         0.1335         0.1336
         0.1520         0.1678         0.0944         0.0000         0.1335         0.1336
         0.1533         0.1679         0.0944         0.0000         0.1336         0.1337
         0.1547         0.1679         0.0945         0.0000         0.1336         0.1337
         0.1560         0.1680         0.0945         0.0000         0.1337         0.1338
         0.1573         0.1680         0.0946         0.0000         0.1337         0.1338
         0.1587         0.1681         0.0946         0.0000         0.1338         0.1339
         0.1600         0.1681         0.0946         0.0000         0.1338         0.1339
         0.1613         0.1681         0.0947         0.0000         0.1338         0.1340
         0.1627         0.1682         0.0947         0.0000         0.1339         0.1340
         0.1640         0.1682         0.0948         0.0000         0.1339         0.1340
         0.1653         0.1683         0.0948         0.0000         0.1340         0.1341
         0.1667         0.1683         0.0948         0.0000         0.1340         0.1341
         0.1680         0.1684         0.0949         0.0000         0.1341         0.1342
         0.1693         0.1684         0.0949         0.0000         0.1341         0.1342
         0.1707         0.1685         0.0949         0.0000         0.1341         0.1343
         0.1720         0.1685         0.0950         0.0000         0.1342         0.1343
         0.1733         0.1686         0.0950         0.0000         0.1342         0.1343
