 #  energy  x  y  z  sp  sm
         0.0000         2.3512         1.8591         1.0000         2.1192         2.1198
         0.0013         2.3516         1.8593         1.0000         2.1195         2.1201
         0.0027         2.3519         1.8595         1.0000         2.1197         2.1203
         0.0040         2.3522         1.8598         1.0000         2.1200         2.1206
         0.0053         2.3525         1.8600         1.0000         2.1203         2.1209
         0.0067         2.3528         1.8602         1.0000         2.1206         2.1212
         0.0080         2.3531         1.8605         1.0000         2.1208         2.1214
         0.0093         2.3534         1.8607         1.0000         2.1211         2.1217
         0.0107         2.3537         1.8610         1.0000         2.1214         2.1220
         0.0120         2.3540         1.8612         1.0000         2.1217         2.1223
         0.0133         2.3543         1.8614         1.0000         2.1219         2.1226
         0.0147         2.3547         1.8617         1.0000         2.1222         2.1228
         0.0160         2.3550         1.8619         1.0000         2.1225         2.1231
         0.0173         2.3553         1.8621         1.0000         2.1228         2.1234
         0.0187         2.3556         1.8624         1.0000         2.1231         2.1237
         0.0200         2.3559         1.8626         1.0000         2.1233         2.1239
         0.0213         2.3562         1.8629         1.0000         2.1236         2.1242
         0.0227         2.3565         1.8631         1.0000         2.1239         2.1245
         0.0240         2.3568         1.8633         1.0000         2.1242         2.1248
         0.0253         2.3572         1.8636         1.0000         2.1244         2.1251
         0.0267         2.3575         1.8638         1.0000         2.1247         2.1253
         0.0280         2.3578         1.8641         1.0000         2.1250         2.1256
         0.0293         2.3581         1.8643         1.0000         2.1253         2.1259
         0.0307         2.3584         1.8645         1.0000         2.1256         2.1262
         0.0320         2.3587         1.8648         1.0000         2.1258         2.1265
         0.0333         2.3590         1.8650         1.0000         2.1261         2.1267
         0.0347         2.3594         1.8653         1.0000         2.1264         2.1270
         0.0360         2.3597         1.8655         1.0000         2.1267         2.1273
         0.0373         2.3600         1.8657         1.0000         2.1270         2.1276
         0.0387         2.3603         1.8660         1.0000         2.1272         2.1279
         0.0400         2.3606         1.8662         1.0000         2.1275         2.1281
         0.0413         2.3609         1.8665         1.0000         2.1278         2.1284
         0.0427         2.3612         1.8667         1.0000         2.1281         2.1287
         0.0440         2.3616         1.8669         1.0000         2.1284         2.1290
         0.0453         2.3619         1.8672         1.0000         2.1286         2.1293
         0.0467         2.3622         1.8674         1.0000         2.1289         2.1296
         0.0480         2.3625         1.8677         1.0000         2.1292         2.1298
         0.0493         2.3628         1.8679         1.0000         2.1295         2.1301
         0.0507         2.3631         1.8682         1.0000         2.1298         2.1304
         0.0520         2.3635         1.8684         1.0000         2.1300         2.1307
         0.0533         2.3638         1.8686         1.0000         2.1303         2.1310
         0.0547         2.3641         1.8689         1.0000         2.1306         2.1312
         0.0560         2.3644         1.8691         1.0000         2.1309         2.1315
         0.0573         2.3647         1.8694         1.0000         2.1312         2.1318
         0.0587         2.3651         1.8696         1.0000         2.1314         2.1321
         0.0600         2.3654         1.8699         1.0000         2.1317         2.1324
         0.0613         2.3657         1.8701         1.0000         2.1320         2.1327
         0.0627         2.3660         1.8703         1.0000         2.1323         2.1330
         0.0640         2.3663         1.8706         1.0000         2.1326         2.1332
         0.0653         2.3666         1.8708         1.0000         2.1329         2.1335
         0.0667         2.3670         1.8711         1.0000         2.1331         2.1338
         0.0680         2.3673         1.8713         1.0000         2.1334         2.1341
         0.0693         2.3676         1.8716         1.0000         2.1337         2.1344
         0.0707         2.3679         1.8718         1.0000         2.1340         2.1347
         0.0720         2.3682         1.8721         1.0000         2.1343         2.1349
         0.0733         2.3686         1.8723         1.0000         2.1346         2.1352
         0.0747         2.3689         1.8725         1.0000         2.1349         2.1355
         0.0760         2.3692         1.8728         1.0000         2.1351         2.1358
         0.0773         2.3695         1.8730         1.0000         2.1354         2.1361
         0.0787         2.3698         1.8733         1.0000         2.1357         2.1364
         0.0800         2.3702         1.8735         1.0000         2.1360         2.1367
         0.0813         2.3705         1.8738         1.0000         2.1363         2.1370
         0.0827         2.3708         1.8740         1.0000         2.1366         2.1372
         0.0840         2.3711         1.8743         1.0000         2.1369         2.1375
         0.0853         2.3715         1.8745         1.0000         2.1371         2.1378
         0.0867         2.3718         1.8748         1.0000         2.1374         2.1381
         0.0880         2.3721         1.8750         1.0000         2.1377         2.1384
         0.0893         2.3724         1.8753         1.0000         2.1380         2.1387
         0.0907         2.3727         1.8755         1.0000         2.1383         2.1390
         0.0920         2.3731         1.8758         1.0000         2.1386         2.1393
         0.0933         2.3734         1.8760         1.0000         2.1389         2.1395
         0.0947         2.3737         1.8763         1.0000         2.1391         2.1398
         0.0960         2.3740         1.8765         1.0000         2.1394         2.1401
         0.0973         2.3744         1.8767         1.0000         2.1397         2.1404
         0.0987         2.3747         1.8770         1.0000         2.1400         2.1407
         0.1000         2.3750         1.8772         1.0000         2.1403         2.1410
         0.1013         2.3753         1.8775         1.0000         2.1406         2.1413
         0.1027         2.3757         1.8777         1.0000         2.1409         2.1416
         0.1040         2.3760         1.8780         1.0000         2.1412         2.1419
         0.1053         2.3763         1.8782         1.0000         2.1415         2.1422
         0.1067         2.3766         1.8785         1.0000         2.1417         2.1424
         0.1080         2.3770         1.8787         1.0000         2.1420         2.1427
         0.1093         2.3773         1.8790         1.0000         2.1423         2.1430
         0.1107         2.3776         1.8792         1.0000         2.1426         2.1433
         0.1120         2.3779         1.8795         1.0000         2.1429         2.1436
         0.1133         2.3783         1.8797         1.0000         2.1432         2.1439
         0.1147         2.3786         1.8800         1.0000         2.1435         2.1442
         0.1160         2.3789         1.8802         1.0000         2.1438         2.1445
         0.1173         2.3793         1.8805         1.0000         2.1441         2.1448
         0.1187         2.3796         1.8807         1.0000         2.1444         2.1451
         0.1200         2.3799         1.8810         1.0000         2.1447         2.1454
         0.1213         2.3802         1.8813         1.0000         2.1449         2.1457
         0.1227         2.3806         1.8815         1.0000         2.1452         2.1460
         0.1240         2.3809         1.8818         1.0000         2.1455         2.1462
         0.1253         2.3812         1.8820         1.0000         2.1458         2.1465
         0.1267         2.3816         1.8823         1.0000         2.1461         2.1468
         0.1280         2.3819         1.8825         1.0000         2.1464         2.1471
         0.1293         2.3822         1.8828         1.0000         2.1467         2.1474
         0.1307         2.3825         1.8830         1.0000         2.1470         2.1477
         0.1320         2.3829         1.8833         1.0000         2.1473         2.1480
         0.1333         2.3832         1.8835         1.0000         2.1476         2.1483
         0.1347         2.3835         1.8838         1.0000         2.1479         2.1486
         0.1360         2.3839         1.8840         1.0000         2.1482         2.1489
         0.1373         2.3842         1.8843         1.0000         2.1485         2.1492
         0.1387         2.3845         1.8845         1.0000         2.1488         2.1495
         0.1400         2.3849         1.8848         1.0000         2.1490         2.1498
         0.1413         2.3852         1.8851         1.0000         2.1493         2.1501
         0.1427         2.3855         1.8853         1.0000         2.1496         2.1504
         0.1440         2.3858         1.8856         1.0000         2.1499         2.1507
         0.1453         2.3862         1.8858         1.0000         2.1502         2.1510
         0.1467         2.3865         1.8861         1.0000         2.1505         2.1513
         0.1480         2.3868         1.8863         1.0000         2.1508         2.1516
         0.1493         2.3872         1.8866         1.0000         2.1511         2.1519
         0.1507         2.3875         1.8868         1.0000         2.1514         2.1522
         0.1520         2.3878         1.8871         1.0000         2.1517         2.1525
         0.1533         2.3882         1.8874         1.0000         2.1520         2.1528
         0.1547         2.3885         1.8876         1.0000         2.1523         2.1531
         0.1560         2.3888         1.8879         1.0000         2.1526         2.1534
         0.1573         2.3892         1.8881         1.0000         2.1529         2.1537
         0.1587         2.3895         1.8884         1.0000         2.1532         2.1540
         0.1600         2.3898         1.8886         1.0000         2.1535         2.1542
         0.1613         2.3902         1.8889         1.0000         2.1538         2.1545
         0.1627         2.3905         1.8892         1.0000         2.1541         2.1548
         0.1640         2.3908         1.8894         1.0000         2.1544         2.1551
         0.1653         2.3912         1.8897         1.0000         2.1547         2.1554
         0.1667         2.3915         1.8899         1.0000         2.1550         2.1557
         0.1680         2.3919         1.8902         1.0000         2.1553         2.1560
         0.1693         2.3922         1.8904         1.0000         2.1556         2.1563
         0.1707         2.3925         1.8907         1.0000         2.1559         2.1566
         0.1720         2.3929         1.8910         1.0000         2.1562         2.1570
         0.1733         2.3932         1.8912         1.0000         2.1565         2.1573
         0.1747         2.3935         1.8915         1.0000         2.1568         2.1576
