 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         2.3512         1.8591         1.0000         0.0000         0.0000         0.0000
         0.0013         2.3516         1.8593         1.0000         0.0000         0.0000         0.0000
         0.0027         2.3519         1.8595         1.0000         0.0000         0.0000         0.0000
         0.0040         2.3522         1.8598         1.0000         0.0000         0.0000         0.0000
         0.0053         2.3525         1.8600         1.0000         0.0000         0.0000         0.0000
         0.0067         2.3528         1.8602         1.0000         0.0000         0.0000         0.0000
         0.0080         2.3531         1.8605         1.0000         0.0000         0.0000         0.0000
         0.0093         2.3534         1.8607         1.0000         0.0000         0.0000         0.0000
         0.0107         2.3537         1.8610         1.0000         0.0000         0.0000         0.0000
         0.0120         2.3540         1.8612         1.0000         0.0000         0.0000         0.0000
         0.0133         2.3543         1.8614         1.0000         0.0000         0.0000         0.0000
         0.0147         2.3547         1.8617         1.0000         0.0000         0.0000         0.0000
         0.0160         2.3550         1.8619         1.0000         0.0000         0.0000         0.0000
         0.0173         2.3553         1.8621         1.0000         0.0000         0.0000         0.0000
         0.0187         2.3556         1.8624         1.0000         0.0000         0.0000         0.0000
         0.0200         2.3559         1.8626         1.0000         0.0000         0.0000         0.0000
         0.0213         2.3562         1.8629         1.0000         0.0000         0.0000         0.0000
         0.0227         2.3565         1.8631         1.0000         0.0000         0.0000         0.0000
         0.0240         2.3568         1.8633         1.0000         0.0000         0.0000         0.0000
         0.0253         2.3572         1.8636         1.0000         0.0000         0.0000         0.0000
         0.0267         2.3575         1.8638         1.0000         0.0000         0.0000         0.0000
         0.0280         2.3578         1.8641         1.0000         0.0000         0.0000         0.0000
         0.0293         2.3581         1.8643         1.0000         0.0000         0.0000         0.0000
         0.0307         2.3584         1.8645         1.0000         0.0000         0.0000         0.0000
         0.0320         2.3587         1.8648         1.0000         0.0000         0.0000         0.0000
         0.0333         2.3590         1.8650         1.0000         0.0000         0.0000         0.0000
         0.0347         2.3594         1.8653         1.0000         0.0000         0.0000         0.0000
         0.0360         2.3597         1.8655         1.0000         0.0000         0.0000         0.0000
         0.0373         2.3600         1.8657         1.0000         0.0000         0.0000         0.0000
         0.0387         2.3603         1.8660         1.0000         0.0000         0.0000         0.0000
         0.0400         2.3606         1.8662         1.0000         0.0000         0.0000         0.0000
         0.0413         2.3609         1.8665         1.0000         0.0000         0.0000         0.0000
         0.0427         2.3612         1.8667         1.0000         0.0000         0.0000         0.0000
         0.0440         2.3616         1.8669         1.0000         0.0000         0.0000         0.0000
         0.0453         2.3619         1.8672         1.0000         0.0000         0.0000         0.0000
         0.0467         2.3622         1.8674         1.0000         0.0000         0.0000         0.0000
         0.0480         2.3625         1.8677         1.0000         0.0000         0.0000         0.0000
         0.0493         2.3628         1.8679         1.0000         0.0000         0.0000         0.0000
         0.0507         2.3631         1.8682         1.0000         0.0000         0.0000         0.0000
         0.0520         2.3635         1.8684         1.0000         0.0000         0.0000         0.0000
         0.0533         2.3638         1.8686         1.0000         0.0000         0.0000         0.0000
         0.0547         2.3641         1.8689         1.0000         0.0000         0.0000         0.0000
         0.0560         2.3644         1.8691         1.0000         0.0000         0.0000         0.0000
         0.0573         2.3647         1.8694         1.0000         0.0000         0.0000         0.0000
         0.0587         2.3651         1.8696         1.0000         0.0000         0.0000         0.0000
         0.0600         2.3654         1.8699         1.0000         0.0000         0.0000         0.0000
         0.0613         2.3657         1.8701         1.0000         0.0000         0.0000         0.0000
         0.0627         2.3660         1.8703         1.0000         0.0000         0.0000         0.0000
         0.0640         2.3663         1.8706         1.0000         0.0000         0.0000         0.0000
         0.0653         2.3666         1.8708         1.0000         0.0000         0.0000         0.0000
         0.0667         2.3670         1.8711         1.0000         0.0000         0.0000         0.0000
         0.0680         2.3673         1.8713         1.0000         0.0000         0.0000         0.0000
         0.0693         2.3676         1.8716         1.0000         0.0000         0.0000         0.0000
         0.0707         2.3679         1.8718         1.0000         0.0000         0.0000         0.0000
         0.0720         2.3682         1.8721         1.0000         0.0000         0.0000         0.0000
         0.0733         2.3686         1.8723         1.0000         0.0000         0.0000         0.0000
         0.0747         2.3689         1.8725         1.0000         0.0000         0.0000         0.0000
         0.0760         2.3692         1.8728         1.0000         0.0000         0.0000         0.0000
         0.0773         2.3695         1.8730         1.0000         0.0000         0.0000         0.0000
         0.0787         2.3698         1.8733         1.0000         0.0000         0.0000         0.0000
         0.0800         2.3702         1.8735         1.0000         0.0000         0.0000         0.0000
         0.0813         2.3705         1.8738         1.0000         0.0000         0.0000         0.0000
         0.0827         2.3708         1.8740         1.0000         0.0000         0.0000         0.0000
         0.0840         2.3711         1.8743         1.0000         0.0000         0.0000         0.0000
         0.0853         2.3715         1.8745         1.0000         0.0000         0.0000         0.0000
         0.0867         2.3718         1.8748         1.0000         0.0000         0.0000         0.0000
         0.0880         2.3721         1.8750         1.0000         0.0000         0.0000         0.0000
         0.0893         2.3724         1.8753         1.0000         0.0000         0.0000         0.0000
         0.0907         2.3727         1.8755         1.0000         0.0000         0.0000         0.0000
         0.0920         2.3731         1.8758         1.0000         0.0000         0.0000         0.0000
         0.0933         2.3734         1.8760         1.0000         0.0000         0.0000         0.0000
         0.0947         2.3737         1.8763         1.0000         0.0000         0.0000         0.0000
         0.0960         2.3740         1.8765         1.0000         0.0000         0.0000         0.0000
         0.0973         2.3744         1.8767         1.0000         0.0000         0.0000         0.0000
         0.0987         2.3747         1.8770         1.0000         0.0000         0.0000         0.0000
         0.1000         2.3750         1.8772         1.0000         0.0000         0.0000         0.0000
         0.1013         2.3753         1.8775         1.0000         0.0000         0.0000         0.0000
         0.1027         2.3757         1.8777         1.0000         0.0000         0.0000         0.0000
         0.1040         2.3760         1.8780         1.0000         0.0000         0.0000         0.0000
         0.1053         2.3763         1.8782         1.0000         0.0000         0.0000         0.0000
         0.1067         2.3766         1.8785         1.0000         0.0000         0.0000         0.0000
         0.1080         2.3770         1.8787         1.0000         0.0000         0.0000         0.0000
         0.1093         2.3773         1.8790         1.0000         0.0000         0.0000         0.0000
         0.1107         2.3776         1.8792         1.0000         0.0000         0.0000         0.0000
         0.1120         2.3779         1.8795         1.0000         0.0000         0.0000         0.0000
         0.1133         2.3783         1.8797         1.0000         0.0000         0.0000         0.0000
