 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0013         0.0000         0.0000         0.0000       167.3456         0.0000         0.0000
         0.0027         0.0000         0.0000         0.0000       334.7287         0.0000         0.0000
         0.0040         0.0000         0.0000         0.0000       502.1493         0.0000         0.0000
         0.0053         0.0000         0.0000         0.0000       669.6074         0.0000         0.0000
         0.0067         0.0000         0.0000         0.0000       837.1032         0.0000         0.0000
         0.0080         0.0000         0.0000         0.0000      1004.6363         0.0000         0.0000
         0.0093         0.0000         0.0000         0.0000      1172.2072         0.0000         0.0000
         0.0107         0.0000         0.0000         0.0000      1339.8157         0.0000         0.0000
         0.0120         0.0000         0.0000         0.0000      1507.4617         0.0000         0.0000
         0.0133         0.0000         0.0000         0.0000      1675.1458         0.0000         0.0000
         0.0147         0.0000         0.0000         0.0000      1842.8669         0.0000         0.0000
         0.0160         0.0000         0.0000         0.0000      2010.6263         0.0000         0.0000
         0.0173         0.0000         0.0000         0.0000      2178.4233         0.0000         0.0000
         0.0187         0.0000         0.0000         0.0000      2346.2579         0.0000         0.0000
         0.0200         0.0000         0.0000         0.0000      2514.1301         0.0000         0.0000
         0.0213         0.0000         0.0000         0.0000      2682.0400         0.0000         0.0000
         0.0227         0.0000         0.0000         0.0000      2849.9884         0.0000         0.0000
         0.0240         0.0000         0.0000         0.0000      3017.9745         0.0000         0.0000
         0.0253         0.0000         0.0000         0.0000      3185.9972         0.0000         0.0000
         0.0267         0.0000         0.0000         0.0000      3354.0587         0.0000         0.0000
         0.0280         0.0000         0.0000         0.0000      3522.1578         0.0000         0.0000
         0.0293         0.0000         0.0000         0.0000      3690.2959         0.0000         0.0000
         0.0307         0.0000         0.0000         0.0000      3858.4705         0.0000         0.0000
         0.0320         0.0000         0.0000         0.0000      4026.6840         0.0000         0.0000
         0.0333         0.0000         0.0000         0.0000      4194.9353         0.0000         0.0000
         0.0347         0.0000         0.0000         0.0000      4363.2245         0.0000         0.0000
         0.0360         0.0000         0.0000         0.0000      4531.5513         0.0000         0.0000
         0.0373         0.0000         0.0000         0.0000      4699.9159         0.0000         0.0000
         0.0387         0.0000         0.0000         0.0000      4868.3199         0.0000         0.0000
         0.0400         0.0000         0.0000         0.0000      5036.7617         0.0000         0.0000
         0.0413         0.0000         0.0000         0.0000      5205.2397         0.0000         0.0000
         0.0427         0.0000         0.0000         0.0000      5373.7571         0.0000         0.0000
         0.0440         0.0000         0.0000         0.0000      5542.3142         0.0000         0.0000
         0.0453         0.0000         0.0000         0.0000      5710.9074         0.0000         0.0000
         0.0467         0.0000         0.0000         0.0000      5879.5402         0.0000         0.0000
         0.0480         0.0000         0.0000         0.0000      6048.2091         0.0000         0.0000
         0.0493         0.0000         0.0000         0.0000      6216.9178         0.0000         0.0000
         0.0507         0.0000         0.0000         0.0000      6385.6644         0.0000         0.0000
         0.0520         0.0000         0.0000         0.0000      6554.4488         0.0000         0.0000
         0.0533         0.0000         0.0000         0.0000      6723.2734         0.0000         0.0000
         0.0547         0.0000         0.0000         0.0000      6892.1337         0.0000         0.0000
         0.0560         0.0000         0.0000         0.0000      7061.0342         0.0000         0.0000
         0.0573         0.0000         0.0000         0.0000      7229.9727         0.0000         0.0000
         0.0587         0.0000         0.0000         0.0000      7398.9492         0.0000         0.0000
         0.0600         0.0000         0.0000         0.0000      7567.9636         0.0000         0.0000
         0.0613         0.0000         0.0000         0.0000      7737.0160         0.0000         0.0000
         0.0627         0.0000         0.0000         0.0000      7906.1089         0.0000         0.0000
         0.0640         0.0000         0.0000         0.0000      8075.2399         0.0000         0.0000
         0.0653         0.0000         0.0000         0.0000      8244.4089         0.0000         0.0000
         0.0667         0.0000         0.0000         0.0000      8413.6160         0.0000         0.0000
         0.0680         0.0000         0.0000         0.0000      8582.8611         0.0000         0.0000
         0.0693         0.0000         0.0000         0.0000      8752.1443         0.0000         0.0000
         0.0707         0.0000         0.0000         0.0000      8921.4683         0.0000         0.0000
         0.0720         0.0000         0.0000         0.0000      9090.8305         0.0000         0.0000
         0.0733         0.0000         0.0000         0.0000      9260.2308         0.0000         0.0000
         0.0747         0.0000         0.0000         0.0000      9429.6693         0.0000         0.0000
         0.0760         0.0000         0.0000         0.0000      9599.1458         0.0000         0.0000
         0.0773         0.0000         0.0000         0.0000      9768.6605         0.0000         0.0000
         0.0787         0.0000         0.0000         0.0000      9938.2164         0.0000         0.0000
         0.0800         0.0000         0.0000         0.0000     10107.8106         0.0000         0.0000
         0.0813         0.0000         0.0000         0.0000     10277.4429         0.0000         0.0000
         0.0827         0.0000         0.0000         0.0000     10447.1134         0.0000         0.0000
         0.0840         0.0000         0.0000         0.0000     10616.8221         0.0000         0.0000
         0.0853         0.0000         0.0000         0.0000     10786.5725         0.0000         0.0000
         0.0867         0.0000         0.0000         0.0000     10956.3576         0.0000         0.0000
         0.0880         0.0000         0.0000         0.0000     11126.1844         0.0000         0.0000
         0.0893         0.0000         0.0000         0.0000     11296.0495         0.0000         0.0000
         0.0907         0.0000         0.0000         0.0000     11465.9529         0.0000         0.0000
         0.0920         0.0000         0.0000         0.0000     11635.8982         0.0000         0.0000
         0.0933         0.0000         0.0000         0.0000     11805.8781         0.0000         0.0000
         0.0947         0.0000         0.0000         0.0000     11975.9001         0.0000         0.0000
         0.0960         0.0000         0.0000         0.0000     12145.9604         0.0000         0.0000
         0.0973         0.0000         0.0000         0.0000     12316.0590         0.0000         0.0000
         0.0987         0.0000         0.0000         0.0000     12486.1960         0.0000         0.0000
         0.1000         0.0000         0.0000         0.0000     12656.3713         0.0000         0.0000
         0.1013         0.0000         0.0000         0.0000     12826.5890         0.0000         0.0000
         0.1027         0.0000         0.0000         0.0000     12996.8451         0.0000         0.0000
         0.1040         0.0000         0.0000         0.0000     13167.1354         0.0000         0.0000
         0.1053         0.0000         0.0000         0.0000     13337.4725         0.0000         0.0000
         0.1067         0.0000         0.0000         0.0000     13507.8438         0.0000         0.0000
         0.1080         0.0000         0.0000         0.0000     13678.2535         0.0000         0.0000
         0.1093         0.0000         0.0000         0.0000     13848.7060         0.0000         0.0000
         0.1107         0.0000         0.0000         0.0000     14019.1970         0.0000         0.0000
         0.1120         0.0000         0.0000         0.0000     14189.7264         0.0000         0.0000
         0.1133         0.0000         0.0000         0.0000     14360.2944         0.0000         0.0000
         0.1147         0.0000         0.0000         0.0000     14530.9007         0.0000         0.0000
         0.1160         0.0000         0.0000         0.0000     14701.5456         0.0000         0.0000
         0.1173         0.0000         0.0000         0.0000     14872.2336         0.0000         0.0000
         0.1187         0.0000         0.0000         0.0000     15042.9601         0.0000         0.0000
         0.1200         0.0000         0.0000         0.0000     15213.7252         0.0000         0.0000
         0.1213         0.0000         0.0000         0.0000     15384.5289         0.0000         0.0000
         0.1227         0.0000         0.0000         0.0000     15555.3760         0.0000         0.0000
         0.1240         0.0000         0.0000         0.0000     15726.2568         0.0000         0.0000
         0.1253         0.0000         0.0000         0.0000     15897.1811         0.0000         0.0000
         0.1267         0.0000         0.0000         0.0000     16068.1440         0.0000         0.0000
         0.1280         0.0000         0.0000         0.0000     16239.1456         0.0000         0.0000
         0.1293         0.0000         0.0000         0.0000     16410.1857         0.0000         0.0000
         0.1307         0.0000         0.0000         0.0000     16581.2644         0.0000         0.0000
         0.1320         0.0000         0.0000         0.0000     16752.3871         0.0000         0.0000
         0.1333         0.0000         0.0000         0.0000     16923.5484         0.0000         0.0000
         0.1347         0.0000         0.0000         0.0000     17094.7485         0.0000         0.0000
         0.1360         0.0000         0.0000         0.0000     17265.9872         0.0000         0.0000
         0.1373         0.0000         0.0000         0.0000     17437.2645         0.0000         0.0000
         0.1387         0.0000         0.0000         0.0000     17608.5862         0.0000         0.0000
         0.1400         0.0000         0.0000         0.0000     17779.9409         0.0000         0.0000
         0.1413         0.0000         0.0000         0.0000     17951.3400         0.0000         0.0000
         0.1427         0.0000         0.0000         0.0000     18122.7778         0.0000         0.0000
         0.1440         0.0000         0.0000         0.0000     18294.2544         0.0000         0.0000
         0.1453         0.0000         0.0000         0.0000     18465.7756         0.0000         0.0000
         0.1467         0.0000         0.0000         0.0000     18637.3297         0.0000         0.0000
         0.1480         0.0000         0.0000         0.0000     18808.9285         0.0000         0.0000
         0.1493         0.0000         0.0000         0.0000     18980.5661         0.0000         0.0000
         0.1507         0.0000         0.0000         0.0000     19152.2425         0.0000         0.0000
         0.1520         0.0000         0.0000         0.0000     19323.9577         0.0000         0.0000
         0.1533         0.0000         0.0000         0.0000     19495.7179         0.0000         0.0000
         0.1547         0.0000         0.0000         0.0000     19667.5108         0.0000         0.0000
         0.1560         0.0000         0.0000         0.0000     19839.3488         0.0000         0.0000
         0.1573         0.0000         0.0000         0.0000     20011.2256         0.0000         0.0000
         0.1587         0.0000         0.0000         0.0000     20183.1413         0.0000         0.0000
         0.1600         0.0000         0.0000         0.0000     20355.1024         0.0000         0.0000
         0.1613         0.0000         0.0000         0.0000     20527.0959         0.0000         0.0000
         0.1627         0.0000         0.0000         0.0000     20699.1348         0.0000         0.0000
         0.1640         0.0000         0.0000         0.0000     20871.2127         0.0000         0.0000
         0.1653         0.0000         0.0000         0.0000     21043.3295         0.0000         0.0000
         0.1667         0.0000         0.0000         0.0000     21215.4853         0.0000         0.0000
         0.1680         0.0000         0.0000         0.0000     21387.6868         0.0000         0.0000
         0.1693         0.0000         0.0000         0.0000     21559.9205         0.0000         0.0000
         0.1707         0.0000         0.0000         0.0000     21732.2000         0.0000         0.0000
         0.1720         0.0000         0.0000         0.0000     21904.5185         0.0000         0.0000
         0.1733         0.0000         0.0000         0.0000     22076.8761         0.0000         0.0000
         0.1747         0.0000         0.0000         0.0000     22249.2797         0.0000         0.0000
         0.1760         0.0000         0.0000         0.0000     22421.7153         0.0000         0.0000
         0.1773         0.0000         0.0000         0.0000     22594.1971         0.0000         0.0000
         0.1787         0.0000         0.0000         0.0000     22766.7179         0.0000         0.0000
         0.1800         0.0000         0.0000         0.0000     22939.2779         0.0000         0.0000
         0.1813         0.0000         0.0000         0.0000     23111.8769         0.0000         0.0000
         0.1827         0.0000         0.0000         0.0000     23284.5223         0.0000         0.0000
         0.1840         0.0000         0.0000         0.0000     23457.1995         0.0000         0.0000
         0.1853         0.0000         0.0000         0.0000     23629.9233         0.0000         0.0000
         0.1867         0.0000         0.0000         0.0000     23802.6862         0.0000         0.0000
         0.1880         0.0000         0.0000         0.0000     23975.4882         0.0000         0.0000
         0.1893         0.0000         0.0000         0.0000     24148.3371         0.0000         0.0000
         0.1907         0.0000         0.0000         0.0000     24321.2175         0.0000         0.0000
         0.1920         0.0000         0.0000         0.0000     24494.1447         0.0000         0.0000
         0.1933         0.0000         0.0000         0.0000     24667.1112         0.0000         0.0000
         0.1947         0.0000         0.0000         0.0000     24840.1169         0.0000         0.0000
         0.1960         0.0000         0.0000         0.0000     25013.1619         0.0000         0.0000
         0.1973         0.0000         0.0000         0.0000     25186.2539         0.0000         0.0000
         0.1987         0.0000         0.0000         0.0000     25359.3773         0.0000         0.0000
         0.2000         0.0000         0.0000         0.0000     25532.5480         0.0000         0.0000
         0.2013         0.0000         0.0000         0.0000     25705.7579         0.0000         0.0000
         0.2027         0.0000         0.0000         0.0000     25879.0153         0.0000         0.0000
