 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         1.2390         0.0000         0.0000
         0.0013         0.0000         0.0000         0.0000         1.2392         0.0000         0.0000
         0.0027         0.0000         0.0000         0.0000         1.2393         0.0000         0.0000
         0.0040         0.0000         0.0000         0.0000         1.2394         0.0000         0.0000
         0.0053         0.0000         0.0000         0.0000         1.2396         0.0000         0.0000
         0.0067         0.0000         0.0000         0.0000         1.2397         0.0000         0.0000
         0.0080         0.0000         0.0000         0.0000         1.2398         0.0000         0.0000
         0.0093         0.0000         0.0000         0.0000         1.2400         0.0000         0.0000
         0.0107         0.0000         0.0000         0.0000         1.2401         0.0000         0.0000
         0.0120         0.0000         0.0000         0.0000         1.2403         0.0000         0.0000
         0.0133         0.0000         0.0000         0.0000         1.2404         0.0000         0.0000
         0.0147         0.0000         0.0000         0.0000         1.2405         0.0000         0.0000
         0.0160         0.0000         0.0000         0.0000         1.2407         0.0000         0.0000
         0.0173         0.0000         0.0000         0.0000         1.2408         0.0000         0.0000
         0.0187         0.0000         0.0000         0.0000         1.2410         0.0000         0.0000
         0.0200         0.0000         0.0000         0.0000         1.2411         0.0000         0.0000
         0.0213         0.0000         0.0000         0.0000         1.2412         0.0000         0.0000
         0.0227         0.0000         0.0000         0.0000         1.2414         0.0000         0.0000
         0.0240         0.0000         0.0000         0.0000         1.2415         0.0000         0.0000
         0.0253         0.0000         0.0000         0.0000         1.2417         0.0000         0.0000
         0.0267         0.0000         0.0000         0.0000         1.2418         0.0000         0.0000
         0.0280         0.0000         0.0000         0.0000         1.2419         0.0000         0.0000
         0.0293         0.0000         0.0000         0.0000         1.2421         0.0000         0.0000
         0.0307         0.0000         0.0000         0.0000         1.2422         0.0000         0.0000
         0.0320         0.0000         0.0000         0.0000         1.2424         0.0000         0.0000
         0.0333         0.0000         0.0000         0.0000         1.2425         0.0000         0.0000
         0.0347         0.0000         0.0000         0.0000         1.2426         0.0000         0.0000
         0.0360         0.0000         0.0000         0.0000         1.2428         0.0000         0.0000
         0.0373         0.0000         0.0000         0.0000         1.2429         0.0000         0.0000
         0.0387         0.0000         0.0000         0.0000         1.2431         0.0000         0.0000
         0.0400         0.0000         0.0000         0.0000         1.2432         0.0000         0.0000
         0.0413         0.0000         0.0000         0.0000         1.2433         0.0000         0.0000
         0.0427         0.0000         0.0000         0.0000         1.2435         0.0000         0.0000
         0.0440         0.0000         0.0000         0.0000         1.2436         0.0000         0.0000
         0.0453         0.0000         0.0000         0.0000         1.2438         0.0000         0.0000
         0.0467         0.0000         0.0000         0.0000         1.2439         0.0000         0.0000
