 #  energy  x  y  z  sp  sm
         0.0000         0.1406         0.0745         0.0000         0.1093         0.1093
         0.0013         0.1406         0.0745         0.0000         0.1094         0.1094
         0.0027         0.1406         0.0746         0.0000         0.1094         0.1094
         0.0040         0.1407         0.0746         0.0000         0.1094         0.1094
         0.0053         0.1407         0.0746         0.0000         0.1094         0.1094
         0.0067         0.1407         0.0746         0.0000         0.1095         0.1095
         0.0080         0.1408         0.0747         0.0000         0.1095         0.1095
         0.0093         0.1408         0.0747         0.0000         0.1095         0.1095
         0.0107         0.1408         0.0747         0.0000         0.1096         0.1096
         0.0120         0.1409         0.0747         0.0000         0.1096         0.1096
         0.0133         0.1409         0.0748         0.0000         0.1096         0.1096
         0.0147         0.1409         0.0748         0.0000         0.1097         0.1097
         0.0160         0.1410         0.0748         0.0000         0.1097         0.1097
         0.0173         0.1410         0.0748         0.0000         0.1097         0.1097
         0.0187         0.1410         0.0749         0.0000         0.1097         0.1097
         0.0200         0.1411         0.0749         0.0000         0.1098         0.1098
         0.0213         0.1411         0.0749         0.0000         0.1098         0.1098
         0.0227         0.1411         0.0749         0.0000         0.1098         0.1098
         0.0240         0.1412         0.0750         0.0000         0.1099         0.1099
         0.0253         0.1412         0.0750         0.0000         0.1099         0.1099
         0.0267         0.1412         0.0750         0.0000         0.1099         0.1099
         0.0280         0.1413         0.0750         0.0000         0.1099         0.1099
         0.0293         0.1413         0.0751         0.0000         0.1100         0.1100
         0.0307         0.1413         0.0751         0.0000         0.1100         0.1100
         0.0320         0.1414         0.0751         0.0000         0.1100         0.1100
         0.0333         0.1414         0.0751         0.0000         0.1101         0.1101
         0.0347         0.1414         0.0751         0.0000         0.1101         0.1101
         0.0360         0.1415         0.0752         0.0000         0.1101         0.1101
         0.0373         0.1415         0.0752         0.0000         0.1102         0.1102
         0.0387         0.1415         0.0752         0.0000         0.1102         0.1102
         0.0400         0.1416         0.0752         0.0000         0.1102         0.1102
         0.0413         0.1416         0.0753         0.0000         0.1102         0.1102
         0.0427         0.1416         0.0753         0.0000         0.1103         0.1103
         0.0440         0.1417         0.0753         0.0000         0.1103         0.1103
         0.0453         0.1417         0.0753         0.0000         0.1103         0.1103
         0.0467         0.1417         0.0754         0.0000         0.1104         0.1104
         0.0480         0.1418         0.0754         0.0000         0.1104         0.1104
         0.0493         0.1418         0.0754         0.0000         0.1104         0.1104
         0.0507         0.1418         0.0754         0.0000         0.1104         0.1105
         0.0520         0.1419         0.0755         0.0000         0.1105         0.1105
         0.0533         0.1419         0.0755         0.0000         0.1105         0.1105
         0.0547         0.1419         0.0755         0.0000         0.1105         0.1105
         0.0560         0.1420         0.0755         0.0000         0.1106         0.1106
         0.0573         0.1420         0.0756         0.0000         0.1106         0.1106
         0.0587         0.1420         0.0756         0.0000         0.1106         0.1106
         0.0600         0.1421         0.0756         0.0000         0.1107         0.1107
         0.0613         0.1421         0.0756         0.0000         0.1107         0.1107
         0.0627         0.1421         0.0757         0.0000         0.1107         0.1107
         0.0640         0.1422         0.0757         0.0000         0.1107         0.1107
         0.0653         0.1422         0.0757         0.0000         0.1108         0.1108
         0.0667         0.1422         0.0757         0.0000         0.1108         0.1108
         0.0680         0.1423         0.0758         0.0000         0.1108         0.1108
         0.0693         0.1423         0.0758         0.0000         0.1109         0.1109
         0.0707         0.1423         0.0758         0.0000         0.1109         0.1109
         0.0720         0.1424         0.0758         0.0000         0.1109         0.1109
         0.0733         0.1424         0.0759         0.0000         0.1110         0.1110
         0.0747         0.1424         0.0759         0.0000         0.1110         0.1110
         0.0760         0.1425         0.0759         0.0000         0.1110         0.1110
         0.0773         0.1425         0.0759         0.0000         0.1110         0.1110
         0.0787         0.1425         0.0760         0.0000         0.1111         0.1111
         0.0800         0.1426         0.0760         0.0000         0.1111         0.1111
         0.0813         0.1426         0.0760         0.0000         0.1111         0.1111
         0.0827         0.1426         0.0760         0.0000         0.1112         0.1112
         0.0840         0.1427         0.0761         0.0000         0.1112         0.1112
         0.0853         0.1427         0.0761         0.0000         0.1112         0.1112
         0.0867         0.1427         0.0761         0.0000         0.1113         0.1113
         0.0880         0.1428         0.0761         0.0000         0.1113         0.1113
         0.0893         0.1428         0.0762         0.0000         0.1113         0.1113
         0.0907         0.1428         0.0762         0.0000         0.1113         0.1113
         0.0920         0.1429         0.0762         0.0000         0.1114         0.1114
         0.0933         0.1429         0.0762         0.0000         0.1114         0.1114
         0.0947         0.1429         0.0763         0.0000         0.1114         0.1114
         0.0960         0.1430         0.0763         0.0000         0.1115         0.1115
         0.0973         0.1430         0.0763         0.0000         0.1115         0.1115
         0.0987         0.1430         0.0763         0.0000         0.1115         0.1115
         0.1000         0.1431         0.0764         0.0000         0.1116         0.1116
         0.1013         0.1431         0.0764         0.0000         0.1116         0.1116
         0.1027         0.1431         0.0764         0.0000         0.1116         0.1116
         0.1040         0.1432         0.0764         0.0000         0.1117         0.1117
         0.1053         0.1432         0.0765         0.0000         0.1117         0.1117
         0.1067         0.1432         0.0765         0.0000         0.1117         0.1117
         0.1080         0.1433         0.0765         0.0000         0.1117         0.1117
         0.1093         0.1433         0.0765         0.0000         0.1118         0.1118
         0.1107         0.1433         0.0766         0.0000         0.1118         0.1118
         0.1120         0.1434         0.0766         0.0000         0.1118         0.1118
         0.1133         0.1434         0.0766         0.0000         0.1119         0.1119
         0.1147         0.1434         0.0766         0.0000         0.1119         0.1119
         0.1160         0.1435         0.0767         0.0000         0.1119         0.1119
         0.1173         0.1435         0.0767         0.0000         0.1120         0.1120
         0.1187         0.1435         0.0767         0.0000         0.1120         0.1120
         0.1200         0.1436         0.0767         0.0000         0.1120         0.1120
         0.1213         0.1436         0.0768         0.0000         0.1120         0.1120
         0.1227         0.1436         0.0768         0.0000         0.1121         0.1121
         0.1240         0.1437         0.0768         0.0000         0.1121         0.1121
         0.1253         0.1437         0.0768         0.0000         0.1121         0.1121
         0.1267         0.1437         0.0769         0.0000         0.1122         0.1122
         0.1280         0.1438         0.0769         0.0000         0.1122         0.1122
         0.1293         0.1438         0.0769         0.0000         0.1122         0.1122
         0.1307         0.1438         0.0770         0.0000         0.1123         0.1123
         0.1320         0.1439         0.0770         0.0000         0.1123         0.1123
         0.1333         0.1439         0.0770         0.0000         0.1123         0.1123
         0.1347         0.1439         0.0770         0.0000         0.1124         0.1124
         0.1360         0.1440         0.0771         0.0000         0.1124         0.1124
         0.1373         0.1440         0.0771         0.0000         0.1124         0.1124
         0.1387         0.1440         0.0771         0.0000         0.1124         0.1124
         0.1400         0.1441         0.0771         0.0000         0.1125         0.1125
         0.1413         0.1441         0.0772         0.0000         0.1125         0.1125
         0.1427         0.1442         0.0772         0.0000         0.1125         0.1125
         0.1440         0.1442         0.0772         0.0000         0.1126         0.1126
         0.1453         0.1442         0.0772         0.0000         0.1126         0.1126
         0.1467         0.1443         0.0773         0.0000         0.1126         0.1126
         0.1480         0.1443         0.0773         0.0000         0.1127         0.1127
         0.1493         0.1443         0.0773         0.0000         0.1127         0.1127
         0.1507         0.1444         0.0773         0.0000         0.1127         0.1127
         0.1520         0.1444         0.0774         0.0000         0.1128         0.1128
         0.1533         0.1444         0.0774         0.0000         0.1128         0.1128
         0.1547         0.1445         0.0774         0.0000         0.1128         0.1128
         0.1560         0.1445         0.0774         0.0000         0.1128         0.1128
         0.1573         0.1445         0.0775         0.0000         0.1129         0.1129
         0.1587         0.1446         0.0775         0.0000         0.1129         0.1129
         0.1600         0.1446         0.0775         0.0000         0.1129         0.1129
         0.1613         0.1446         0.0775         0.0000         0.1130         0.1130
         0.1627         0.1447         0.0776         0.0000         0.1130         0.1130
         0.1640         0.1447         0.0776         0.0000         0.1130         0.1130
         0.1653         0.1447         0.0776         0.0000         0.1131         0.1131
