 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         2.1996         1.7510         1.0000         0.0000         0.0000         0.0000
         0.0013         2.1998         1.7511         1.0000         0.0000         0.0000         0.0000
         0.0027         2.2000         1.7513         1.0000         0.0000         0.0000         0.0000
         0.0040         2.2003         1.7515         1.0000         0.0000         0.0000         0.0000
         0.0053         2.2005         1.7516         1.0000         0.0000         0.0000         0.0000
         0.0067         2.2007         1.7518         1.0000         0.0000         0.0000         0.0000
         0.0080         2.2009         1.7520         1.0000         0.0000         0.0000         0.0000
         0.0093         2.2012         1.7521         1.0000         0.0000         0.0000         0.0000
         0.0107         2.2014         1.7523         1.0000         0.0000         0.0000         0.0000
         0.0120         2.2016         1.7525         1.0000         0.0000         0.0000         0.0000
         0.0133         2.2018         1.7526         1.0000         0.0000         0.0000         0.0000
         0.0147         2.2021         1.7528         1.0000         0.0000         0.0000         0.0000
         0.0160         2.2023         1.7530         1.0000         0.0000         0.0000         0.0000
         0.0173         2.2025         1.7531         1.0000         0.0000         0.0000         0.0000
         0.0187         2.2027         1.7533         1.0000         0.0000         0.0000         0.0000
         0.0200         2.2030         1.7535         1.0000         0.0000         0.0000         0.0000
         0.0213         2.2032         1.7536         1.0000         0.0000         0.0000         0.0000
         0.0227         2.2034         1.7538         1.0000         0.0000         0.0000         0.0000
         0.0240         2.2036         1.7540         1.0000         0.0000         0.0000         0.0000
         0.0253         2.2039         1.7541         1.0000         0.0000         0.0000         0.0000
         0.0267         2.2041         1.7543         1.0000         0.0000         0.0000         0.0000
         0.0280         2.2043         1.7545         1.0000         0.0000         0.0000         0.0000
         0.0293         2.2045         1.7547         1.0000         0.0000         0.0000         0.0000
         0.0307         2.2048         1.7548         1.0000         0.0000         0.0000         0.0000
         0.0320         2.2050         1.7550         1.0000         0.0000         0.0000         0.0000
         0.0333         2.2052         1.7552         1.0000         0.0000         0.0000         0.0000
         0.0347         2.2054         1.7553         1.0000         0.0000         0.0000         0.0000
         0.0360         2.2057         1.7555         1.0000         0.0000         0.0000         0.0000
         0.0373         2.2059         1.7557         1.0000         0.0000         0.0000         0.0000
         0.0387         2.2061         1.7558         1.0000         0.0000         0.0000         0.0000
         0.0400         2.2063         1.7560         1.0000         0.0000         0.0000         0.0000
         0.0413         2.2066         1.7562         1.0000         0.0000         0.0000         0.0000
         0.0427         2.2068         1.7563         1.0000         0.0000         0.0000         0.0000
         0.0440         2.2070         1.7565         1.0000         0.0000         0.0000         0.0000
         0.0453         2.2073         1.7567         1.0000         0.0000         0.0000         0.0000
         0.0467         2.2075         1.7569         1.0000         0.0000         0.0000         0.0000
         0.0480         2.2077         1.7570         1.0000         0.0000         0.0000         0.0000
         0.0493         2.2079         1.7572         1.0000         0.0000         0.0000         0.0000
         0.0507         2.2082         1.7574         1.0000         0.0000         0.0000         0.0000
         0.0520         2.2084         1.7575         1.0000         0.0000         0.0000         0.0000
         0.0533         2.2086         1.7577         1.0000         0.0000         0.0000         0.0000
         0.0547         2.2088         1.7579         1.0000         0.0000         0.0000         0.0000
         0.0560         2.2091         1.7581         1.0000         0.0000         0.0000         0.0000
         0.0573         2.2093         1.7582         1.0000         0.0000         0.0000         0.0000
         0.0587         2.2095         1.7584         1.0000         0.0000         0.0000         0.0000
         0.0600         2.2098         1.7586         1.0000         0.0000         0.0000         0.0000
         0.0613         2.2100         1.7587         1.0000         0.0000         0.0000         0.0000
         0.0627         2.2102         1.7589         1.0000         0.0000         0.0000         0.0000
         0.0640         2.2104         1.7591         1.0000         0.0000         0.0000         0.0000
         0.0653         2.2107         1.7593         1.0000         0.0000         0.0000         0.0000
         0.0667         2.2109         1.7594         1.0000         0.0000         0.0000         0.0000
         0.0680         2.2111         1.7596         1.0000         0.0000         0.0000         0.0000
         0.0693         2.2114         1.7598         1.0000         0.0000         0.0000         0.0000
         0.0707         2.2116         1.7599         1.0000         0.0000         0.0000         0.0000
         0.0720         2.2118         1.7601         1.0000         0.0000         0.0000         0.0000
         0.0733         2.2120         1.7603         1.0000         0.0000         0.0000         0.0000
         0.0747         2.2123         1.7605         1.0000         0.0000         0.0000         0.0000
         0.0760         2.2125         1.7606         1.0000         0.0000         0.0000         0.0000
