 #  energy  real  imag
  0.000000000000000E+000   1.876066      0.0000000E+00
  1.333333333333333E-003   1.876187      0.0000000E+00
  2.666666666666667E-003   1.876309      0.0000000E+00
  4.000000000000000E-003   1.876431      0.0000000E+00
  5.333333333333333E-003   1.876552      0.0000000E+00
  6.666666666666667E-003   1.876674      0.0000000E+00
  8.000000000000000E-003   1.876796      0.0000000E+00
  9.333333333333334E-003   1.876917      0.0000000E+00
  1.066666666666667E-002   1.877039      0.0000000E+00
  1.200000000000000E-002   1.877161      0.0000000E+00
  1.333333333333333E-002   1.877283      0.0000000E+00
  1.466666666666667E-002   1.877405      0.0000000E+00
  1.600000000000000E-002   1.877527      0.0000000E+00
  1.733333333333333E-002   1.877649      0.0000000E+00
  1.866666666666667E-002   1.877771      0.0000000E+00
  2.000000000000000E-002   1.877893      0.0000000E+00
  2.133333333333333E-002   1.878015      0.0000000E+00
  2.266666666666667E-002   1.878137      0.0000000E+00
  2.400000000000000E-002   1.878260      0.0000000E+00
  2.533333333333333E-002   1.878382      0.0000000E+00
  2.666666666666667E-002   1.878504      0.0000000E+00
  2.800000000000000E-002   1.878627      0.0000000E+00
  2.933333333333333E-002   1.878749      0.0000000E+00
  3.066666666666666E-002   1.878872      0.0000000E+00
  3.200000000000000E-002   1.878994      0.0000000E+00
  3.333333333333333E-002   1.879117      0.0000000E+00
  3.466666666666667E-002   1.879239      0.0000000E+00
  3.600000000000000E-002   1.879362      0.0000000E+00
  3.733333333333334E-002   1.879485      0.0000000E+00
  3.866666666666667E-002   1.879608      0.0000000E+00
  4.000000000000000E-002   1.879730      0.0000000E+00
  4.133333333333333E-002   1.879853      0.0000000E+00
  4.266666666666667E-002   1.879976      0.0000000E+00
  4.400000000000000E-002   1.880099      0.0000000E+00
  4.533333333333334E-002   1.880222      0.0000000E+00
  4.666666666666667E-002   1.880345      0.0000000E+00
  4.800000000000000E-002   1.880468      0.0000000E+00
  4.933333333333333E-002   1.880591      0.0000000E+00
  5.066666666666667E-002   1.880714      0.0000000E+00
  5.200000000000000E-002   1.880838      0.0000000E+00
  5.333333333333334E-002   1.880961      0.0000000E+00
  5.466666666666667E-002   1.881084      0.0000000E+00
  5.600000000000000E-002   1.881207      0.0000000E+00
  5.733333333333333E-002   1.881331      0.0000000E+00
  5.866666666666667E-002   1.881454      0.0000000E+00
  6.000000000000000E-002   1.881578      0.0000000E+00
  6.133333333333333E-002   1.881701      0.0000000E+00
  6.266666666666666E-002   1.881825      0.0000000E+00
  6.400000000000000E-002   1.881948      0.0000000E+00
  6.533333333333333E-002   1.882072      0.0000000E+00
  6.666666666666667E-002   1.882196      0.0000000E+00
  6.800000000000000E-002   1.882320      0.0000000E+00
  6.933333333333333E-002   1.882443      0.0000000E+00
  7.066666666666667E-002   1.882567      0.0000000E+00
  7.199999999999999E-002   1.882691      0.0000000E+00
  7.333333333333333E-002   1.882815      0.0000000E+00
  7.466666666666667E-002   1.882939      0.0000000E+00
  7.600000000000000E-002   1.883063      0.0000000E+00
  7.733333333333334E-002   1.883187      0.0000000E+00
  7.866666666666666E-002   1.883311      0.0000000E+00
  8.000000000000000E-002   1.883435      0.0000000E+00
  8.133333333333333E-002   1.883560      0.0000000E+00
  8.266666666666667E-002   1.883684      0.0000000E+00
  8.400000000000001E-002   1.883808      0.0000000E+00
  8.533333333333333E-002   1.883932      0.0000000E+00
  8.666666666666667E-002   1.884057      0.0000000E+00
  8.799999999999999E-002   1.884181      0.0000000E+00
  8.933333333333333E-002   1.884306      0.0000000E+00
  9.066666666666667E-002   1.884430      0.0000000E+00
  9.200000000000000E-002   1.884555      0.0000000E+00
  9.333333333333334E-002   1.884680      0.0000000E+00
  9.466666666666666E-002   1.884804      0.0000000E+00
  9.600000000000000E-002   1.884929      0.0000000E+00
  9.733333333333333E-002   1.885054      0.0000000E+00
  9.866666666666667E-002   1.885179      0.0000000E+00
  0.100000000000000        1.885303      0.0000000E+00
  0.101333333333333        1.885428      0.0000000E+00
  0.102666666666667        1.885553      0.0000000E+00
  0.104000000000000        1.885678      0.0000000E+00
  0.105333333333333        1.885803      0.0000000E+00
  0.106666666666667        1.885929      0.0000000E+00
  0.108000000000000        1.886054      0.0000000E+00
  0.109333333333333        1.886179      0.0000000E+00
  0.110666666666667        1.886304      0.0000000E+00
  0.112000000000000        1.886429      0.0000000E+00
  0.113333333333333        1.886555      0.0000000E+00
  0.114666666666667        1.886680      0.0000000E+00
  0.116000000000000        1.886806      0.0000000E+00
  0.117333333333333        1.886931      0.0000000E+00
  0.118666666666667        1.887057      0.0000000E+00
  0.120000000000000        1.887182      0.0000000E+00
  0.121333333333333        1.887308      0.0000000E+00
  0.122666666666667        1.887433      0.0000000E+00
  0.124000000000000        1.887559      0.0000000E+00
  0.125333333333333        1.887685      0.0000000E+00
  0.126666666666667        1.887811      0.0000000E+00
  0.128000000000000        1.887937      0.0000000E+00
  0.129333333333333        1.888062      0.0000000E+00
  0.130666666666667        1.888188      0.0000000E+00
  0.132000000000000        1.888314      0.0000000E+00
  0.133333333333333        1.888440      0.0000000E+00
  0.134666666666667        1.888567      0.0000000E+00
  0.136000000000000        1.888693      0.0000000E+00
  0.137333333333333        1.888819      0.0000000E+00
  0.138666666666667        1.888945      0.0000000E+00
  0.140000000000000        1.889071      0.0000000E+00
  0.141333333333333        1.889198      0.0000000E+00
  0.142666666666667        1.889324      0.0000000E+00
  0.144000000000000        1.889451      0.0000000E+00
  0.145333333333333        1.889577      0.0000000E+00
  0.146666666666667        1.889704      0.0000000E+00
  0.148000000000000        1.889830      0.0000000E+00
  0.149333333333333        1.889957      0.0000000E+00
  0.150666666666667        1.890084      0.0000000E+00
  0.152000000000000        1.890210      0.0000000E+00
  0.153333333333333        1.890337      0.0000000E+00
  0.154666666666667        1.890464      0.0000000E+00
  0.156000000000000        1.890591      0.0000000E+00
  0.157333333333333        1.890718      0.0000000E+00
  0.158666666666667        1.890845      0.0000000E+00
  0.160000000000000        1.890972      0.0000000E+00
  0.161333333333333        1.891099      0.0000000E+00
  0.162666666666667        1.891226      0.0000000E+00
  0.164000000000000        1.891353      0.0000000E+00
  0.165333333333333        1.891480      0.0000000E+00
  0.166666666666667        1.891608      0.0000000E+00
  0.168000000000000        1.891735      0.0000000E+00
  0.169333333333333        1.891862      0.0000000E+00
  0.170666666666667        1.891990      0.0000000E+00
  0.172000000000000        1.892117      0.0000000E+00
  0.173333333333333        1.892245      0.0000000E+00
  0.174666666666667        1.892372      0.0000000E+00
  0.176000000000000        1.892500      0.0000000E+00
  0.177333333333333        1.892627      0.0000000E+00
  0.178666666666667        1.892755      0.0000000E+00
  0.180000000000000        1.892883      0.0000000E+00
  0.181333333333333        1.893011      0.0000000E+00
  0.182666666666667        1.893138      0.0000000E+00
  0.184000000000000        1.893266      0.0000000E+00
  0.185333333333333        1.893394      0.0000000E+00
  0.186666666666667        1.893522      0.0000000E+00
  0.188000000000000        1.893650      0.0000000E+00
  0.189333333333333        1.893778      0.0000000E+00
  0.190666666666667        1.893907      0.0000000E+00
  0.192000000000000        1.894035      0.0000000E+00
  0.193333333333333        1.894163      0.0000000E+00
