 #  energy  real  imag
  0.000000000000000E+000   1.876922      0.0000000E+00
  1.333333333333333E-003   1.877044      0.0000000E+00
  2.666666666666667E-003   1.877166      0.0000000E+00
  4.000000000000000E-003   1.877288      0.0000000E+00
  5.333333333333333E-003   1.877410      0.0000000E+00
  6.666666666666667E-003   1.877532      0.0000000E+00
  8.000000000000000E-003   1.877655      0.0000000E+00
  9.333333333333334E-003   1.877777      0.0000000E+00
  1.066666666666667E-002   1.877899      0.0000000E+00
  1.200000000000000E-002   1.878021      0.0000000E+00
  1.333333333333333E-002   1.878144      0.0000000E+00
  1.466666666666667E-002   1.878266      0.0000000E+00
  1.600000000000000E-002   1.878389      0.0000000E+00
  1.733333333333333E-002   1.878511      0.0000000E+00
  1.866666666666667E-002   1.878634      0.0000000E+00
  2.000000000000000E-002   1.878757      0.0000000E+00
  2.133333333333333E-002   1.878879      0.0000000E+00
  2.266666666666667E-002   1.879002      0.0000000E+00
  2.400000000000000E-002   1.879125      0.0000000E+00
  2.533333333333333E-002   1.879247      0.0000000E+00
  2.666666666666667E-002   1.879370      0.0000000E+00
  2.800000000000000E-002   1.879493      0.0000000E+00
  2.933333333333333E-002   1.879616      0.0000000E+00
  3.066666666666666E-002   1.879739      0.0000000E+00
  3.200000000000000E-002   1.879862      0.0000000E+00
  3.333333333333333E-002   1.879985      0.0000000E+00
  3.466666666666667E-002   1.880108      0.0000000E+00
  3.600000000000000E-002   1.880231      0.0000000E+00
  3.733333333333334E-002   1.880355      0.0000000E+00
  3.866666666666667E-002   1.880478      0.0000000E+00
  4.000000000000000E-002   1.880601      0.0000000E+00
  4.133333333333333E-002   1.880725      0.0000000E+00
  4.266666666666667E-002   1.880848      0.0000000E+00
  4.400000000000000E-002   1.880971      0.0000000E+00
  4.533333333333334E-002   1.881095      0.0000000E+00
  4.666666666666667E-002   1.881218      0.0000000E+00
  4.800000000000000E-002   1.881342      0.0000000E+00
  4.933333333333333E-002   1.881466      0.0000000E+00
