 #  energy  real  imag
  0.000000000000000E+000   2.149113      0.0000000E+00
  1.333333333333333E-003   2.149271      0.0000000E+00
  2.666666666666667E-003   2.149429      0.0000000E+00
  4.000000000000000E-003   2.149586      0.0000000E+00
  5.333333333333333E-003   2.149745      0.0000000E+00
  6.666666666666667E-003   2.149902      0.0000000E+00
  8.000000000000000E-003   2.150060      0.0000000E+00
  9.333333333333334E-003   2.150218      0.0000000E+00
  1.066666666666667E-002   2.150377      0.0000000E+00
  1.200000000000000E-002   2.150535      0.0000000E+00
  1.333333333333333E-002   2.150693      0.0000000E+00
  1.466666666666667E-002   2.150851      0.0000000E+00
  1.600000000000000E-002   2.151010      0.0000000E+00
  1.733333333333333E-002   2.151168      0.0000000E+00
  1.866666666666667E-002   2.151326      0.0000000E+00
  2.000000000000000E-002   2.151485      0.0000000E+00
  2.133333333333333E-002   2.151644      0.0000000E+00
  2.266666666666667E-002   2.151802      0.0000000E+00
  2.400000000000000E-002   2.151961      0.0000000E+00
  2.533333333333333E-002   2.152120      0.0000000E+00
  2.666666666666667E-002   2.152279      0.0000000E+00
  2.800000000000000E-002   2.152437      0.0000000E+00
  2.933333333333333E-002   2.152596      0.0000000E+00
  3.066666666666666E-002   2.152755      0.0000000E+00
  3.200000000000000E-002   2.152915      0.0000000E+00
  3.333333333333333E-002   2.153074      0.0000000E+00
  3.466666666666667E-002   2.153233      0.0000000E+00
  3.600000000000000E-002   2.153392      0.0000000E+00
  3.733333333333334E-002   2.153551      0.0000000E+00
  3.866666666666667E-002   2.153711      0.0000000E+00
  4.000000000000000E-002   2.153870      0.0000000E+00
  4.133333333333333E-002   2.154029      0.0000000E+00
  4.266666666666667E-002   2.154189      0.0000000E+00
  4.400000000000000E-002   2.154349      0.0000000E+00
  4.533333333333334E-002   2.154508      0.0000000E+00
  4.666666666666667E-002   2.154668      0.0000000E+00
  4.800000000000000E-002   2.154828      0.0000000E+00
  4.933333333333333E-002   2.154988      0.0000000E+00
  5.066666666666667E-002   2.155148      0.0000000E+00
  5.200000000000000E-002   2.155307      0.0000000E+00
  5.333333333333334E-002   2.155467      0.0000000E+00
  5.466666666666667E-002   2.155627      0.0000000E+00
  5.600000000000000E-002   2.155787      0.0000000E+00
  5.733333333333333E-002   2.155948      0.0000000E+00
  5.866666666666667E-002   2.156108      0.0000000E+00
  6.000000000000000E-002   2.156268      0.0000000E+00
  6.133333333333333E-002   2.156429      0.0000000E+00
  6.266666666666666E-002   2.156589      0.0000000E+00
  6.400000000000000E-002   2.156749      0.0000000E+00
  6.533333333333333E-002   2.156910      0.0000000E+00
  6.666666666666667E-002   2.157071      0.0000000E+00
  6.800000000000000E-002   2.157231      0.0000000E+00
  6.933333333333333E-002   2.157392      0.0000000E+00
  7.066666666666667E-002   2.157553      0.0000000E+00
  7.199999999999999E-002   2.157714      0.0000000E+00
  7.333333333333333E-002   2.157875      0.0000000E+00
  7.466666666666667E-002   2.158036      0.0000000E+00
  7.600000000000000E-002   2.158197      0.0000000E+00
  7.733333333333334E-002   2.158358      0.0000000E+00
  7.866666666666666E-002   2.158519      0.0000000E+00
  8.000000000000000E-002   2.158680      0.0000000E+00
  8.133333333333333E-002   2.158841      0.0000000E+00
  8.266666666666667E-002   2.159003      0.0000000E+00
  8.400000000000001E-002   2.159164      0.0000000E+00
  8.533333333333333E-002   2.159326      0.0000000E+00
  8.666666666666667E-002   2.159487      0.0000000E+00
