 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         1.4660         1.2664         1.0000         0.0000         0.0000         0.0000
         0.0013         1.4660         1.2665         1.0000         0.0000         0.0000         0.0000
         0.0027         1.4661         1.2665         1.0000         0.0000         0.0000         0.0000
         0.0040         1.4661         1.2665         1.0000         0.0000         0.0000         0.0000
         0.0053         1.4662         1.2666         1.0000         0.0000         0.0000         0.0000
         0.0067         1.4663         1.2666         1.0000         0.0000         0.0000         0.0000
         0.0080         1.4663         1.2666         1.0000         0.0000         0.0000         0.0000
         0.0093         1.4664         1.2667         1.0000         0.0000         0.0000         0.0000
         0.0107         1.4664         1.2667         1.0000         0.0000         0.0000         0.0000
         0.0120         1.4665         1.2667         1.0000         0.0000         0.0000         0.0000
         0.0133         1.4665         1.2668         1.0000         0.0000         0.0000         0.0000
         0.0147         1.4666         1.2668         1.0000         0.0000         0.0000         0.0000
         0.0160         1.4666         1.2668         1.0000         0.0000         0.0000         0.0000
         0.0173         1.4667         1.2669         1.0000         0.0000         0.0000         0.0000
         0.0187         1.4667         1.2669         1.0000         0.0000         0.0000         0.0000
         0.0200         1.4668         1.2670         1.0000         0.0000         0.0000         0.0000
         0.0213         1.4668         1.2670         1.0000         0.0000         0.0000         0.0000
         0.0227         1.4669         1.2670         1.0000         0.0000         0.0000         0.0000
         0.0240         1.4670         1.2671         1.0000         0.0000         0.0000         0.0000
         0.0253         1.4670         1.2671         1.0000         0.0000         0.0000         0.0000
         0.0267         1.4671         1.2671         1.0000         0.0000         0.0000         0.0000
         0.0280         1.4671         1.2672         1.0000         0.0000         0.0000         0.0000
         0.0293         1.4672         1.2672         1.0000         0.0000         0.0000         0.0000
         0.0307         1.4672         1.2672         1.0000         0.0000         0.0000         0.0000
         0.0320         1.4673         1.2673         1.0000         0.0000         0.0000         0.0000
         0.0333         1.4673         1.2673         1.0000         0.0000         0.0000         0.0000
         0.0347         1.4674         1.2673         1.0000         0.0000         0.0000         0.0000
         0.0360         1.4674         1.2674         1.0000         0.0000         0.0000         0.0000
         0.0373         1.4675         1.2674         1.0000         0.0000         0.0000         0.0000
         0.0387         1.4676         1.2674         1.0000         0.0000         0.0000         0.0000
         0.0400         1.4676         1.2675         1.0000         0.0000         0.0000         0.0000
         0.0413         1.4677         1.2675         1.0000         0.0000         0.0000         0.0000
         0.0427         1.4677         1.2675         1.0000         0.0000         0.0000         0.0000
         0.0440         1.4678         1.2676         1.0000         0.0000         0.0000         0.0000
         0.0453         1.4678         1.2676         1.0000         0.0000         0.0000         0.0000
         0.0467         1.4679         1.2676         1.0000         0.0000         0.0000         0.0000
         0.0480         1.4679         1.2677         1.0000         0.0000         0.0000         0.0000
         0.0493         1.4680         1.2677         1.0000         0.0000         0.0000         0.0000
         0.0507         1.4680         1.2677         1.0000         0.0000         0.0000         0.0000
         0.0520         1.4681         1.2678         1.0000         0.0000         0.0000         0.0000
         0.0533         1.4682         1.2678         1.0000         0.0000         0.0000         0.0000
         0.0547         1.4682         1.2678         1.0000         0.0000         0.0000         0.0000
         0.0560         1.4683         1.2679         1.0000         0.0000         0.0000         0.0000
         0.0573         1.4683         1.2679         1.0000         0.0000         0.0000         0.0000
         0.0587         1.4684         1.2679         1.0000         0.0000         0.0000         0.0000
         0.0600         1.4684         1.2680         1.0000         0.0000         0.0000         0.0000
         0.0613         1.4685         1.2680         1.0000         0.0000         0.0000         0.0000
         0.0627         1.4685         1.2680         1.0000         0.0000         0.0000         0.0000
         0.0640         1.4686         1.2681         1.0000         0.0000         0.0000         0.0000
         0.0653         1.4686         1.2681         1.0000         0.0000         0.0000         0.0000
         0.0667         1.4687         1.2681         1.0000         0.0000         0.0000         0.0000
         0.0680         1.4688         1.2682         1.0000         0.0000         0.0000         0.0000
         0.0693         1.4688         1.2682         1.0000         0.0000         0.0000         0.0000
         0.0707         1.4689         1.2683         1.0000         0.0000         0.0000         0.0000
         0.0720         1.4689         1.2683         1.0000         0.0000         0.0000         0.0000
         0.0733         1.4690         1.2683         1.0000         0.0000         0.0000         0.0000
         0.0747         1.4690         1.2684         1.0000         0.0000         0.0000         0.0000
         0.0760         1.4691         1.2684         1.0000         0.0000         0.0000         0.0000
         0.0773         1.4691         1.2684         1.0000         0.0000         0.0000         0.0000
         0.0787         1.4692         1.2685         1.0000         0.0000         0.0000         0.0000
         0.0800         1.4692         1.2685         1.0000         0.0000         0.0000         0.0000
         0.0813         1.4693         1.2685         1.0000         0.0000         0.0000         0.0000
         0.0827         1.4694         1.2686         1.0000         0.0000         0.0000         0.0000
         0.0840         1.4694         1.2686         1.0000         0.0000         0.0000         0.0000
         0.0853         1.4695         1.2686         1.0000         0.0000         0.0000         0.0000
         0.0867         1.4695         1.2687         1.0000         0.0000         0.0000         0.0000
         0.0880         1.4696         1.2687         1.0000         0.0000         0.0000         0.0000
         0.0893         1.4696         1.2687         1.0000         0.0000         0.0000         0.0000
         0.0907         1.4697         1.2688         1.0000         0.0000         0.0000         0.0000
         0.0920         1.4697         1.2688         1.0000         0.0000         0.0000         0.0000
         0.0933         1.4698         1.2688         1.0000         0.0000         0.0000         0.0000
