 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0013         0.0000         0.0000         0.0000        86.5332         0.0000         0.0000
         0.0027         0.0000         0.0000         0.0000       173.0751         0.0000         0.0000
         0.0040         0.0000         0.0000         0.0000       259.6256         0.0000         0.0000
         0.0053         0.0000         0.0000         0.0000       346.1848         0.0000         0.0000
         0.0067         0.0000         0.0000         0.0000       432.7526         0.0000         0.0000
         0.0080         0.0000         0.0000         0.0000       519.3291         0.0000         0.0000
         0.0093         0.0000         0.0000         0.0000       605.9143         0.0000         0.0000
         0.0107         0.0000         0.0000         0.0000       692.5081         0.0000         0.0000
         0.0120         0.0000         0.0000         0.0000       779.1106         0.0000         0.0000
         0.0133         0.0000         0.0000         0.0000       865.7218         0.0000         0.0000
         0.0147         0.0000         0.0000         0.0000       952.3416         0.0000         0.0000
         0.0160         0.0000         0.0000         0.0000      1038.9701         0.0000         0.0000
         0.0173         0.0000         0.0000         0.0000      1125.6073         0.0000         0.0000
         0.0187         0.0000         0.0000         0.0000      1212.2530         0.0000         0.0000
         0.0200         0.0000         0.0000         0.0000      1298.9076         0.0000         0.0000
         0.0213         0.0000         0.0000         0.0000      1385.5709         0.0000         0.0000
         0.0227         0.0000         0.0000         0.0000      1472.2426         0.0000         0.0000
         0.0240         0.0000         0.0000         0.0000      1558.9232         0.0000         0.0000
         0.0253         0.0000         0.0000         0.0000      1645.6125         0.0000         0.0000
         0.0267         0.0000         0.0000         0.0000      1732.3104         0.0000         0.0000
         0.0280         0.0000         0.0000         0.0000      1819.0170         0.0000         0.0000
         0.0293         0.0000         0.0000         0.0000      1905.7325         0.0000         0.0000
         0.0307         0.0000         0.0000         0.0000      1992.4565         0.0000         0.0000
         0.0320         0.0000         0.0000         0.0000      2079.1891         0.0000         0.0000
         0.0333         0.0000         0.0000         0.0000      2165.9307         0.0000         0.0000
         0.0347         0.0000         0.0000         0.0000      2252.6807         0.0000         0.0000
         0.0360         0.0000         0.0000         0.0000      2339.4396         0.0000         0.0000
         0.0373         0.0000         0.0000         0.0000      2426.2072         0.0000         0.0000
         0.0387         0.0000         0.0000         0.0000      2512.9832         0.0000         0.0000
         0.0400         0.0000         0.0000         0.0000      2599.7685         0.0000         0.0000
         0.0413         0.0000         0.0000         0.0000      2686.5622         0.0000         0.0000
         0.0427         0.0000         0.0000         0.0000      2773.3645         0.0000         0.0000
         0.0440         0.0000         0.0000         0.0000      2860.1756         0.0000         0.0000
         0.0453         0.0000         0.0000         0.0000      2946.9953         0.0000         0.0000
         0.0467         0.0000         0.0000         0.0000      3033.8237         0.0000         0.0000
         0.0480         0.0000         0.0000         0.0000      3120.6612         0.0000         0.0000
         0.0493         0.0000         0.0000         0.0000      3207.5069         0.0000         0.0000
         0.0507         0.0000         0.0000         0.0000      3294.3618         0.0000         0.0000
         0.0520         0.0000         0.0000         0.0000      3381.2254         0.0000         0.0000
         0.0533         0.0000         0.0000         0.0000      3468.0976         0.0000         0.0000
         0.0547         0.0000         0.0000         0.0000      3554.9786         0.0000         0.0000
