 #  energy  x  y  z  sp  sm
         0.0000         1.4680         1.2675         1.0000         1.3715         1.3713
         0.0013         1.4680         1.2676         1.0000         1.3716         1.3713
         0.0027         1.4681         1.2676         1.0000         1.3716         1.3714
         0.0040         1.4681         1.2676         1.0000         1.3717         1.3714
         0.0053         1.4682         1.2677         1.0000         1.3717         1.3715
         0.0067         1.4682         1.2677         1.0000         1.3718         1.3715
         0.0080         1.4683         1.2677         1.0000         1.3718         1.3715
         0.0093         1.4683         1.2678         1.0000         1.3719         1.3716
         0.0107         1.4684         1.2678         1.0000         1.3719         1.3716
         0.0120         1.4684         1.2678         1.0000         1.3720         1.3717
         0.0133         1.4685         1.2679         1.0000         1.3720         1.3717
         0.0147         1.4686         1.2679         1.0000         1.3720         1.3718
         0.0160         1.4686         1.2679         1.0000         1.3721         1.3718
         0.0173         1.4687         1.2680         1.0000         1.3721         1.3719
         0.0187         1.4687         1.2680         1.0000         1.3722         1.3719
         0.0200         1.4688         1.2680         1.0000         1.3722         1.3719
         0.0213         1.4688         1.2681         1.0000         1.3723         1.3720
         0.0227         1.4689         1.2681         1.0000         1.3723         1.3720
         0.0240         1.4689         1.2682         1.0000         1.3724         1.3721
         0.0253         1.4690         1.2682         1.0000         1.3724         1.3721
         0.0267         1.4690         1.2682         1.0000         1.3724         1.3722
         0.0280         1.4691         1.2683         1.0000         1.3725         1.3722
         0.0293         1.4692         1.2683         1.0000         1.3725         1.3723
         0.0307         1.4692         1.2683         1.0000         1.3726         1.3723
         0.0320         1.4693         1.2684         1.0000         1.3726         1.3724
         0.0333         1.4693         1.2684         1.0000         1.3727         1.3724
         0.0347         1.4694         1.2684         1.0000         1.3727         1.3724
         0.0360         1.4694         1.2685         1.0000         1.3728         1.3725
         0.0373         1.4695         1.2685         1.0000         1.3728         1.3725
         0.0387         1.4695         1.2685         1.0000         1.3729         1.3726
         0.0400         1.4696         1.2686         1.0000         1.3729         1.3726
         0.0413         1.4697         1.2686         1.0000         1.3729         1.3727
         0.0427         1.4697         1.2686         1.0000         1.3730         1.3727
         0.0440         1.4698         1.2687         1.0000         1.3730         1.3728
         0.0453         1.4698         1.2687         1.0000         1.3731         1.3728
         0.0467         1.4699         1.2687         1.0000         1.3731         1.3729
         0.0480         1.4699         1.2688         1.0000         1.3732         1.3729
         0.0493         1.4700         1.2688         1.0000         1.3732         1.3729
         0.0507         1.4700         1.2688         1.0000         1.3733         1.3730
         0.0520         1.4701         1.2689         1.0000         1.3733         1.3730
         0.0533         1.4701         1.2689         1.0000         1.3734         1.3731
         0.0547         1.4702         1.2689         1.0000         1.3734         1.3731
         0.0560         1.4703         1.2690         1.0000         1.3735         1.3732
         0.0573         1.4703         1.2690         1.0000         1.3735         1.3732
         0.0587         1.4704         1.2691         1.0000         1.3735         1.3733
         0.0600         1.4704         1.2691         1.0000         1.3736         1.3733
         0.0613         1.4705         1.2691         1.0000         1.3736         1.3734
         0.0627         1.4705         1.2692         1.0000         1.3737         1.3734
         0.0640         1.4706         1.2692         1.0000         1.3737         1.3734
         0.0653         1.4706         1.2692         1.0000         1.3738         1.3735
         0.0667         1.4707         1.2693         1.0000         1.3738         1.3735
         0.0680         1.4708         1.2693         1.0000         1.3739         1.3736
         0.0693         1.4708         1.2693         1.0000         1.3739         1.3736
         0.0707         1.4709         1.2694         1.0000         1.3740         1.3737
         0.0720         1.4709         1.2694         1.0000         1.3740         1.3737
         0.0733         1.4710         1.2694         1.0000         1.3740         1.3738
         0.0747         1.4710         1.2695         1.0000         1.3741         1.3738
         0.0760         1.4711         1.2695         1.0000         1.3741         1.3739
         0.0773         1.4711         1.2695         1.0000         1.3742         1.3739
         0.0787         1.4712         1.2696         1.0000         1.3742         1.3740
         0.0800         1.4713         1.2696         1.0000         1.3743         1.3740
         0.0813         1.4713         1.2696         1.0000         1.3743         1.3740
         0.0827         1.4714         1.2697         1.0000         1.3744         1.3741
         0.0840         1.4714         1.2697         1.0000         1.3744         1.3741
         0.0853         1.4715         1.2698         1.0000         1.3745         1.3742
         0.0867         1.4715         1.2698         1.0000         1.3745         1.3742
         0.0880         1.4716         1.2698         1.0000         1.3746         1.3743
         0.0893         1.4716         1.2699         1.0000         1.3746         1.3743
         0.0907         1.4717         1.2699         1.0000         1.3746         1.3744
         0.0920         1.4718         1.2699         1.0000         1.3747         1.3744
         0.0933         1.4718         1.2700         1.0000         1.3747         1.3745
         0.0947         1.4719         1.2700         1.0000         1.3748         1.3745
         0.0960         1.4719         1.2700         1.0000         1.3748         1.3746
         0.0973         1.4720         1.2701         1.0000         1.3749         1.3746
         0.0987         1.4720         1.2701         1.0000         1.3749         1.3746
         0.1000         1.4721         1.2701         1.0000         1.3750         1.3747
         0.1013         1.4722         1.2702         1.0000         1.3750         1.3747
         0.1027         1.4722         1.2702         1.0000         1.3751         1.3748
         0.1040         1.4723         1.2702         1.0000         1.3751         1.3748
         0.1053         1.4723         1.2703         1.0000         1.3752         1.3749
         0.1067         1.4724         1.2703         1.0000         1.3752         1.3749
         0.1080         1.4724         1.2703         1.0000         1.3752         1.3750
         0.1093         1.4725         1.2704         1.0000         1.3753         1.3750
         0.1107         1.4725         1.2704         1.0000         1.3753         1.3751
         0.1120         1.4726         1.2705         1.0000         1.3754         1.3751
         0.1133         1.4727         1.2705         1.0000         1.3754         1.3752
         0.1147         1.4727         1.2705         1.0000         1.3755         1.3752
         0.1160         1.4728         1.2706         1.0000         1.3755         1.3752
         0.1173         1.4728         1.2706         1.0000         1.3756         1.3753
         0.1187         1.4729         1.2706         1.0000         1.3756         1.3753
         0.1200         1.4729         1.2707         1.0000         1.3757         1.3754
         0.1213         1.4730         1.2707         1.0000         1.3757         1.3754
         0.1227         1.4731         1.2707         1.0000         1.3758         1.3755
         0.1240         1.4731         1.2708         1.0000         1.3758         1.3755
         0.1253         1.4732         1.2708         1.0000         1.3759         1.3756
         0.1267         1.4732         1.2708         1.0000         1.3759         1.3756
         0.1280         1.4733         1.2709         1.0000         1.3759         1.3757
         0.1293         1.4733         1.2709         1.0000         1.3760         1.3757
         0.1307         1.4734         1.2710         1.0000         1.3760         1.3758
         0.1320         1.4734         1.2710         1.0000         1.3761         1.3758
         0.1333         1.4735         1.2710         1.0000         1.3761         1.3758
         0.1347         1.4736         1.2711         1.0000         1.3762         1.3759
         0.1360         1.4736         1.2711         1.0000         1.3762         1.3759
         0.1373         1.4737         1.2711         1.0000         1.3763         1.3760
         0.1387         1.4737         1.2712         1.0000         1.3763         1.3760
         0.1400         1.4738         1.2712         1.0000         1.3764         1.3761
         0.1413         1.4738         1.2712         1.0000         1.3764         1.3761
         0.1427         1.4739         1.2713         1.0000         1.3765         1.3762
         0.1440         1.4740         1.2713         1.0000         1.3765         1.3762
         0.1453         1.4740         1.2713         1.0000         1.3766         1.3763
         0.1467         1.4741         1.2714         1.0000         1.3766         1.3763
         0.1480         1.4741         1.2714         1.0000         1.3766         1.3764
         0.1493         1.4742         1.2714         1.0000         1.3767         1.3764
         0.1507         1.4742         1.2715         1.0000         1.3767         1.3765
         0.1520         1.4743         1.2715         1.0000         1.3768         1.3765
         0.1533         1.4744         1.2716         1.0000         1.3768         1.3765
         0.1547         1.4744         1.2716         1.0000         1.3769         1.3766
         0.1560         1.4745         1.2716         1.0000         1.3769         1.3766
         0.1573         1.4745         1.2717         1.0000         1.3770         1.3767
         0.1587         1.4746         1.2717         1.0000         1.3770         1.3767
         0.1600         1.4746         1.2717         1.0000         1.3771         1.3768
         0.1613         1.4747         1.2718         1.0000         1.3771         1.3768
         0.1627         1.4747         1.2718         1.0000         1.3772         1.3769
         0.1640         1.4748         1.2718         1.0000         1.3772         1.3769
         0.1653         1.4749         1.2719         1.0000         1.3773         1.3770
         0.1667         1.4749         1.2719         1.0000         1.3773         1.3770
         0.1680         1.4750         1.2719         1.0000         1.3774         1.3771
         0.1693         1.4750         1.2720         1.0000         1.3774         1.3771
         0.1707         1.4751         1.2720         1.0000         1.3774         1.3772
         0.1720         1.4751         1.2721         1.0000         1.3775         1.3772
         0.1733         1.4752         1.2721         1.0000         1.3775         1.3773
         0.1747         1.4753         1.2721         1.0000         1.3776         1.3773
         0.1760         1.4753         1.2722         1.0000         1.3776         1.3773
         0.1773         1.4754         1.2722         1.0000         1.3777         1.3774
         0.1787         1.4754         1.2722         1.0000         1.3777         1.3774
         0.1800         1.4755         1.2723         1.0000         1.3778         1.3775
         0.1813         1.4755         1.2723         1.0000         1.3778         1.3775
         0.1827         1.4756         1.2723         1.0000         1.3779         1.3776
         0.1840         1.4757         1.2724         1.0000         1.3779         1.3776
         0.1853         1.4757         1.2724         1.0000         1.3780         1.3777
         0.1867         1.4758         1.2725         1.0000         1.3780         1.3777
         0.1880         1.4758         1.2725         1.0000         1.3781         1.3778
         0.1893         1.4759         1.2725         1.0000         1.3781         1.3778
         0.1907         1.4759         1.2726         1.0000         1.3782         1.3779
