 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0013         0.0000         0.0000         0.0000        86.5338         0.0000         0.0000
         0.0027         0.0000         0.0000         0.0000       173.0763         0.0000         0.0000
         0.0040         0.0000         0.0000         0.0000       259.6274         0.0000         0.0000
         0.0053         0.0000         0.0000         0.0000       346.1871         0.0000         0.0000
         0.0067         0.0000         0.0000         0.0000       432.7556         0.0000         0.0000
         0.0080         0.0000         0.0000         0.0000       519.3326         0.0000         0.0000
         0.0093         0.0000         0.0000         0.0000       605.9184         0.0000         0.0000
         0.0107         0.0000         0.0000         0.0000       692.5128         0.0000         0.0000
         0.0120         0.0000         0.0000         0.0000       779.1158         0.0000         0.0000
         0.0133         0.0000         0.0000         0.0000       865.7276         0.0000         0.0000
         0.0147         0.0000         0.0000         0.0000       952.3481         0.0000         0.0000
         0.0160         0.0000         0.0000         0.0000      1038.9771         0.0000         0.0000
         0.0173         0.0000         0.0000         0.0000      1125.6148         0.0000         0.0000
         0.0187         0.0000         0.0000         0.0000      1212.2613         0.0000         0.0000
         0.0200         0.0000         0.0000         0.0000      1298.9163         0.0000         0.0000
         0.0213         0.0000         0.0000         0.0000      1385.5801         0.0000         0.0000
         0.0227         0.0000         0.0000         0.0000      1472.2527         0.0000         0.0000
         0.0240         0.0000         0.0000         0.0000      1558.9338         0.0000         0.0000
         0.0253         0.0000         0.0000         0.0000      1645.6237         0.0000         0.0000
         0.0267         0.0000         0.0000         0.0000      1732.3222         0.0000         0.0000
         0.0280         0.0000         0.0000         0.0000      1819.0294         0.0000         0.0000
         0.0293         0.0000         0.0000         0.0000      1905.7453         0.0000         0.0000
         0.0307         0.0000         0.0000         0.0000      1992.4698         0.0000         0.0000
         0.0320         0.0000         0.0000         0.0000      2079.2033         0.0000         0.0000
         0.0333         0.0000         0.0000         0.0000      2165.9452         0.0000         0.0000
         0.0347         0.0000         0.0000         0.0000      2252.6960         0.0000         0.0000
         0.0360         0.0000         0.0000         0.0000      2339.4555         0.0000         0.0000
         0.0373         0.0000         0.0000         0.0000      2426.2234         0.0000         0.0000
         0.0387         0.0000         0.0000         0.0000      2513.0003         0.0000         0.0000
         0.0400         0.0000         0.0000         0.0000      2599.7859         0.0000         0.0000
         0.0413         0.0000         0.0000         0.0000      2686.5801         0.0000         0.0000
         0.0427         0.0000         0.0000         0.0000      2773.3830         0.0000         0.0000
         0.0440         0.0000         0.0000         0.0000      2860.1947         0.0000         0.0000
         0.0453         0.0000         0.0000         0.0000      2947.0153         0.0000         0.0000
         0.0467         0.0000         0.0000         0.0000      3033.8443         0.0000         0.0000
         0.0480         0.0000         0.0000         0.0000      3120.6820         0.0000         0.0000
         0.0493         0.0000         0.0000         0.0000      3207.5287         0.0000         0.0000
         0.0507         0.0000         0.0000         0.0000      3294.3842         0.0000         0.0000
         0.0520         0.0000         0.0000         0.0000      3381.2479         0.0000         0.0000
         0.0533         0.0000         0.0000         0.0000      3468.1208         0.0000         0.0000
         0.0547         0.0000         0.0000         0.0000      3555.0023         0.0000         0.0000
         0.0560         0.0000         0.0000         0.0000      3641.8925         0.0000         0.0000
         0.0573         0.0000         0.0000         0.0000      3728.7915         0.0000         0.0000
         0.0587         0.0000         0.0000         0.0000      3815.6996         0.0000         0.0000
         0.0600         0.0000         0.0000         0.0000      3902.6159         0.0000         0.0000
         0.0613         0.0000         0.0000         0.0000      3989.5410         0.0000         0.0000
         0.0627         0.0000         0.0000         0.0000      4076.4752         0.0000         0.0000
         0.0640         0.0000         0.0000         0.0000      4163.4176         0.0000         0.0000
         0.0653         0.0000         0.0000         0.0000      4250.3693         0.0000         0.0000
         0.0667         0.0000         0.0000         0.0000      4337.3296         0.0000         0.0000
         0.0680         0.0000         0.0000         0.0000      4424.2982         0.0000         0.0000
         0.0693         0.0000         0.0000         0.0000      4511.2760         0.0000         0.0000
         0.0707         0.0000         0.0000         0.0000      4598.2625         0.0000         0.0000
         0.0720         0.0000         0.0000         0.0000      4685.2577         0.0000         0.0000
         0.0733         0.0000         0.0000         0.0000      4772.2616         0.0000         0.0000
         0.0747         0.0000         0.0000         0.0000      4859.2748         0.0000         0.0000
         0.0760         0.0000         0.0000         0.0000      4946.2962         0.0000         0.0000
         0.0773         0.0000         0.0000         0.0000      5033.3262         0.0000         0.0000
         0.0787         0.0000         0.0000         0.0000      5120.3656         0.0000         0.0000
         0.0800         0.0000         0.0000         0.0000      5207.4137         0.0000         0.0000
         0.0813         0.0000         0.0000         0.0000      5294.4699         0.0000         0.0000
         0.0827         0.0000         0.0000         0.0000      5381.5355         0.0000         0.0000
         0.0840         0.0000         0.0000         0.0000      5468.6098         0.0000         0.0000
         0.0853         0.0000         0.0000         0.0000      5555.6928         0.0000         0.0000
         0.0867         0.0000         0.0000         0.0000      5642.7846         0.0000         0.0000
         0.0880         0.0000         0.0000         0.0000      5729.8850         0.0000         0.0000
         0.0893         0.0000         0.0000         0.0000      5816.9942         0.0000         0.0000
         0.0907         0.0000         0.0000         0.0000      5904.1129         0.0000         0.0000
         0.0920         0.0000         0.0000         0.0000      5991.2395         0.0000         0.0000
         0.0933         0.0000         0.0000         0.0000      6078.3756         0.0000         0.0000
         0.0947         0.0000         0.0000         0.0000      6165.5197         0.0000         0.0000
         0.0960         0.0000         0.0000         0.0000      6252.6733         0.0000         0.0000
         0.0973         0.0000         0.0000         0.0000      6339.8356         0.0000         0.0000
         0.0987         0.0000         0.0000         0.0000      6427.0067         0.0000         0.0000
         0.1000         0.0000         0.0000         0.0000      6514.1865         0.0000         0.0000
         0.1013         0.0000         0.0000         0.0000      6601.3751         0.0000         0.0000
         0.1027         0.0000         0.0000         0.0000      6688.5724         0.0000         0.0000
         0.1040         0.0000         0.0000         0.0000      6775.7784         0.0000         0.0000
         0.1053         0.0000         0.0000         0.0000      6862.9932         0.0000         0.0000
         0.1067         0.0000         0.0000         0.0000      6950.2175         0.0000         0.0000
         0.1080         0.0000         0.0000         0.0000      7037.4497         0.0000         0.0000
         0.1093         0.0000         0.0000         0.0000      7124.6916         0.0000         0.0000
         0.1107         0.0000         0.0000         0.0000      7211.9413         0.0000         0.0000
         0.1120         0.0000         0.0000         0.0000      7299.2007         0.0000         0.0000
