 #  energy  real  imag
  0.000000000000000E+000   1.528065      0.0000000E+00
  1.333333333333333E-003   1.528125      0.0000000E+00
  2.666666666666667E-003   1.528185      0.0000000E+00
  4.000000000000000E-003   1.528244      0.0000000E+00
  5.333333333333333E-003   1.528304      0.0000000E+00
  6.666666666666667E-003   1.528364      0.0000000E+00
  8.000000000000000E-003   1.528423      0.0000000E+00
  9.333333333333334E-003   1.528483      0.0000000E+00
  1.066666666666667E-002   1.528543      0.0000000E+00
  1.200000000000000E-002   1.528603      0.0000000E+00
  1.333333333333333E-002   1.528662      0.0000000E+00
  1.466666666666667E-002   1.528722      0.0000000E+00
  1.600000000000000E-002   1.528782      0.0000000E+00
  1.733333333333333E-002   1.528842      0.0000000E+00
  1.866666666666667E-002   1.528902      0.0000000E+00
  2.000000000000000E-002   1.528962      0.0000000E+00
  2.133333333333333E-002   1.529022      0.0000000E+00
  2.266666666666667E-002   1.529081      0.0000000E+00
  2.400000000000000E-002   1.529141      0.0000000E+00
  2.533333333333333E-002   1.529201      0.0000000E+00
  2.666666666666667E-002   1.529261      0.0000000E+00
  2.800000000000000E-002   1.529321      0.0000000E+00
  2.933333333333333E-002   1.529381      0.0000000E+00
  3.066666666666666E-002   1.529441      0.0000000E+00
  3.200000000000000E-002   1.529501      0.0000000E+00
  3.333333333333333E-002   1.529561      0.0000000E+00
  3.466666666666667E-002   1.529621      0.0000000E+00
  3.600000000000000E-002   1.529681      0.0000000E+00
  3.733333333333334E-002   1.529741      0.0000000E+00
  3.866666666666667E-002   1.529801      0.0000000E+00
  4.000000000000000E-002   1.529861      0.0000000E+00
  4.133333333333333E-002   1.529921      0.0000000E+00
  4.266666666666667E-002   1.529981      0.0000000E+00
  4.400000000000000E-002   1.530042      0.0000000E+00
  4.533333333333334E-002   1.530102      0.0000000E+00
  4.666666666666667E-002   1.530162      0.0000000E+00
  4.800000000000000E-002   1.530222      0.0000000E+00
  4.933333333333333E-002   1.530282      0.0000000E+00
  5.066666666666667E-002   1.530342      0.0000000E+00
  5.200000000000000E-002   1.530403      0.0000000E+00
  5.333333333333334E-002   1.530463      0.0000000E+00
  5.466666666666667E-002   1.530523      0.0000000E+00
  5.600000000000000E-002   1.530583      0.0000000E+00
  5.733333333333333E-002   1.530644      0.0000000E+00
  5.866666666666667E-002   1.530704      0.0000000E+00
  6.000000000000000E-002   1.530764      0.0000000E+00
  6.133333333333333E-002   1.530825      0.0000000E+00
  6.266666666666666E-002   1.530885      0.0000000E+00
  6.400000000000000E-002   1.530945      0.0000000E+00
  6.533333333333333E-002   1.531006      0.0000000E+00
  6.666666666666667E-002   1.531066      0.0000000E+00
  6.800000000000000E-002   1.531126      0.0000000E+00
  6.933333333333333E-002   1.531187      0.0000000E+00
  7.066666666666667E-002   1.531247      0.0000000E+00
  7.199999999999999E-002   1.531308      0.0000000E+00
  7.333333333333333E-002   1.531368      0.0000000E+00
  7.466666666666667E-002   1.531428      0.0000000E+00
  7.600000000000000E-002   1.531489      0.0000000E+00
  7.733333333333334E-002   1.531549      0.0000000E+00
  7.866666666666666E-002   1.531610      0.0000000E+00
  8.000000000000000E-002   1.531670      0.0000000E+00
  8.133333333333333E-002   1.531731      0.0000000E+00
  8.266666666666667E-002   1.531792      0.0000000E+00
  8.400000000000001E-002   1.531852      0.0000000E+00
  8.533333333333333E-002   1.531913      0.0000000E+00
  8.666666666666667E-002   1.531973      0.0000000E+00
  8.799999999999999E-002   1.532034      0.0000000E+00
  8.933333333333333E-002   1.532095      0.0000000E+00
  9.066666666666667E-002   1.532155      0.0000000E+00
  9.200000000000000E-002   1.532216      0.0000000E+00
  9.333333333333334E-002   1.532277      0.0000000E+00
  9.466666666666666E-002   1.532337      0.0000000E+00
  9.600000000000000E-002   1.532398      0.0000000E+00
  9.733333333333333E-002   1.532459      0.0000000E+00
