 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.6407         0.0000         0.0000
         0.0013         0.0000         0.0000         0.0000         0.6408         0.0000         0.0000
         0.0027         0.0000         0.0000         0.0000         0.6408         0.0000         0.0000
         0.0040         0.0000         0.0000         0.0000         0.6408         0.0000         0.0000
         0.0053         0.0000         0.0000         0.0000         0.6409         0.0000         0.0000
         0.0067         0.0000         0.0000         0.0000         0.6409         0.0000         0.0000
         0.0080         0.0000         0.0000         0.0000         0.6409         0.0000         0.0000
         0.0093         0.0000         0.0000         0.0000         0.6410         0.0000         0.0000
         0.0107         0.0000         0.0000         0.0000         0.6410         0.0000         0.0000
         0.0120         0.0000         0.0000         0.0000         0.6410         0.0000         0.0000
         0.0133         0.0000         0.0000         0.0000         0.6410         0.0000         0.0000
         0.0147         0.0000         0.0000         0.0000         0.6411         0.0000         0.0000
         0.0160         0.0000         0.0000         0.0000         0.6411         0.0000         0.0000
         0.0173         0.0000         0.0000         0.0000         0.6411         0.0000         0.0000
         0.0187         0.0000         0.0000         0.0000         0.6412         0.0000         0.0000
         0.0200         0.0000         0.0000         0.0000         0.6412         0.0000         0.0000
         0.0213         0.0000         0.0000         0.0000         0.6412         0.0000         0.0000
         0.0227         0.0000         0.0000         0.0000         0.6413         0.0000         0.0000
         0.0240         0.0000         0.0000         0.0000         0.6413         0.0000         0.0000
         0.0253         0.0000         0.0000         0.0000         0.6413         0.0000         0.0000
         0.0267         0.0000         0.0000         0.0000         0.6414         0.0000         0.0000
         0.0280         0.0000         0.0000         0.0000         0.6414         0.0000         0.0000
         0.0293         0.0000         0.0000         0.0000         0.6414         0.0000         0.0000
         0.0307         0.0000         0.0000         0.0000         0.6415         0.0000         0.0000
         0.0320         0.0000         0.0000         0.0000         0.6415         0.0000         0.0000
         0.0333         0.0000         0.0000         0.0000         0.6415         0.0000         0.0000
         0.0347         0.0000         0.0000         0.0000         0.6416         0.0000         0.0000
         0.0360         0.0000         0.0000         0.0000         0.6416         0.0000         0.0000
         0.0373         0.0000         0.0000         0.0000         0.6416         0.0000         0.0000
         0.0387         0.0000         0.0000         0.0000         0.6417         0.0000         0.0000
         0.0400         0.0000         0.0000         0.0000         0.6417         0.0000         0.0000
         0.0413         0.0000         0.0000         0.0000         0.6417         0.0000         0.0000
         0.0427         0.0000         0.0000         0.0000         0.6418         0.0000         0.0000
         0.0440         0.0000         0.0000         0.0000         0.6418         0.0000         0.0000
         0.0453         0.0000         0.0000         0.0000         0.6418         0.0000         0.0000
         0.0467         0.0000         0.0000         0.0000         0.6419         0.0000         0.0000
         0.0480         0.0000         0.0000         0.0000         0.6419         0.0000         0.0000
         0.0493         0.0000         0.0000         0.0000         0.6419         0.0000         0.0000
         0.0507         0.0000         0.0000         0.0000         0.6419         0.0000         0.0000
         0.0520         0.0000         0.0000         0.0000         0.6420         0.0000         0.0000
         0.0533         0.0000         0.0000         0.0000         0.6420         0.0000         0.0000
         0.0547         0.0000         0.0000         0.0000         0.6420         0.0000         0.0000
         0.0560         0.0000         0.0000         0.0000         0.6421         0.0000         0.0000
         0.0573         0.0000         0.0000         0.0000         0.6421         0.0000         0.0000
         0.0587         0.0000         0.0000         0.0000         0.6421         0.0000         0.0000
         0.0600         0.0000         0.0000         0.0000         0.6422         0.0000         0.0000
         0.0613         0.0000         0.0000         0.0000         0.6422         0.0000         0.0000
         0.0627         0.0000         0.0000         0.0000         0.6422         0.0000         0.0000
         0.0640         0.0000         0.0000         0.0000         0.6423         0.0000         0.0000
         0.0653         0.0000         0.0000         0.0000         0.6423         0.0000         0.0000
         0.0667         0.0000         0.0000         0.0000         0.6423         0.0000         0.0000
         0.0680         0.0000         0.0000         0.0000         0.6424         0.0000         0.0000
         0.0693         0.0000         0.0000         0.0000         0.6424         0.0000         0.0000
         0.0707         0.0000         0.0000         0.0000         0.6424         0.0000         0.0000
         0.0720         0.0000         0.0000         0.0000         0.6425         0.0000         0.0000
         0.0733         0.0000         0.0000         0.0000         0.6425         0.0000         0.0000
         0.0747         0.0000         0.0000         0.0000         0.6425         0.0000         0.0000
         0.0760         0.0000         0.0000         0.0000         0.6426         0.0000         0.0000
         0.0773         0.0000         0.0000         0.0000         0.6426         0.0000         0.0000
         0.0787         0.0000         0.0000         0.0000         0.6426         0.0000         0.0000
         0.0800         0.0000         0.0000         0.0000         0.6427         0.0000         0.0000
         0.0813         0.0000         0.0000         0.0000         0.6427         0.0000         0.0000
         0.0827         0.0000         0.0000         0.0000         0.6427         0.0000         0.0000
         0.0840         0.0000         0.0000         0.0000         0.6428         0.0000         0.0000
         0.0853         0.0000         0.0000         0.0000         0.6428         0.0000         0.0000
         0.0867         0.0000         0.0000         0.0000         0.6428         0.0000         0.0000
