 #  energy  x  y  z  sp  sm
         0.0000         1.4164         1.2361         1.0000         1.3294         1.3293
         0.0013         1.4165         1.2362         1.0000         1.3294         1.3293
         0.0027         1.4165         1.2362         1.0000         1.3295         1.3294
         0.0040         1.4165         1.2362         1.0000         1.3295         1.3294
         0.0053         1.4166         1.2362         1.0000         1.3295         1.3294
         0.0067         1.4166         1.2363         1.0000         1.3295         1.3295
         0.0080         1.4166         1.2363         1.0000         1.3296         1.3295
         0.0093         1.4167         1.2363         1.0000         1.3296         1.3295
         0.0107         1.4167         1.2363         1.0000         1.3296         1.3295
         0.0120         1.4168         1.2364         1.0000         1.3297         1.3296
         0.0133         1.4168         1.2364         1.0000         1.3297         1.3296
         0.0147         1.4168         1.2364         1.0000         1.3297         1.3296
         0.0160         1.4169         1.2364         1.0000         1.3298         1.3297
         0.0173         1.4169         1.2365         1.0000         1.3298         1.3297
         0.0187         1.4169         1.2365         1.0000         1.3298         1.3297
         0.0200         1.4170         1.2365         1.0000         1.3299         1.3298
         0.0213         1.4170         1.2365         1.0000         1.3299         1.3298
         0.0227         1.4171         1.2366         1.0000         1.3299         1.3298
         0.0240         1.4171         1.2366         1.0000         1.3300         1.3299
         0.0253         1.4171         1.2366         1.0000         1.3300         1.3299
         0.0267         1.4172         1.2366         1.0000         1.3300         1.3299
         0.0280         1.4172         1.2367         1.0000         1.3300         1.3300
         0.0293         1.4173         1.2367         1.0000         1.3301         1.3300
         0.0307         1.4173         1.2367         1.0000         1.3301         1.3300
         0.0320         1.4173         1.2367         1.0000         1.3301         1.3301
         0.0333         1.4174         1.2368         1.0000         1.3302         1.3301
         0.0347         1.4174         1.2368         1.0000         1.3302         1.3301
         0.0360         1.4174         1.2368         1.0000         1.3302         1.3301
         0.0373         1.4175         1.2368         1.0000         1.3303         1.3302
         0.0387         1.4175         1.2369         1.0000         1.3303         1.3302
         0.0400         1.4176         1.2369         1.0000         1.3303         1.3302
         0.0413         1.4176         1.2369         1.0000         1.3304         1.3303
         0.0427         1.4176         1.2369         1.0000         1.3304         1.3303
         0.0440         1.4177         1.2369         1.0000         1.3304         1.3303
         0.0453         1.4177         1.2370         1.0000         1.3305         1.3304
         0.0467         1.4177         1.2370         1.0000         1.3305         1.3304
         0.0480         1.4178         1.2370         1.0000         1.3305         1.3304
         0.0493         1.4178         1.2370         1.0000         1.3306         1.3305
         0.0507         1.4179         1.2371         1.0000         1.3306         1.3305
         0.0520         1.4179         1.2371         1.0000         1.3306         1.3305
         0.0533         1.4179         1.2371         1.0000         1.3307         1.3306
         0.0547         1.4180         1.2371         1.0000         1.3307         1.3306
         0.0560         1.4180         1.2372         1.0000         1.3307         1.3306
         0.0573         1.4181         1.2372         1.0000         1.3307         1.3307
         0.0587         1.4181         1.2372         1.0000         1.3308         1.3307
         0.0600         1.4181         1.2372         1.0000         1.3308         1.3307
         0.0613         1.4182         1.2373         1.0000         1.3308         1.3307
         0.0627         1.4182         1.2373         1.0000         1.3309         1.3308
         0.0640         1.4182         1.2373         1.0000         1.3309         1.3308
         0.0653         1.4183         1.2373         1.0000         1.3309         1.3308
         0.0667         1.4183         1.2374         1.0000         1.3310         1.3309
         0.0680         1.4184         1.2374         1.0000         1.3310         1.3309
         0.0693         1.4184         1.2374         1.0000         1.3310         1.3309
         0.0707         1.4184         1.2374         1.0000         1.3311         1.3310
         0.0720         1.4185         1.2375         1.0000         1.3311         1.3310
         0.0733         1.4185         1.2375         1.0000         1.3311         1.3310
         0.0747         1.4186         1.2375         1.0000         1.3312         1.3311
         0.0760         1.4186         1.2375         1.0000         1.3312         1.3311
         0.0773         1.4186         1.2376         1.0000         1.3312         1.3311
         0.0787         1.4187         1.2376         1.0000         1.3313         1.3312
         0.0800         1.4187         1.2376         1.0000         1.3313         1.3312
         0.0813         1.4187         1.2376         1.0000         1.3313         1.3312
         0.0827         1.4188         1.2377         1.0000         1.3314         1.3313
