 #  energy  x  y  z  sp  sm
         0.0000         1.9131         1.6468         1.0000         1.7846         1.7852
         0.0013         1.9133         1.6469         1.0000         1.7848         1.7854
         0.0027         1.9135         1.6471         1.0000         1.7850         1.7856
         0.0040         1.9137         1.6472         1.0000         1.7851         1.7857
         0.0053         1.9139         1.6474         1.0000         1.7853         1.7859
         0.0067         1.9141         1.6475         1.0000         1.7855         1.7861
         0.0080         1.9143         1.6477         1.0000         1.7857         1.7863
         0.0093         1.9145         1.6479         1.0000         1.7858         1.7864
         0.0107         1.9147         1.6480         1.0000         1.7860         1.7866
         0.0120         1.9148         1.6482         1.0000         1.7862         1.7868
         0.0133         1.9150         1.6483         1.0000         1.7864         1.7870
         0.0147         1.9152         1.6485         1.0000         1.7865         1.7871
         0.0160         1.9154         1.6486         1.0000         1.7867         1.7873
         0.0173         1.9156         1.6488         1.0000         1.7869         1.7875
         0.0187         1.9158         1.6490         1.0000         1.7871         1.7877
         0.0200         1.9160         1.6491         1.0000         1.7872         1.7878
         0.0213         1.9162         1.6493         1.0000         1.7874         1.7880
         0.0227         1.9164         1.6494         1.0000         1.7876         1.7882
         0.0240         1.9166         1.6496         1.0000         1.7878         1.7884
         0.0253         1.9168         1.6498         1.0000         1.7879         1.7886
         0.0267         1.9169         1.6499         1.0000         1.7881         1.7887
         0.0280         1.9171         1.6501         1.0000         1.7883         1.7889
         0.0293         1.9173         1.6502         1.0000         1.7885         1.7891
         0.0307         1.9175         1.6504         1.0000         1.7886         1.7893
         0.0320         1.9177         1.6505         1.0000         1.7888         1.7894
         0.0333         1.9179         1.6507         1.0000         1.7890         1.7896
         0.0347         1.9181         1.6509         1.0000         1.7892         1.7898
         0.0360         1.9183         1.6510         1.0000         1.7893         1.7900
         0.0373         1.9185         1.6512         1.0000         1.7895         1.7901
         0.0387         1.9187         1.6513         1.0000         1.7897         1.7903
         0.0400         1.9189         1.6515         1.0000         1.7899         1.7905
         0.0413         1.9191         1.6517         1.0000         1.7900         1.7907
         0.0427         1.9192         1.6518         1.0000         1.7902         1.7909
         0.0440         1.9194         1.6520         1.0000         1.7904         1.7910
         0.0453         1.9196         1.6521         1.0000         1.7906         1.7912
         0.0467         1.9198         1.6523         1.0000         1.7908         1.7914
         0.0480         1.9200         1.6525         1.0000         1.7909         1.7916
         0.0493         1.9202         1.6526         1.0000         1.7911         1.7917
         0.0507         1.9204         1.6528         1.0000         1.7913         1.7919
         0.0520         1.9206         1.6529         1.0000         1.7915         1.7921
         0.0533         1.9208         1.6531         1.0000         1.7916         1.7923
         0.0547         1.9210         1.6533         1.0000         1.7918         1.7925
         0.0560         1.9212         1.6534         1.0000         1.7920         1.7926
         0.0573         1.9214         1.6536         1.0000         1.7922         1.7928
         0.0587         1.9216         1.6537         1.0000         1.7923         1.7930
         0.0600         1.9218         1.6539         1.0000         1.7925         1.7932
         0.0613         1.9220         1.6541         1.0000         1.7927         1.7933
         0.0627         1.9222         1.6542         1.0000         1.7929         1.7935
         0.0640         1.9224         1.6544         1.0000         1.7931         1.7937
         0.0653         1.9225         1.6546         1.0000         1.7932         1.7939
         0.0667         1.9227         1.6547         1.0000         1.7934         1.7941
         0.0680         1.9229         1.6549         1.0000         1.7936         1.7942
         0.0693         1.9231         1.6550         1.0000         1.7938         1.7944
         0.0707         1.9233         1.6552         1.0000         1.7940         1.7946
         0.0720         1.9235         1.6554         1.0000         1.7941         1.7948
         0.0733         1.9237         1.6555         1.0000         1.7943         1.7950
         0.0747         1.9239         1.6557         1.0000         1.7945         1.7951
         0.0760         1.9241         1.6559         1.0000         1.7947         1.7953
         0.0773         1.9243         1.6560         1.0000         1.7949         1.7955
         0.0787         1.9245         1.6562         1.0000         1.7950         1.7957
         0.0800         1.9247         1.6563         1.0000         1.7952         1.7959
         0.0813         1.9249         1.6565         1.0000         1.7954         1.7960
         0.0827         1.9251         1.6567         1.0000         1.7956         1.7962
