 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         1.9131         1.6468         1.0000         0.0000         0.0000         0.0000
         0.0013         1.9133         1.6469         1.0000         0.0000         0.0000         0.0000
         0.0027         1.9135         1.6471         1.0000         0.0000         0.0000         0.0000
         0.0040         1.9137         1.6472         1.0000         0.0000         0.0000         0.0000
         0.0053         1.9139         1.6474         1.0000         0.0000         0.0000         0.0000
         0.0067         1.9141         1.6475         1.0000         0.0000         0.0000         0.0000
         0.0080         1.9143         1.6477         1.0000         0.0000         0.0000         0.0000
         0.0093         1.9145         1.6479         1.0000         0.0000         0.0000         0.0000
         0.0107         1.9147         1.6480         1.0000         0.0000         0.0000         0.0000
         0.0120         1.9148         1.6482         1.0000         0.0000         0.0000         0.0000
         0.0133         1.9150         1.6483         1.0000         0.0000         0.0000         0.0000
         0.0147         1.9152         1.6485         1.0000         0.0000         0.0000         0.0000
         0.0160         1.9154         1.6486         1.0000         0.0000         0.0000         0.0000
         0.0173         1.9156         1.6488         1.0000         0.0000         0.0000         0.0000
         0.0187         1.9158         1.6490         1.0000         0.0000         0.0000         0.0000
         0.0200         1.9160         1.6491         1.0000         0.0000         0.0000         0.0000
         0.0213         1.9162         1.6493         1.0000         0.0000         0.0000         0.0000
         0.0227         1.9164         1.6494         1.0000         0.0000         0.0000         0.0000
         0.0240         1.9166         1.6496         1.0000         0.0000         0.0000         0.0000
         0.0253         1.9168         1.6498         1.0000         0.0000         0.0000         0.0000
         0.0267         1.9169         1.6499         1.0000         0.0000         0.0000         0.0000
         0.0280         1.9171         1.6501         1.0000         0.0000         0.0000         0.0000
         0.0293         1.9173         1.6502         1.0000         0.0000         0.0000         0.0000
         0.0307         1.9175         1.6504         1.0000         0.0000         0.0000         0.0000
         0.0320         1.9177         1.6505         1.0000         0.0000         0.0000         0.0000
         0.0333         1.9179         1.6507         1.0000         0.0000         0.0000         0.0000
         0.0347         1.9181         1.6509         1.0000         0.0000         0.0000         0.0000
         0.0360         1.9183         1.6510         1.0000         0.0000         0.0000         0.0000
         0.0373         1.9185         1.6512         1.0000         0.0000         0.0000         0.0000
         0.0387         1.9187         1.6513         1.0000         0.0000         0.0000         0.0000
         0.0400         1.9189         1.6515         1.0000         0.0000         0.0000         0.0000
         0.0413         1.9191         1.6517         1.0000         0.0000         0.0000         0.0000
         0.0427         1.9192         1.6518         1.0000         0.0000         0.0000         0.0000
         0.0440         1.9194         1.6520         1.0000         0.0000         0.0000         0.0000
         0.0453         1.9196         1.6521         1.0000         0.0000         0.0000         0.0000
         0.0467         1.9198         1.6523         1.0000         0.0000         0.0000         0.0000
         0.0480         1.9200         1.6525         1.0000         0.0000         0.0000         0.0000
         0.0493         1.9202         1.6526         1.0000         0.0000         0.0000         0.0000
         0.0507         1.9204         1.6528         1.0000         0.0000         0.0000         0.0000
         0.0520         1.9206         1.6529         1.0000         0.0000         0.0000         0.0000
         0.0533         1.9208         1.6531         1.0000         0.0000         0.0000         0.0000
         0.0547         1.9210         1.6533         1.0000         0.0000         0.0000         0.0000
         0.0560         1.9212         1.6534         1.0000         0.0000         0.0000         0.0000
         0.0573         1.9214         1.6536         1.0000         0.0000         0.0000         0.0000
         0.0587         1.9216         1.6537         1.0000         0.0000         0.0000         0.0000
         0.0600         1.9218         1.6539         1.0000         0.0000         0.0000         0.0000
         0.0613         1.9220         1.6541         1.0000         0.0000         0.0000         0.0000
         0.0627         1.9222         1.6542         1.0000         0.0000         0.0000         0.0000
         0.0640         1.9224         1.6544         1.0000         0.0000         0.0000         0.0000
         0.0653         1.9225         1.6546         1.0000         0.0000         0.0000         0.0000
         0.0667         1.9227         1.6547         1.0000         0.0000         0.0000         0.0000
         0.0680         1.9229         1.6549         1.0000         0.0000         0.0000         0.0000
         0.0693         1.9231         1.6550         1.0000         0.0000         0.0000         0.0000
         0.0707         1.9233         1.6552         1.0000         0.0000         0.0000         0.0000
         0.0720         1.9235         1.6554         1.0000         0.0000         0.0000         0.0000
         0.0733         1.9237         1.6555         1.0000         0.0000         0.0000         0.0000
         0.0747         1.9239         1.6557         1.0000         0.0000         0.0000         0.0000
         0.0760         1.9241         1.6559         1.0000         0.0000         0.0000         0.0000
         0.0773         1.9243         1.6560         1.0000         0.0000         0.0000         0.0000
         0.0787         1.9245         1.6562         1.0000         0.0000         0.0000         0.0000
         0.0800         1.9247         1.6563         1.0000         0.0000         0.0000         0.0000
         0.0813         1.9249         1.6565         1.0000         0.0000         0.0000         0.0000
         0.0827         1.9251         1.6567         1.0000         0.0000         0.0000         0.0000
         0.0840         1.9253         1.6568         1.0000         0.0000         0.0000         0.0000
         0.0853         1.9255         1.6570         1.0000         0.0000         0.0000         0.0000
         0.0867         1.9257         1.6572         1.0000         0.0000         0.0000         0.0000
         0.0880         1.9259         1.6573         1.0000         0.0000         0.0000         0.0000
         0.0893         1.9261         1.6575         1.0000         0.0000         0.0000         0.0000
         0.0907         1.9263         1.6576         1.0000         0.0000         0.0000         0.0000
         0.0920         1.9265         1.6578         1.0000         0.0000         0.0000         0.0000
         0.0933         1.9267         1.6580         1.0000         0.0000         0.0000         0.0000
         0.0947         1.9269         1.6581         1.0000         0.0000         0.0000         0.0000
         0.0960         1.9271         1.6583         1.0000         0.0000         0.0000         0.0000
         0.0973         1.9273         1.6585         1.0000         0.0000         0.0000         0.0000
         0.0987         1.9275         1.6586         1.0000         0.0000         0.0000         0.0000
         0.1000         1.9277         1.6588         1.0000         0.0000         0.0000         0.0000
         0.1013         1.9279         1.6590         1.0000         0.0000         0.0000         0.0000
         0.1027         1.9281         1.6591         1.0000         0.0000         0.0000         0.0000
         0.1040         1.9282         1.6593         1.0000         0.0000         0.0000         0.0000
         0.1053         1.9284         1.6595         1.0000         0.0000         0.0000         0.0000
         0.1067         1.9286         1.6596         1.0000         0.0000         0.0000         0.0000
         0.1080         1.9288         1.6598         1.0000         0.0000         0.0000         0.0000
         0.1093         1.9290         1.6599         1.0000         0.0000         0.0000         0.0000
         0.1107         1.9292         1.6601         1.0000         0.0000         0.0000         0.0000
         0.1120         1.9294         1.6603         1.0000         0.0000         0.0000         0.0000
         0.1133         1.9296         1.6604         1.0000         0.0000         0.0000         0.0000
         0.1147         1.9298         1.6606         1.0000         0.0000         0.0000         0.0000
         0.1160         1.9300         1.6608         1.0000         0.0000         0.0000         0.0000
         0.1173         1.9302         1.6609         1.0000         0.0000         0.0000         0.0000
         0.1187         1.9304         1.6611         1.0000         0.0000         0.0000         0.0000
         0.1200         1.9306         1.6613         1.0000         0.0000         0.0000         0.0000
         0.1213         1.9308         1.6614         1.0000         0.0000         0.0000         0.0000
         0.1227         1.9310         1.6616         1.0000         0.0000         0.0000         0.0000
         0.1240         1.9312         1.6618         1.0000         0.0000         0.0000         0.0000
         0.1253         1.9314         1.6619         1.0000         0.0000         0.0000         0.0000
         0.1267         1.9316         1.6621         1.0000         0.0000         0.0000         0.0000
         0.1280         1.9318         1.6623         1.0000         0.0000         0.0000         0.0000
         0.1293         1.9320         1.6624         1.0000         0.0000         0.0000         0.0000
         0.1307         1.9322         1.6626         1.0000         0.0000         0.0000         0.0000
         0.1320         1.9324         1.6628         1.0000         0.0000         0.0000         0.0000
         0.1333         1.9326         1.6629         1.0000         0.0000         0.0000         0.0000
         0.1347         1.9328         1.6631         1.0000         0.0000         0.0000         0.0000
         0.1360         1.9330         1.6633         1.0000         0.0000         0.0000         0.0000
         0.1373         1.9332         1.6634         1.0000         0.0000         0.0000         0.0000
         0.1387         1.9334         1.6636         1.0000         0.0000         0.0000         0.0000
         0.1400         1.9336         1.6638         1.0000         0.0000         0.0000         0.0000
         0.1413         1.9339         1.6639         1.0000         0.0000         0.0000         0.0000
         0.1427         1.9341         1.6641         1.0000         0.0000         0.0000         0.0000
         0.1440         1.9343         1.6643         1.0000         0.0000         0.0000         0.0000
         0.1453         1.9345         1.6644         1.0000         0.0000         0.0000         0.0000
         0.1467         1.9347         1.6646         1.0000         0.0000         0.0000         0.0000
         0.1480         1.9349         1.6648         1.0000         0.0000         0.0000         0.0000
         0.1493         1.9351         1.6649         1.0000         0.0000         0.0000         0.0000
         0.1507         1.9353         1.6651         1.0000         0.0000         0.0000         0.0000
         0.1520         1.9355         1.6653         1.0000         0.0000         0.0000         0.0000
         0.1533         1.9357         1.6655         1.0000         0.0000         0.0000         0.0000
         0.1547         1.9359         1.6656         1.0000         0.0000         0.0000         0.0000
         0.1560         1.9361         1.6658         1.0000         0.0000         0.0000         0.0000
         0.1573         1.9363         1.6660         1.0000         0.0000         0.0000         0.0000
         0.1587         1.9365         1.6661         1.0000         0.0000         0.0000         0.0000
         0.1600         1.9367         1.6663         1.0000         0.0000         0.0000         0.0000
         0.1613         1.9369         1.6665         1.0000         0.0000         0.0000         0.0000
         0.1627         1.9371         1.6666         1.0000         0.0000         0.0000         0.0000
         0.1640         1.9373         1.6668         1.0000         0.0000         0.0000         0.0000
         0.1653         1.9375         1.6670         1.0000         0.0000         0.0000         0.0000
         0.1667         1.9377         1.6671         1.0000         0.0000         0.0000         0.0000
         0.1680         1.9379         1.6673         1.0000         0.0000         0.0000         0.0000
         0.1693         1.9381         1.6675         1.0000         0.0000         0.0000         0.0000
         0.1707         1.9383         1.6677         1.0000         0.0000         0.0000         0.0000
         0.1720         1.9385         1.6678         1.0000         0.0000         0.0000         0.0000
         0.1733         1.9387         1.6680         1.0000         0.0000         0.0000         0.0000
         0.1747         1.9389         1.6682         1.0000         0.0000         0.0000         0.0000
         0.1760         1.9391         1.6683         1.0000         0.0000         0.0000         0.0000
         0.1773         1.9393         1.6685         1.0000         0.0000         0.0000         0.0000
         0.1787         1.9395         1.6687         1.0000         0.0000         0.0000         0.0000
         0.1800         1.9398         1.6689         1.0000         0.0000         0.0000         0.0000
         0.1813         1.9400         1.6690         1.0000         0.0000         0.0000         0.0000
         0.1827         1.9402         1.6692         1.0000         0.0000         0.0000         0.0000
         0.1840         1.9404         1.6694         1.0000         0.0000         0.0000         0.0000
         0.1853         1.9406         1.6695         1.0000         0.0000         0.0000         0.0000
         0.1867         1.9408         1.6697         1.0000         0.0000         0.0000         0.0000
         0.1880         1.9410         1.6699         1.0000         0.0000         0.0000         0.0000
         0.1893         1.9412         1.6701         1.0000         0.0000         0.0000         0.0000
         0.1907         1.9414         1.6702         1.0000         0.0000         0.0000         0.0000
         0.1920         1.9416         1.6704         1.0000         0.0000         0.0000         0.0000
         0.1933         1.9418         1.6706         1.0000         0.0000         0.0000         0.0000
         0.1947         1.9420         1.6707         1.0000         0.0000         0.0000         0.0000
         0.1960         1.9422         1.6709         1.0000         0.0000         0.0000         0.0000
         0.1973         1.9424         1.6711         1.0000         0.0000         0.0000         0.0000
         0.1987         1.9426         1.6713         1.0000         0.0000         0.0000         0.0000
         0.2000         1.9429         1.6714         1.0000         0.0000         0.0000         0.0000
         0.2013         1.9431         1.6716         1.0000         0.0000         0.0000         0.0000
         0.2027         1.9433         1.6718         1.0000         0.0000         0.0000         0.0000
         0.2040         1.9435         1.6719         1.0000         0.0000         0.0000         0.0000
         0.2053         1.9437         1.6721         1.0000         0.0000         0.0000         0.0000
         0.2067         1.9439         1.6723         1.0000         0.0000         0.0000         0.0000
         0.2080         1.9441         1.6725         1.0000         0.0000         0.0000         0.0000
         0.2093         1.9443         1.6726         1.0000         0.0000         0.0000         0.0000
         0.2107         1.9445         1.6728         1.0000         0.0000         0.0000         0.0000
         0.2120         1.9447         1.6730         1.0000         0.0000         0.0000         0.0000
         0.2133         1.9449         1.6732         1.0000         0.0000         0.0000         0.0000
         0.2147         1.9451         1.6733         1.0000         0.0000         0.0000         0.0000
         0.2160         1.9453         1.6735         1.0000         0.0000         0.0000         0.0000
         0.2173         1.9456         1.6737         1.0000         0.0000         0.0000         0.0000
         0.2187         1.9458         1.6739         1.0000         0.0000         0.0000         0.0000
         0.2200         1.9460         1.6740         1.0000         0.0000         0.0000         0.0000
         0.2213         1.9462         1.6742         1.0000         0.0000         0.0000         0.0000
         0.2227         1.9464         1.6744         1.0000         0.0000         0.0000         0.0000
         0.2240         1.9466         1.6746         1.0000         0.0000         0.0000         0.0000
