 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0013         0.0000         0.0000         0.0000       119.9581         0.0000         0.0000
         0.0027         0.0000         0.0000         0.0000       239.9393         0.0000         0.0000
         0.0040         0.0000         0.0000         0.0000       359.9434         0.0000         0.0000
         0.0053         0.0000         0.0000         0.0000       479.9705         0.0000         0.0000
         0.0067         0.0000         0.0000         0.0000       600.0207         0.0000         0.0000
         0.0080         0.0000         0.0000         0.0000       720.0939         0.0000         0.0000
         0.0093         0.0000         0.0000         0.0000       840.1901         0.0000         0.0000
         0.0107         0.0000         0.0000         0.0000       960.3093         0.0000         0.0000
         0.0120         0.0000         0.0000         0.0000      1080.4517         0.0000         0.0000
         0.0133         0.0000         0.0000         0.0000      1200.6171         0.0000         0.0000
         0.0147         0.0000         0.0000         0.0000      1320.8056         0.0000         0.0000
         0.0160         0.0000         0.0000         0.0000      1441.0171         0.0000         0.0000
         0.0173         0.0000         0.0000         0.0000      1561.2518         0.0000         0.0000
         0.0187         0.0000         0.0000         0.0000      1681.5096         0.0000         0.0000
         0.0200         0.0000         0.0000         0.0000      1801.7905         0.0000         0.0000
         0.0213         0.0000         0.0000         0.0000      1922.0946         0.0000         0.0000
         0.0227         0.0000         0.0000         0.0000      2042.4218         0.0000         0.0000
         0.0240         0.0000         0.0000         0.0000      2162.7722         0.0000         0.0000
         0.0253         0.0000         0.0000         0.0000      2283.1457         0.0000         0.0000
         0.0267         0.0000         0.0000         0.0000      2403.5424         0.0000         0.0000
         0.0280         0.0000         0.0000         0.0000      2523.9623         0.0000         0.0000
         0.0293         0.0000         0.0000         0.0000      2644.4054         0.0000         0.0000
         0.0307         0.0000         0.0000         0.0000      2764.8719         0.0000         0.0000
         0.0320         0.0000         0.0000         0.0000      2885.3613         0.0000         0.0000
         0.0333         0.0000         0.0000         0.0000      3005.8743         0.0000         0.0000
         0.0347         0.0000         0.0000         0.0000      3126.4103         0.0000         0.0000
         0.0360         0.0000         0.0000         0.0000      3246.9695         0.0000         0.0000
         0.0373         0.0000         0.0000         0.0000      3367.5521         0.0000         0.0000
         0.0387         0.0000         0.0000         0.0000      3488.1580         0.0000         0.0000
         0.0400         0.0000         0.0000         0.0000      3608.7870         0.0000         0.0000
         0.0413         0.0000         0.0000         0.0000      3729.4395         0.0000         0.0000
         0.0427         0.0000         0.0000         0.0000      3850.1153         0.0000         0.0000
         0.0440         0.0000         0.0000         0.0000      3970.8146         0.0000         0.0000
         0.0453         0.0000         0.0000         0.0000      4091.5370         0.0000         0.0000
         0.0467         0.0000         0.0000         0.0000      4212.2826         0.0000         0.0000
         0.0480         0.0000         0.0000         0.0000      4333.0520         0.0000         0.0000
         0.0493         0.0000         0.0000         0.0000      4453.8443         0.0000         0.0000
         0.0507         0.0000         0.0000         0.0000      4574.6603         0.0000         0.0000
         0.0520         0.0000         0.0000         0.0000      4695.4995         0.0000         0.0000
         0.0533         0.0000         0.0000         0.0000      4816.3623         0.0000         0.0000
         0.0547         0.0000         0.0000         0.0000      4937.2486         0.0000         0.0000
