 #  energy  real  imag
  0.000000000000000E+000   2.903334      0.0000000E+00
  1.333333333333333E-003   2.903768      0.0000000E+00
  2.666666666666667E-003   2.904203      0.0000000E+00
  4.000000000000000E-003   2.904637      0.0000000E+00
  5.333333333333333E-003   2.905072      0.0000000E+00
  6.666666666666667E-003   2.905507      0.0000000E+00
  8.000000000000000E-003   2.905942      0.0000000E+00
  9.333333333333334E-003   2.906377      0.0000000E+00
  1.066666666666667E-002   2.906813      0.0000000E+00
  1.200000000000000E-002   2.907249      0.0000000E+00
  1.333333333333333E-002   2.907685      0.0000000E+00
  1.466666666666667E-002   2.908121      0.0000000E+00
  1.600000000000000E-002   2.908558      0.0000000E+00
  1.733333333333333E-002   2.908994      0.0000000E+00
  1.866666666666667E-002   2.909431      0.0000000E+00
  2.000000000000000E-002   2.909868      0.0000000E+00
  2.133333333333333E-002   2.910306      0.0000000E+00
  2.266666666666667E-002   2.910743      0.0000000E+00
  2.400000000000000E-002   2.911181      0.0000000E+00
  2.533333333333333E-002   2.911619      0.0000000E+00
  2.666666666666667E-002   2.912057      0.0000000E+00
  2.800000000000000E-002   2.912495      0.0000000E+00
  2.933333333333333E-002   2.912934      0.0000000E+00
  3.066666666666666E-002   2.913373      0.0000000E+00
  3.200000000000000E-002   2.913812      0.0000000E+00
  3.333333333333333E-002   2.914251      0.0000000E+00
  3.466666666666667E-002   2.914691      0.0000000E+00
  3.600000000000000E-002   2.915130      0.0000000E+00
  3.733333333333334E-002   2.915570      0.0000000E+00
  3.866666666666667E-002   2.916011      0.0000000E+00
  4.000000000000000E-002   2.916451      0.0000000E+00
  4.133333333333333E-002   2.916892      0.0000000E+00
  4.266666666666667E-002   2.917332      0.0000000E+00
  4.400000000000000E-002   2.917773      0.0000000E+00
  4.533333333333334E-002   2.918215      0.0000000E+00
  4.666666666666667E-002   2.918656      0.0000000E+00
  4.800000000000000E-002   2.919098      0.0000000E+00
  4.933333333333333E-002   2.919540      0.0000000E+00
  5.066666666666667E-002   2.919982      0.0000000E+00
  5.200000000000000E-002   2.920424      0.0000000E+00
  5.333333333333334E-002   2.920867      0.0000000E+00
  5.466666666666667E-002   2.921310      0.0000000E+00
  5.600000000000000E-002   2.921753      0.0000000E+00
  5.733333333333333E-002   2.922196      0.0000000E+00
  5.866666666666667E-002   2.922639      0.0000000E+00
  6.000000000000000E-002   2.923083      0.0000000E+00
  6.133333333333333E-002   2.923527      0.0000000E+00
  6.266666666666666E-002   2.923971      0.0000000E+00
  6.400000000000000E-002   2.924416      0.0000000E+00
  6.533333333333333E-002   2.924860      0.0000000E+00
  6.666666666666667E-002   2.925305      0.0000000E+00
  6.800000000000000E-002   2.925750      0.0000000E+00
  6.933333333333333E-002   2.926195      0.0000000E+00
  7.066666666666667E-002   2.926641      0.0000000E+00
  7.199999999999999E-002   2.927086      0.0000000E+00
  7.333333333333333E-002   2.927532      0.0000000E+00
  7.466666666666667E-002   2.927979      0.0000000E+00
  7.600000000000000E-002   2.928425      0.0000000E+00
  7.733333333333334E-002   2.928871      0.0000000E+00
  7.866666666666666E-002   2.929318      0.0000000E+00
  8.000000000000000E-002   2.929765      0.0000000E+00
  8.133333333333333E-002   2.930213      0.0000000E+00
  8.266666666666667E-002   2.930660      0.0000000E+00
  8.400000000000001E-002   2.931108      0.0000000E+00
  8.533333333333333E-002   2.931556      0.0000000E+00
  8.666666666666667E-002   2.932004      0.0000000E+00
  8.799999999999999E-002   2.932452      0.0000000E+00
  8.933333333333333E-002   2.932901      0.0000000E+00
  9.066666666666667E-002   2.933350      0.0000000E+00
  9.200000000000000E-002   2.933799      0.0000000E+00
  9.333333333333334E-002   2.934248      0.0000000E+00
  9.466666666666666E-002   2.934698      0.0000000E+00
  9.600000000000000E-002   2.935148      0.0000000E+00
  9.733333333333333E-002   2.935598      0.0000000E+00
  9.866666666666667E-002   2.936048      0.0000000E+00
  0.100000000000000        2.936498      0.0000000E+00
  0.101333333333333        2.936949      0.0000000E+00
  0.102666666666667        2.937400      0.0000000E+00
  0.104000000000000        2.937851      0.0000000E+00
  0.105333333333333        2.938302      0.0000000E+00
  0.106666666666667        2.938754      0.0000000E+00
  0.108000000000000        2.939206      0.0000000E+00
  0.109333333333333        2.939658      0.0000000E+00
  0.110666666666667        2.940110      0.0000000E+00
  0.112000000000000        2.940562      0.0000000E+00
  0.113333333333333        2.941015      0.0000000E+00
  0.114666666666667        2.941468      0.0000000E+00
  0.116000000000000        2.941921      0.0000000E+00
  0.117333333333333        2.942375      0.0000000E+00
  0.118666666666667        2.942828      0.0000000E+00
  0.120000000000000        2.943282      0.0000000E+00
  0.121333333333333        2.943737      0.0000000E+00
  0.122666666666667        2.944191      0.0000000E+00
  0.124000000000000        2.944645      0.0000000E+00
  0.125333333333333        2.945100      0.0000000E+00
  0.126666666666667        2.945555      0.0000000E+00
  0.128000000000000        2.946011      0.0000000E+00
  0.129333333333333        2.946466      0.0000000E+00
  0.130666666666667        2.946922      0.0000000E+00
  0.132000000000000        2.947378      0.0000000E+00
  0.133333333333333        2.947834      0.0000000E+00
  0.134666666666667        2.948290      0.0000000E+00
  0.136000000000000        2.948747      0.0000000E+00
  0.137333333333333        2.949204      0.0000000E+00
  0.138666666666667        2.949661      0.0000000E+00
  0.140000000000000        2.950119      0.0000000E+00
  0.141333333333333        2.950576      0.0000000E+00
  0.142666666666667        2.951034      0.0000000E+00
  0.144000000000000        2.951492      0.0000000E+00
  0.145333333333333        2.951950      0.0000000E+00
  0.146666666666667        2.952409      0.0000000E+00
  0.148000000000000        2.952868      0.0000000E+00
  0.149333333333333        2.953327      0.0000000E+00
  0.150666666666667        2.953786      0.0000000E+00
  0.152000000000000        2.954245      0.0000000E+00
  0.153333333333333        2.954705      0.0000000E+00
  0.154666666666667        2.955165      0.0000000E+00
  0.156000000000000        2.955625      0.0000000E+00
  0.157333333333333        2.956086      0.0000000E+00
  0.158666666666667        2.956546      0.0000000E+00
  0.160000000000000        2.957007      0.0000000E+00
  0.161333333333333        2.957468      0.0000000E+00
  0.162666666666667        2.957930      0.0000000E+00
  0.164000000000000        2.958391      0.0000000E+00
  0.165333333333333        2.958853      0.0000000E+00
  0.166666666666667        2.959315      0.0000000E+00
  0.168000000000000        2.959778      0.0000000E+00
  0.169333333333333        2.960240      0.0000000E+00
  0.170666666666667        2.960703      0.0000000E+00
  0.172000000000000        2.961166      0.0000000E+00
  0.173333333333333        2.961629      0.0000000E+00
  0.174666666666667        2.962093      0.0000000E+00
  0.176000000000000        2.962556      0.0000000E+00
  0.177333333333333        2.963020      0.0000000E+00
  0.178666666666667        2.963485      0.0000000E+00
  0.180000000000000        2.963949      0.0000000E+00
  0.181333333333333        2.964414      0.0000000E+00
