 #  energy  real  imag
  0.000000000000000E+000   2.904239      0.0000000E+00
  1.333333333333333E-003   2.904674      0.0000000E+00
  2.666666666666667E-003   2.905108      0.0000000E+00
  4.000000000000000E-003   2.905543      0.0000000E+00
  5.333333333333333E-003   2.905978      0.0000000E+00
  6.666666666666667E-003   2.906413      0.0000000E+00
  8.000000000000000E-003   2.906849      0.0000000E+00
  9.333333333333334E-003   2.907284      0.0000000E+00
  1.066666666666667E-002   2.907720      0.0000000E+00
  1.200000000000000E-002   2.908156      0.0000000E+00
  1.333333333333333E-002   2.908592      0.0000000E+00
  1.466666666666667E-002   2.909029      0.0000000E+00
  1.600000000000000E-002   2.909466      0.0000000E+00
  1.733333333333333E-002   2.909902      0.0000000E+00
  1.866666666666667E-002   2.910340      0.0000000E+00
  2.000000000000000E-002   2.910777      0.0000000E+00
  2.133333333333333E-002   2.911214      0.0000000E+00
  2.266666666666667E-002   2.911652      0.0000000E+00
  2.400000000000000E-002   2.912090      0.0000000E+00
  2.533333333333333E-002   2.912529      0.0000000E+00
  2.666666666666667E-002   2.912967      0.0000000E+00
  2.800000000000000E-002   2.913405      0.0000000E+00
  2.933333333333333E-002   2.913844      0.0000000E+00
  3.066666666666666E-002   2.914284      0.0000000E+00
  3.200000000000000E-002   2.914723      0.0000000E+00
  3.333333333333333E-002   2.915162      0.0000000E+00
  3.466666666666667E-002   2.915602      0.0000000E+00
  3.600000000000000E-002   2.916042      0.0000000E+00
  3.733333333333334E-002   2.916482      0.0000000E+00
  3.866666666666667E-002   2.916923      0.0000000E+00
  4.000000000000000E-002   2.917363      0.0000000E+00
  4.133333333333333E-002   2.917804      0.0000000E+00
  4.266666666666667E-002   2.918245      0.0000000E+00
  4.400000000000000E-002   2.918686      0.0000000E+00
  4.533333333333334E-002   2.919128      0.0000000E+00
  4.666666666666667E-002   2.919569      0.0000000E+00
  4.800000000000000E-002   2.920012      0.0000000E+00
  4.933333333333333E-002   2.920454      0.0000000E+00
  5.066666666666667E-002   2.920896      0.0000000E+00
  5.200000000000000E-002   2.921339      0.0000000E+00
  5.333333333333334E-002   2.921782      0.0000000E+00
  5.466666666666667E-002   2.922225      0.0000000E+00
  5.600000000000000E-002   2.922668      0.0000000E+00
  5.733333333333333E-002   2.923111      0.0000000E+00
  5.866666666666667E-002   2.923555      0.0000000E+00
  6.000000000000000E-002   2.923999      0.0000000E+00
  6.133333333333333E-002   2.924443      0.0000000E+00
  6.266666666666666E-002   2.924887      0.0000000E+00
  6.400000000000000E-002   2.925332      0.0000000E+00
  6.533333333333333E-002   2.925777      0.0000000E+00
  6.666666666666667E-002   2.926222      0.0000000E+00
  6.800000000000000E-002   2.926667      0.0000000E+00
  6.933333333333333E-002   2.927113      0.0000000E+00
  7.066666666666667E-002   2.927558      0.0000000E+00
  7.199999999999999E-002   2.928004      0.0000000E+00
  7.333333333333333E-002   2.928451      0.0000000E+00
  7.466666666666667E-002   2.928897      0.0000000E+00
  7.600000000000000E-002   2.929343      0.0000000E+00
  7.733333333333334E-002   2.929790      0.0000000E+00
  7.866666666666666E-002   2.930238      0.0000000E+00
  8.000000000000000E-002   2.930685      0.0000000E+00
  8.133333333333333E-002   2.931132      0.0000000E+00
  8.266666666666667E-002   2.931580      0.0000000E+00
  8.400000000000001E-002   2.932028      0.0000000E+00
  8.533333333333333E-002   2.932476      0.0000000E+00
  8.666666666666667E-002   2.932925      0.0000000E+00
  8.799999999999999E-002   2.933373      0.0000000E+00
  8.933333333333333E-002   2.933822      0.0000000E+00
  9.066666666666667E-002   2.934271      0.0000000E+00
  9.200000000000000E-002   2.934721      0.0000000E+00
  9.333333333333334E-002   2.935170      0.0000000E+00
  9.466666666666666E-002   2.935620      0.0000000E+00
  9.600000000000000E-002   2.936070      0.0000000E+00
  9.733333333333333E-002   2.936520      0.0000000E+00
  9.866666666666667E-002   2.936970      0.0000000E+00
  0.100000000000000        2.937421      0.0000000E+00
  0.101333333333333        2.937872      0.0000000E+00
  0.102666666666667        2.938323      0.0000000E+00
  0.104000000000000        2.938775      0.0000000E+00
  0.105333333333333        2.939226      0.0000000E+00
  0.106666666666667        2.939678      0.0000000E+00
  0.108000000000000        2.940130      0.0000000E+00
  0.109333333333333        2.940583      0.0000000E+00
  0.110666666666667        2.941035      0.0000000E+00
  0.112000000000000        2.941488      0.0000000E+00
  0.113333333333333        2.941941      0.0000000E+00
  0.114666666666667        2.942394      0.0000000E+00
  0.116000000000000        2.942847      0.0000000E+00
  0.117333333333333        2.943301      0.0000000E+00
  0.118666666666667        2.943755      0.0000000E+00
  0.120000000000000        2.944209      0.0000000E+00
  0.121333333333333        2.944663      0.0000000E+00
  0.122666666666667        2.945118      0.0000000E+00
  0.124000000000000        2.945573      0.0000000E+00
  0.125333333333333        2.946028      0.0000000E+00
  0.126666666666667        2.946483      0.0000000E+00
  0.128000000000000        2.946939      0.0000000E+00
  0.129333333333333        2.947394      0.0000000E+00
  0.130666666666667        2.947850      0.0000000E+00
  0.132000000000000        2.948307      0.0000000E+00
  0.133333333333333        2.948763      0.0000000E+00
  0.134666666666667        2.949220      0.0000000E+00
  0.136000000000000        2.949677      0.0000000E+00
  0.137333333333333        2.950134      0.0000000E+00
  0.138666666666667        2.950591      0.0000000E+00
  0.140000000000000        2.951049      0.0000000E+00
  0.141333333333333        2.951507      0.0000000E+00
  0.142666666666667        2.951965      0.0000000E+00
  0.144000000000000        2.952423      0.0000000E+00
  0.145333333333333        2.952882      0.0000000E+00
  0.146666666666667        2.953340      0.0000000E+00
  0.148000000000000        2.953799      0.0000000E+00
  0.149333333333333        2.954259      0.0000000E+00
  0.150666666666667        2.954718      0.0000000E+00
  0.152000000000000        2.955178      0.0000000E+00
  0.153333333333333        2.955638      0.0000000E+00
  0.154666666666667        2.956098      0.0000000E+00
  0.156000000000000        2.956558      0.0000000E+00
  0.157333333333333        2.957019      0.0000000E+00
  0.158666666666667        2.957480      0.0000000E+00
  0.160000000000000        2.957941      0.0000000E+00
  0.161333333333333        2.958403      0.0000000E+00
  0.162666666666667        2.958864      0.0000000E+00
  0.164000000000000        2.959326      0.0000000E+00
  0.165333333333333        2.959788      0.0000000E+00
  0.166666666666667        2.960250      0.0000000E+00
  0.168000000000000        2.960713      0.0000000E+00
  0.169333333333333        2.961176      0.0000000E+00
  0.170666666666667        2.961639      0.0000000E+00
  0.172000000000000        2.962102      0.0000000E+00
  0.173333333333333        2.962566      0.0000000E+00
  0.174666666666667        2.963029      0.0000000E+00
  0.176000000000000        2.963493      0.0000000E+00
  0.177333333333333        2.963958      0.0000000E+00
  0.178666666666667        2.964422      0.0000000E+00
  0.180000000000000        2.964887      0.0000000E+00
  0.181333333333333        2.965352      0.0000000E+00
  0.182666666666667        2.965817      0.0000000E+00
  0.184000000000000        2.966282      0.0000000E+00
  0.185333333333333        2.966748      0.0000000E+00
  0.186666666666667        2.967214      0.0000000E+00
  0.188000000000000        2.967680      0.0000000E+00
  0.189333333333333        2.968147      0.0000000E+00
  0.190666666666667        2.968613      0.0000000E+00
  0.192000000000000        2.969080      0.0000000E+00
  0.193333333333333        2.969547      0.0000000E+00
  0.194666666666667        2.970015      0.0000000E+00
  0.196000000000000        2.970482      0.0000000E+00
  0.197333333333333        2.970950      0.0000000E+00
  0.198666666666667        2.971418      0.0000000E+00
  0.200000000000000        2.971886      0.0000000E+00
  0.201333333333333        2.972355      0.0000000E+00
  0.202666666666667        2.972824      0.0000000E+00
  0.204000000000000        2.973293      0.0000000E+00
  0.205333333333333        2.973762      0.0000000E+00
  0.206666666666667        2.974232      0.0000000E+00
  0.208000000000000        2.974701      0.0000000E+00
  0.209333333333333        2.975172      0.0000000E+00
  0.210666666666667        2.975642      0.0000000E+00
  0.212000000000000        2.976112      0.0000000E+00
  0.213333333333333        2.976583      0.0000000E+00
  0.214666666666667        2.977054      0.0000000E+00
  0.216000000000000        2.977525      0.0000000E+00
  0.217333333333333        2.977997      0.0000000E+00
  0.218666666666667        2.978469      0.0000000E+00
  0.220000000000000        2.978941      0.0000000E+00
  0.221333333333333        2.979413      0.0000000E+00
  0.222666666666667        2.979885      0.0000000E+00
  0.224000000000000        2.980358      0.0000000E+00
  0.225333333333333        2.980831      0.0000000E+00
  0.226666666666667        2.981304      0.0000000E+00
  0.228000000000000        2.981778      0.0000000E+00
  0.229333333333333        2.982251      0.0000000E+00
  0.230666666666667        2.982725      0.0000000E+00
  0.232000000000000        2.983200      0.0000000E+00
  0.233333333333333        2.983674      0.0000000E+00
  0.234666666666667        2.984149      0.0000000E+00
  0.236000000000000        2.984624      0.0000000E+00
  0.237333333333333        2.985099      0.0000000E+00
  0.238666666666667        2.985574      0.0000000E+00
  0.240000000000000        2.986050      0.0000000E+00
  0.241333333333333        2.986526      0.0000000E+00
  0.242666666666667        2.987002      0.0000000E+00
  0.244000000000000        2.987479      0.0000000E+00
  0.245333333333333        2.987956      0.0000000E+00
  0.246666666666667        2.988432      0.0000000E+00
  0.248000000000000        2.988910      0.0000000E+00
  0.249333333333333        2.989387      0.0000000E+00
  0.250666666666667        2.989865      0.0000000E+00
  0.252000000000000        2.990343      0.0000000E+00
  0.253333333333333        2.990821      0.0000000E+00
  0.254666666666667        2.991299      0.0000000E+00
  0.256000000000000        2.991778      0.0000000E+00
  0.257333333333333        2.992257      0.0000000E+00
  0.258666666666667        2.992736      0.0000000E+00
  0.260000000000000        2.993216      0.0000000E+00
  0.261333333333333        2.993695      0.0000000E+00
  0.262666666666667        2.994175      0.0000000E+00
  0.264000000000000        2.994656      0.0000000E+00
  0.265333333333333        2.995136      0.0000000E+00
  0.266666666666667        2.995617      0.0000000E+00
  0.268000000000000        2.996098      0.0000000E+00
  0.269333333333333        2.996579      0.0000000E+00
  0.270666666666667        2.997061      0.0000000E+00
  0.272000000000000        2.997542      0.0000000E+00
  0.273333333333333        2.998024      0.0000000E+00
  0.274666666666667        2.998507      0.0000000E+00
  0.276000000000000        2.998989      0.0000000E+00
  0.277333333333333        2.999472      0.0000000E+00
  0.278666666666667        2.999955      0.0000000E+00
  0.280000000000000        3.000438      0.0000000E+00
  0.281333333333333        3.000922      0.0000000E+00
  0.282666666666667        3.001405      0.0000000E+00
  0.284000000000000        3.001890      0.0000000E+00
  0.285333333333333        3.002374      0.0000000E+00
  0.286666666666667        3.002858      0.0000000E+00
  0.288000000000000        3.003343      0.0000000E+00
  0.289333333333333        3.003828      0.0000000E+00
  0.290666666666667        3.004314      0.0000000E+00
  0.292000000000000        3.004799      0.0000000E+00
  0.293333333333333        3.005285      0.0000000E+00
  0.294666666666667        3.005771      0.0000000E+00
  0.296000000000000        3.006258      0.0000000E+00
  0.297333333333333        3.006744      0.0000000E+00
  0.298666666666667        3.007231      0.0000000E+00
  0.300000000000000        3.007718      0.0000000E+00
  0.301333333333333        3.008206      0.0000000E+00
  0.302666666666667        3.008693      0.0000000E+00
  0.304000000000000        3.009181      0.0000000E+00
  0.305333333333333        3.009669      0.0000000E+00
  0.306666666666667        3.010158      0.0000000E+00
  0.308000000000000        3.010646      0.0000000E+00
  0.309333333333333        3.011135      0.0000000E+00
  0.310666666666667        3.011625      0.0000000E+00
  0.312000000000000        3.012114      0.0000000E+00
  0.313333333333333        3.012604      0.0000000E+00
  0.314666666666667        3.013094      0.0000000E+00
  0.316000000000000        3.013584      0.0000000E+00
  0.317333333333333        3.014075      0.0000000E+00
  0.318666666666667        3.014565      0.0000000E+00
  0.320000000000000        3.015056      0.0000000E+00
  0.321333333333333        3.015548      0.0000000E+00
  0.322666666666667        3.016039      0.0000000E+00
  0.324000000000000        3.016531      0.0000000E+00
  0.325333333333333        3.017023      0.0000000E+00
  0.326666666666667        3.017516      0.0000000E+00
  0.328000000000000        3.018008      0.0000000E+00
  0.329333333333333        3.018501      0.0000000E+00
  0.330666666666667        3.018994      0.0000000E+00
  0.332000000000000        3.019488      0.0000000E+00
  0.333333333333333        3.019981      0.0000000E+00
  0.334666666666667        3.020475      0.0000000E+00
  0.336000000000000        3.020969      0.0000000E+00
  0.337333333333333        3.021464      0.0000000E+00
  0.338666666666667        3.021959      0.0000000E+00
  0.340000000000000        3.022454      0.0000000E+00
  0.341333333333333        3.022949      0.0000000E+00
  0.342666666666667        3.023444      0.0000000E+00
  0.344000000000000        3.023940      0.0000000E+00
  0.345333333333333        3.024436      0.0000000E+00
  0.346666666666667        3.024933      0.0000000E+00
  0.348000000000000        3.025429      0.0000000E+00
  0.349333333333333        3.025926      0.0000000E+00
  0.350666666666667        3.026423      0.0000000E+00
  0.352000000000000        3.026921      0.0000000E+00
  0.353333333333333        3.027418      0.0000000E+00
  0.354666666666667        3.027916      0.0000000E+00
  0.356000000000000        3.028414      0.0000000E+00
  0.357333333333333        3.028913      0.0000000E+00
  0.358666666666667        3.029412      0.0000000E+00
  0.360000000000000        3.029911      0.0000000E+00
  0.361333333333333        3.030410      0.0000000E+00
  0.362666666666667        3.030910      0.0000000E+00
  0.364000000000000        3.031410      0.0000000E+00
  0.365333333333333        3.031909      0.0000000E+00
  0.366666666666667        3.032410      0.0000000E+00
  0.368000000000000        3.032911      0.0000000E+00
  0.369333333333333        3.033412      0.0000000E+00
  0.370666666666667        3.033913      0.0000000E+00
  0.372000000000000        3.034414      0.0000000E+00
  0.373333333333333        3.034916      0.0000000E+00
  0.374666666666667        3.035418      0.0000000E+00
  0.376000000000000        3.035920      0.0000000E+00
  0.377333333333333        3.036422      0.0000000E+00
  0.378666666666667        3.036925      0.0000000E+00
  0.380000000000000        3.037429      0.0000000E+00
  0.381333333333333        3.037932      0.0000000E+00
  0.382666666666667        3.038435      0.0000000E+00
  0.384000000000000        3.038939      0.0000000E+00
  0.385333333333333        3.039443      0.0000000E+00
  0.386666666666667        3.039948      0.0000000E+00
  0.388000000000000        3.040453      0.0000000E+00
  0.389333333333333        3.040958      0.0000000E+00
  0.390666666666667        3.041463      0.0000000E+00
  0.392000000000000        3.041969      0.0000000E+00
  0.393333333333333        3.042475      0.0000000E+00
  0.394666666666667        3.042980      0.0000000E+00
  0.396000000000000        3.043487      0.0000000E+00
  0.397333333333333        3.043993      0.0000000E+00
  0.398666666666667        3.044501      0.0000000E+00
  0.400000000000000        3.045008      0.0000000E+00
  0.401333333333333        3.045515      0.0000000E+00
  0.402666666666667        3.046023      0.0000000E+00
  0.404000000000000        3.046531      0.0000000E+00
  0.405333333333333        3.047039      0.0000000E+00
  0.406666666666667        3.047548      0.0000000E+00
  0.408000000000000        3.048057      0.0000000E+00
  0.409333333333333        3.048566      0.0000000E+00
  0.410666666666667        3.049075      0.0000000E+00
  0.412000000000000        3.049585      0.0000000E+00
  0.413333333333333        3.050095      0.0000000E+00
  0.414666666666667        3.050605      0.0000000E+00
  0.416000000000000        3.051116      0.0000000E+00
  0.417333333333333        3.051627      0.0000000E+00
  0.418666666666667        3.052138      0.0000000E+00
  0.420000000000000        3.052649      0.0000000E+00
  0.421333333333333        3.053161      0.0000000E+00
  0.422666666666667        3.053673      0.0000000E+00
  0.424000000000000        3.054185      0.0000000E+00
  0.425333333333333        3.054698      0.0000000E+00
  0.426666666666667        3.055210      0.0000000E+00
  0.428000000000000        3.055723      0.0000000E+00
  0.429333333333333        3.056237      0.0000000E+00
  0.430666666666667        3.056751      0.0000000E+00
  0.432000000000000        3.057264      0.0000000E+00
  0.433333333333333        3.057779      0.0000000E+00
  0.434666666666667        3.058293      0.0000000E+00
  0.436000000000000        3.058808      0.0000000E+00
  0.437333333333333        3.059323      0.0000000E+00
  0.438666666666667        3.059838      0.0000000E+00
  0.440000000000000        3.060354      0.0000000E+00
  0.441333333333333        3.060870      0.0000000E+00
  0.442666666666667        3.061386      0.0000000E+00
  0.444000000000000        3.061903      0.0000000E+00
  0.445333333333333        3.062419      0.0000000E+00
  0.446666666666667        3.062936      0.0000000E+00
  0.448000000000000        3.063454      0.0000000E+00
  0.449333333333333        3.063971      0.0000000E+00
  0.450666666666667        3.064489      0.0000000E+00
  0.452000000000000        3.065007      0.0000000E+00
  0.453333333333333        3.065526      0.0000000E+00
  0.454666666666667        3.066045      0.0000000E+00
  0.456000000000000        3.066564      0.0000000E+00
  0.457333333333333        3.067083      0.0000000E+00
  0.458666666666667        3.067603      0.0000000E+00
  0.460000000000000        3.068122      0.0000000E+00
  0.461333333333333        3.068643      0.0000000E+00
  0.462666666666667        3.069163      0.0000000E+00
  0.464000000000000        3.069684      0.0000000E+00
  0.465333333333333        3.070205      0.0000000E+00
  0.466666666666667        3.070726      0.0000000E+00
  0.468000000000000        3.071248      0.0000000E+00
  0.469333333333333        3.071770      0.0000000E+00
  0.470666666666667        3.072292      0.0000000E+00
  0.472000000000000        3.072815      0.0000000E+00
  0.473333333333333        3.073338      0.0000000E+00
  0.474666666666667        3.073861      0.0000000E+00
  0.476000000000000        3.074384      0.0000000E+00
  0.477333333333333        3.074908      0.0000000E+00
  0.478666666666667        3.075432      0.0000000E+00
  0.480000000000000        3.075956      0.0000000E+00
  0.481333333333333        3.076481      0.0000000E+00
  0.482666666666667        3.077005      0.0000000E+00
  0.484000000000000        3.077531      0.0000000E+00
  0.485333333333333        3.078056      0.0000000E+00
  0.486666666666667        3.078582      0.0000000E+00
  0.488000000000000        3.079108      0.0000000E+00
  0.489333333333333        3.079634      0.0000000E+00
  0.490666666666667        3.080161      0.0000000E+00
  0.492000000000000        3.080688      0.0000000E+00
  0.493333333333333        3.081215      0.0000000E+00
  0.494666666666667        3.081742      0.0000000E+00
  0.496000000000000        3.082270      0.0000000E+00
  0.497333333333333        3.082798      0.0000000E+00
  0.498666666666667        3.083327      0.0000000E+00
  0.500000000000000        3.083855      0.0000000E+00
  0.501333333333333        3.084384      0.0000000E+00
