 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.8882         0.0000         0.0000
         0.0013         0.0000         0.0000         0.0000         0.8883         0.0000         0.0000
         0.0027         0.0000         0.0000         0.0000         0.8883         0.0000         0.0000
         0.0040         0.0000         0.0000         0.0000         0.8884         0.0000         0.0000
         0.0053         0.0000         0.0000         0.0000         0.8885         0.0000         0.0000
         0.0067         0.0000         0.0000         0.0000         0.8886         0.0000         0.0000
         0.0080         0.0000         0.0000         0.0000         0.8887         0.0000         0.0000
         0.0093         0.0000         0.0000         0.0000         0.8888         0.0000         0.0000
         0.0107         0.0000         0.0000         0.0000         0.8889         0.0000         0.0000
         0.0120         0.0000         0.0000         0.0000         0.8889         0.0000         0.0000
         0.0133         0.0000         0.0000         0.0000         0.8890         0.0000         0.0000
         0.0147         0.0000         0.0000         0.0000         0.8891         0.0000         0.0000
         0.0160         0.0000         0.0000         0.0000         0.8892         0.0000         0.0000
         0.0173         0.0000         0.0000         0.0000         0.8893         0.0000         0.0000
         0.0187         0.0000         0.0000         0.0000         0.8894         0.0000         0.0000
         0.0200         0.0000         0.0000         0.0000         0.8895         0.0000         0.0000
         0.0213         0.0000         0.0000         0.0000         0.8895         0.0000         0.0000
         0.0227         0.0000         0.0000         0.0000         0.8896         0.0000         0.0000
         0.0240         0.0000         0.0000         0.0000         0.8897         0.0000         0.0000
         0.0253         0.0000         0.0000         0.0000         0.8898         0.0000         0.0000
         0.0267         0.0000         0.0000         0.0000         0.8899         0.0000         0.0000
         0.0280         0.0000         0.0000         0.0000         0.8900         0.0000         0.0000
         0.0293         0.0000         0.0000         0.0000         0.8901         0.0000         0.0000
         0.0307         0.0000         0.0000         0.0000         0.8901         0.0000         0.0000
         0.0320         0.0000         0.0000         0.0000         0.8902         0.0000         0.0000
         0.0333         0.0000         0.0000         0.0000         0.8903         0.0000         0.0000
         0.0347         0.0000         0.0000         0.0000         0.8904         0.0000         0.0000
         0.0360         0.0000         0.0000         0.0000         0.8905         0.0000         0.0000
         0.0373         0.0000         0.0000         0.0000         0.8906         0.0000         0.0000
         0.0387         0.0000         0.0000         0.0000         0.8907         0.0000         0.0000
         0.0400         0.0000         0.0000         0.0000         0.8907         0.0000         0.0000
         0.0413         0.0000         0.0000         0.0000         0.8908         0.0000         0.0000
         0.0427         0.0000         0.0000         0.0000         0.8909         0.0000         0.0000
         0.0440         0.0000         0.0000         0.0000         0.8910         0.0000         0.0000
         0.0453         0.0000         0.0000         0.0000         0.8911         0.0000         0.0000
         0.0467         0.0000         0.0000         0.0000         0.8912         0.0000         0.0000
         0.0480         0.0000         0.0000         0.0000         0.8913         0.0000         0.0000
         0.0493         0.0000         0.0000         0.0000         0.8913         0.0000         0.0000
         0.0507         0.0000         0.0000         0.0000         0.8914         0.0000         0.0000
         0.0520         0.0000         0.0000         0.0000         0.8915         0.0000         0.0000
         0.0533         0.0000         0.0000         0.0000         0.8916         0.0000         0.0000
         0.0547         0.0000         0.0000         0.0000         0.8917         0.0000         0.0000
         0.0560         0.0000         0.0000         0.0000         0.8918         0.0000         0.0000
         0.0573         0.0000         0.0000         0.0000         0.8919         0.0000         0.0000
         0.0587         0.0000         0.0000         0.0000         0.8919         0.0000         0.0000
         0.0600         0.0000         0.0000         0.0000         0.8920         0.0000         0.0000
         0.0613         0.0000         0.0000         0.0000         0.8921         0.0000         0.0000
         0.0627         0.0000         0.0000         0.0000         0.8922         0.0000         0.0000
         0.0640         0.0000         0.0000         0.0000         0.8923         0.0000         0.0000
         0.0653         0.0000         0.0000         0.0000         0.8924         0.0000         0.0000
         0.0667         0.0000         0.0000         0.0000         0.8925         0.0000         0.0000
         0.0680         0.0000         0.0000         0.0000         0.8925         0.0000         0.0000
         0.0693         0.0000         0.0000         0.0000         0.8926         0.0000         0.0000
         0.0707         0.0000         0.0000         0.0000         0.8927         0.0000         0.0000
         0.0720         0.0000         0.0000         0.0000         0.8928         0.0000         0.0000
         0.0733         0.0000         0.0000         0.0000         0.8929         0.0000         0.0000
         0.0747         0.0000         0.0000         0.0000         0.8930         0.0000         0.0000
         0.0760         0.0000         0.0000         0.0000         0.8931         0.0000         0.0000
         0.0773         0.0000         0.0000         0.0000         0.8932         0.0000         0.0000
         0.0787         0.0000         0.0000         0.0000         0.8932         0.0000         0.0000
         0.0800         0.0000         0.0000         0.0000         0.8933         0.0000         0.0000
         0.0813         0.0000         0.0000         0.0000         0.8934         0.0000         0.0000
         0.0827         0.0000         0.0000         0.0000         0.8935         0.0000         0.0000
         0.0840         0.0000         0.0000         0.0000         0.8936         0.0000         0.0000
         0.0853         0.0000         0.0000         0.0000         0.8937         0.0000         0.0000
         0.0867         0.0000         0.0000         0.0000         0.8938         0.0000         0.0000
         0.0880         0.0000         0.0000         0.0000         0.8938         0.0000         0.0000
