 #  energy  real  imag
  0.000000000000000E+000   5.303875      0.0000000E+00
  1.333333333333333E-003   5.305632      0.0000000E+00
  2.666666666666667E-003   5.307391      0.0000000E+00
  4.000000000000000E-003   5.309151      0.0000000E+00
  5.333333333333333E-003   5.310913      0.0000000E+00
  6.666666666666667E-003   5.312677      0.0000000E+00
  8.000000000000000E-003   5.314443      0.0000000E+00
  9.333333333333334E-003   5.316210      0.0000000E+00
  1.066666666666667E-002   5.317978      0.0000000E+00
  1.200000000000000E-002   5.319749      0.0000000E+00
  1.333333333333333E-002   5.321521      0.0000000E+00
  1.466666666666667E-002   5.323295      0.0000000E+00
  1.600000000000000E-002   5.325071      0.0000000E+00
  1.733333333333333E-002   5.326848      0.0000000E+00
  1.866666666666667E-002   5.328627      0.0000000E+00
  2.000000000000000E-002   5.330408      0.0000000E+00
  2.133333333333333E-002   5.332190      0.0000000E+00
  2.266666666666667E-002   5.333974      0.0000000E+00
  2.400000000000000E-002   5.335760      0.0000000E+00
  2.533333333333333E-002   5.337548      0.0000000E+00
  2.666666666666667E-002   5.339337      0.0000000E+00
  2.800000000000000E-002   5.341128      0.0000000E+00
  2.933333333333333E-002   5.342921      0.0000000E+00
  3.066666666666666E-002   5.344716      0.0000000E+00
  3.200000000000000E-002   5.346512      0.0000000E+00
  3.333333333333333E-002   5.348310      0.0000000E+00
  3.466666666666667E-002   5.350110      0.0000000E+00
  3.600000000000000E-002   5.351911      0.0000000E+00
  3.733333333333334E-002   5.353714      0.0000000E+00
  3.866666666666667E-002   5.355519      0.0000000E+00
  4.000000000000000E-002   5.357327      0.0000000E+00
  4.133333333333333E-002   5.359135      0.0000000E+00
  4.266666666666667E-002   5.360945      0.0000000E+00
  4.400000000000000E-002   5.362757      0.0000000E+00
  4.533333333333334E-002   5.364571      0.0000000E+00
  4.666666666666667E-002   5.366386      0.0000000E+00
  4.800000000000000E-002   5.368204      0.0000000E+00
  4.933333333333333E-002   5.370023      0.0000000E+00
  5.066666666666667E-002   5.371844      0.0000000E+00
  5.200000000000000E-002   5.373667      0.0000000E+00
  5.333333333333334E-002   5.375491      0.0000000E+00
  5.466666666666667E-002   5.377317      0.0000000E+00
  5.600000000000000E-002   5.379146      0.0000000E+00
  5.733333333333333E-002   5.380976      0.0000000E+00
  5.866666666666667E-002   5.382807      0.0000000E+00
  6.000000000000000E-002   5.384641      0.0000000E+00
  6.133333333333333E-002   5.386476      0.0000000E+00
  6.266666666666666E-002   5.388313      0.0000000E+00
  6.400000000000000E-002   5.390152      0.0000000E+00
  6.533333333333333E-002   5.391993      0.0000000E+00
  6.666666666666667E-002   5.393835      0.0000000E+00
  6.800000000000000E-002   5.395679      0.0000000E+00
  6.933333333333333E-002   5.397526      0.0000000E+00
  7.066666666666667E-002   5.399374      0.0000000E+00
  7.199999999999999E-002   5.401224      0.0000000E+00
  7.333333333333333E-002   5.403075      0.0000000E+00
  7.466666666666667E-002   5.404929      0.0000000E+00
  7.600000000000000E-002   5.406784      0.0000000E+00
  7.733333333333334E-002   5.408641      0.0000000E+00
  7.866666666666666E-002   5.410501      0.0000000E+00
  8.000000000000000E-002   5.412361      0.0000000E+00
  8.133333333333333E-002   5.414224      0.0000000E+00
  8.266666666666667E-002   5.416089      0.0000000E+00
  8.400000000000001E-002   5.417955      0.0000000E+00
  8.533333333333333E-002   5.419823      0.0000000E+00
  8.666666666666667E-002   5.421693      0.0000000E+00
  8.799999999999999E-002   5.423565      0.0000000E+00
  8.933333333333333E-002   5.425439      0.0000000E+00
  9.066666666666667E-002   5.427315      0.0000000E+00
  9.200000000000000E-002   5.429193      0.0000000E+00
  9.333333333333334E-002   5.431072      0.0000000E+00
  9.466666666666666E-002   5.432954      0.0000000E+00
  9.600000000000000E-002   5.434837      0.0000000E+00
  9.733333333333333E-002   5.436722      0.0000000E+00
  9.866666666666667E-002   5.438610      0.0000000E+00
  0.100000000000000        5.440498      0.0000000E+00
  0.101333333333333        5.442389      0.0000000E+00
  0.102666666666667        5.444282      0.0000000E+00
  0.104000000000000        5.446177      0.0000000E+00
  0.105333333333333        5.448073      0.0000000E+00
  0.106666666666667        5.449972      0.0000000E+00
  0.108000000000000        5.451873      0.0000000E+00
  0.109333333333333        5.453775      0.0000000E+00
  0.110666666666667        5.455679      0.0000000E+00
  0.112000000000000        5.457585      0.0000000E+00
  0.113333333333333        5.459494      0.0000000E+00
  0.114666666666667        5.461404      0.0000000E+00
  0.116000000000000        5.463316      0.0000000E+00
  0.117333333333333        5.465230      0.0000000E+00
  0.118666666666667        5.467146      0.0000000E+00
  0.120000000000000        5.469064      0.0000000E+00
  0.121333333333333        5.470984      0.0000000E+00
  0.122666666666667        5.472905      0.0000000E+00
  0.124000000000000        5.474829      0.0000000E+00
  0.125333333333333        5.476755      0.0000000E+00
  0.126666666666667        5.478683      0.0000000E+00
  0.128000000000000        5.480612      0.0000000E+00
  0.129333333333333        5.482544      0.0000000E+00
  0.130666666666667        5.484478      0.0000000E+00
  0.132000000000000        5.486413      0.0000000E+00
  0.133333333333333        5.488351      0.0000000E+00
