 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0013         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0027         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0040         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0053         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0067         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0080         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0093         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0107         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0120         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0133         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0147         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0160         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0173         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0187         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0200         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0213         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0227         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0240         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0253         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0267         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0280         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0293         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0307         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0320         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0333         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0347         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0360         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0373         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0387         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0400         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0413         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0427         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0440         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0453         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0467         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0480         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0493         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0507         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0520         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0533         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0547         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0560         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0573         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0587         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0600         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0613         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0627         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0640         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0653         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0667         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0680         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0693         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0707         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0720         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0733         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0747         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0760         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0773         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0787         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0800         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0813         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0827         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0840         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0853         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0867         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0880         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0893         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0907         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0920         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0933         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0947         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0960         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0973         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0987         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1013         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1027         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1040         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1053         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1067         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1080         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1093         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1107         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1120         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1133         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1147         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1160         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1173         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1187         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1200         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1213         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1227         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1240         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1253         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1267         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1280         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1293         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1307         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1320         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1333         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1347         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1360         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1373         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1387         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1400         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1413         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1427         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1440         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1453         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1467         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1480         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1493         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1507         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1520         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1533         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1547         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1560         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1573         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1587         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1600         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1613         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1627         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1640         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1653         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1667         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1680         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1693         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1707         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1720         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1733         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1747         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1760         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1773         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1787         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1800         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1813         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1827         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1840         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1853         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1867         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1880         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1893         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1907         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1920         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1933         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1947         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1960         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1973         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.1987         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2013         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2027         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2040         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2053         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2067         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2080         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2093         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2107         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2120         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2133         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2147         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2160         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2173         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2187         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2200         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2213         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2227         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2240         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2253         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2267         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2280         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2293         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2307         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2320         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2333         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2347         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2360         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2373         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2387         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2400         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2413         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2427         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2440         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2453         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2467         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2480         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2493         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2507         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.2520         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
