 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.1924         0.1136         0.0000         1.0000         1.0000         1.0000
         0.0013         0.1924         0.1136         0.0000         1.0000         1.0000         1.0000
         0.0027         0.1925         0.1137         0.0000         1.0000         1.0000         1.0000
         0.0040         0.1925         0.1137         0.0000         1.0000         1.0000         1.0000
         0.0053         0.1926         0.1138         0.0000         1.0000         1.0000         1.0000
         0.0067         0.1927         0.1138         0.0000         1.0000         1.0000         1.0000
         0.0080         0.1927         0.1139         0.0000         1.0000         1.0000         1.0000
         0.0093         0.1928         0.1139         0.0000         1.0000         1.0000         1.0000
         0.0107         0.1928         0.1140         0.0000         1.0000         1.0000         1.0000
         0.0120         0.1929         0.1140         0.0000         1.0000         1.0000         1.0000
         0.0133         0.1930         0.1141         0.0000         1.0000         1.0000         1.0000
         0.0147         0.1930         0.1142         0.0000         1.0000         1.0000         1.0000
         0.0160         0.1931         0.1142         0.0000         1.0000         1.0000         1.0000
         0.0173         0.1931         0.1143         0.0000         1.0000         1.0000         1.0000
         0.0187         0.1932         0.1143         0.0000         1.0000         1.0000         1.0000
         0.0200         0.1933         0.1144         0.0000         1.0000         1.0000         1.0000
         0.0213         0.1933         0.1144         0.0000         1.0000         1.0000         1.0000
         0.0227         0.1934         0.1145         0.0000         1.0000         1.0000         1.0000
         0.0240         0.1934         0.1145         0.0000         1.0000         1.0000         1.0000
         0.0253         0.1935         0.1146         0.0000         1.0000         1.0000         1.0000
         0.0267         0.1936         0.1146         0.0000         1.0000         1.0000         1.0000
         0.0280         0.1936         0.1147         0.0000         1.0000         1.0000         1.0000
         0.0293         0.1937         0.1147         0.0000         1.0000         1.0000         1.0000
         0.0307         0.1937         0.1148         0.0000         1.0000         1.0000         1.0000
         0.0320         0.1938         0.1148         0.0000         1.0000         1.0000         1.0000
         0.0333         0.1939         0.1149         0.0000         1.0000         1.0000         1.0000
         0.0347         0.1939         0.1149         0.0000         1.0000         1.0000         1.0000
         0.0360         0.1940         0.1150         0.0000         1.0000         1.0000         1.0000
         0.0373         0.1940         0.1150         0.0000         1.0000         1.0000         1.0000
         0.0387         0.1941         0.1151         0.0000         1.0000         1.0000         1.0000
         0.0400         0.1942         0.1151         0.0000         1.0000         1.0000         1.0000
         0.0413         0.1942         0.1152         0.0000         1.0000         1.0000         1.0000
         0.0427         0.1943         0.1152         0.0000         1.0000         1.0000         1.0000
         0.0440         0.1943         0.1153         0.0000         1.0000         1.0000         1.0000
         0.0453         0.1944         0.1153         0.0000         1.0000         1.0000         1.0000
         0.0467         0.1945         0.1154         0.0000         1.0000         1.0000         1.0000
         0.0480         0.1945         0.1154         0.0000         1.0000         1.0000         1.0000
         0.0493         0.1946         0.1155         0.0000         1.0000         1.0000         1.0000
         0.0507         0.1946         0.1155         0.0000         1.0000         1.0000         1.0000
         0.0520         0.1947         0.1156         0.0000         1.0000         1.0000         1.0000
         0.0533         0.1948         0.1157         0.0000         1.0000         1.0000         1.0000
         0.0547         0.1948         0.1157         0.0000         1.0000         1.0000         1.0000
         0.0560         0.1949         0.1158         0.0000         1.0000         1.0000         1.0000
         0.0573         0.1949         0.1158         0.0000         1.0000         1.0000         1.0000
         0.0587         0.1950         0.1159         0.0000         1.0000         1.0000         1.0000
         0.0600         0.1951         0.1159         0.0000         1.0000         1.0000         1.0000
         0.0613         0.1951         0.1160         0.0000         1.0000         1.0000         1.0000
         0.0627         0.1952         0.1160         0.0000         1.0000         1.0000         1.0000
         0.0640         0.1952         0.1161         0.0000         1.0000         1.0000         1.0000
         0.0653         0.1953         0.1161         0.0000         1.0000         1.0000         1.0000
         0.0667         0.1954         0.1162         0.0000         1.0000         1.0000         1.0000
         0.0680         0.1954         0.1162         0.0000         1.0000         1.0000         1.0000
         0.0693         0.1955         0.1163         0.0000         1.0000         1.0000         1.0000
         0.0707         0.1955         0.1163         0.0000         1.0000         1.0000         1.0000
         0.0720         0.1956         0.1164         0.0000         1.0000         1.0000         1.0000
         0.0733         0.1957         0.1164         0.0000         1.0000         1.0000         1.0000
         0.0747         0.1957         0.1165         0.0000         1.0000         1.0000         1.0000
         0.0760         0.1958         0.1165         0.0000         1.0000         1.0000         1.0000
         0.0773         0.1958         0.1166         0.0000         1.0000         1.0000         1.0000
         0.0787         0.1959         0.1167         0.0000         1.0000         1.0000         1.0000
         0.0800         0.1960         0.1167         0.0000         1.0000         1.0000         1.0000
         0.0813         0.1960         0.1168         0.0000         1.0000         1.0000         1.0000
         0.0827         0.1961         0.1168         0.0000         1.0000         1.0000         1.0000
         0.0840         0.1962         0.1169         0.0000         1.0000         1.0000         1.0000
         0.0853         0.1962         0.1169         0.0000         1.0000         1.0000         1.0000
         0.0867         0.1963         0.1170         0.0000         1.0000         1.0000         1.0000
         0.0880         0.1963         0.1170         0.0000         1.0000         1.0000         1.0000
         0.0893         0.1964         0.1171         0.0000         1.0000         1.0000         1.0000
         0.0907         0.1965         0.1171         0.0000         1.0000         1.0000         1.0000
         0.0920         0.1965         0.1172         0.0000         1.0000         1.0000         1.0000
         0.0933         0.1966         0.1172         0.0000         1.0000         1.0000         1.0000
         0.0947         0.1966         0.1173         0.0000         1.0000         1.0000         1.0000
         0.0960         0.1967         0.1174         0.0000         1.0000         1.0000         1.0000
         0.0973         0.1968         0.1174         0.0000         1.0000         1.0000         1.0000
         0.0987         0.1968         0.1175         0.0000         1.0000         1.0000         1.0000
         0.1000         0.1969         0.1175         0.0000         1.0000         1.0000         1.0000
         0.1013         0.1970         0.1176         0.0000         1.0000         1.0000         1.0000
         0.1027         0.1970         0.1176         0.0000         1.0000         1.0000         1.0000
         0.1040         0.1971         0.1177         0.0000         1.0000         1.0000         1.0000
         0.1053         0.1971         0.1177         0.0000         1.0000         1.0000         1.0000
         0.1067         0.1972         0.1178         0.0000         1.0000         1.0000         1.0000
         0.1080         0.1973         0.1178         0.0000         1.0000         1.0000         1.0000
         0.1093         0.1973         0.1179         0.0000         1.0000         1.0000         1.0000
         0.1107         0.1974         0.1179         0.0000         1.0000         1.0000         1.0000
         0.1120         0.1975         0.1180         0.0000         1.0000         1.0000         1.0000
         0.1133         0.1975         0.1181         0.0000         1.0000         1.0000         1.0000
         0.1147         0.1976         0.1181         0.0000         1.0000         1.0000         1.0000
         0.1160         0.1976         0.1182         0.0000         1.0000         1.0000         1.0000
         0.1173         0.1977         0.1182         0.0000         1.0000         1.0000         1.0000
         0.1187         0.1978         0.1183         0.0000         1.0000         1.0000         1.0000
         0.1200         0.1978         0.1183         0.0000         1.0000         1.0000         1.0000
         0.1213         0.1979         0.1184         0.0000         1.0000         1.0000         1.0000
         0.1227         0.1979         0.1184         0.0000         1.0000         1.0000         1.0000
         0.1240         0.1980         0.1185         0.0000         1.0000         1.0000         1.0000
         0.1253         0.1981         0.1186         0.0000         1.0000         1.0000         1.0000
         0.1267         0.1981         0.1186         0.0000         1.0000         1.0000         1.0000
         0.1280         0.1982         0.1187         0.0000         1.0000         1.0000         1.0000
         0.1293         0.1983         0.1187         0.0000         1.0000         1.0000         1.0000
         0.1307         0.1983         0.1188         0.0000         1.0000         1.0000         1.0000
