 #  energy  x  y  z  sp  sm
         0.0000         2.5625         2.0167         1.0000         2.3030         2.3087
         0.0013         2.5630         2.0171         1.0000         2.3034         2.3091
         0.0027         2.5634         2.0174         1.0000         2.3038         2.3095
         0.0040         2.5638         2.0178         1.0000         2.3042         2.3098
         0.0053         2.5642         2.0181         1.0000         2.3045         2.3102
         0.0067         2.5647         2.0185         1.0000         2.3049         2.3106
         0.0080         2.5651         2.0188         1.0000         2.3053         2.3110
         0.0093         2.5655         2.0191         1.0000         2.3057         2.3114
         0.0107         2.5660         2.0195         1.0000         2.3061         2.3118
         0.0120         2.5664         2.0198         1.0000         2.3065         2.3122
         0.0133         2.5668         2.0202         1.0000         2.3068         2.3126
         0.0147         2.5672         2.0205         1.0000         2.3072         2.3130
         0.0160         2.5677         2.0209         1.0000         2.3076         2.3134
         0.0173         2.5681         2.0212         1.0000         2.3080         2.3138
         0.0187         2.5685         2.0215         1.0000         2.3084         2.3142
         0.0200         2.5690         2.0219         1.0000         2.3088         2.3146
         0.0213         2.5694         2.0222         1.0000         2.3092         2.3150
         0.0227         2.5698         2.0226         1.0000         2.3095         2.3153
         0.0240         2.5702         2.0229         1.0000         2.3099         2.3157
         0.0253         2.5707         2.0233         1.0000         2.3103         2.3161
         0.0267         2.5711         2.0236         1.0000         2.3107         2.3165
         0.0280         2.5715         2.0240         1.0000         2.3111         2.3169
         0.0293         2.5720         2.0243         1.0000         2.3115         2.3173
         0.0307         2.5724         2.0247         1.0000         2.3119         2.3177
         0.0320         2.5728         2.0250         1.0000         2.3123         2.3181
         0.0333         2.5733         2.0254         1.0000         2.3126         2.3185
         0.0347         2.5737         2.0257         1.0000         2.3130         2.3189
         0.0360         2.5741         2.0261         1.0000         2.3134         2.3193
         0.0373         2.5746         2.0264         1.0000         2.3138         2.3197
         0.0387         2.5750         2.0268         1.0000         2.3142         2.3201
         0.0400         2.5754         2.0271         1.0000         2.3146         2.3205
         0.0413         2.5759         2.0275         1.0000         2.3150         2.3209
         0.0427         2.5763         2.0278         1.0000         2.3154         2.3213
         0.0440         2.5767         2.0282         1.0000         2.3158         2.3217
         0.0453         2.5772         2.0285         1.0000         2.3162         2.3221
         0.0467         2.5776         2.0289         1.0000         2.3165         2.3225
         0.0480         2.5781         2.0292         1.0000         2.3169         2.3229
         0.0493         2.5785         2.0296         1.0000         2.3173         2.3233
         0.0507         2.5789         2.0299         1.0000         2.3177         2.3237
         0.0520         2.5794         2.0303         1.0000         2.3181         2.3241
         0.0533         2.5798         2.0306         1.0000         2.3185         2.3245
         0.0547         2.5802         2.0310         1.0000         2.3189         2.3249
         0.0560         2.5807         2.0314         1.0000         2.3193         2.3253
         0.0573         2.5811         2.0317         1.0000         2.3197         2.3257
         0.0587         2.5816         2.0321         1.0000         2.3201         2.3261
         0.0600         2.5820         2.0324         1.0000         2.3205         2.3265
         0.0613         2.5824         2.0328         1.0000         2.3209         2.3269
         0.0627         2.5829         2.0331         1.0000         2.3213         2.3274
         0.0640         2.5833         2.0335         1.0000         2.3217         2.3278
         0.0653         2.5838         2.0338         1.0000         2.3221         2.3282
         0.0667         2.5842         2.0342         1.0000         2.3225         2.3286
         0.0680         2.5846         2.0346         1.0000         2.3229         2.3290
         0.0693         2.5851         2.0349         1.0000         2.3233         2.3294
         0.0707         2.5855         2.0353         1.0000         2.3237         2.3298
         0.0720         2.5860         2.0356         1.0000         2.3241         2.3302
         0.0733         2.5864         2.0360         1.0000         2.3245         2.3306
         0.0747         2.5869         2.0363         1.0000         2.3249         2.3310
         0.0760         2.5873         2.0367         1.0000         2.3252         2.3314
         0.0773         2.5877         2.0371         1.0000         2.3256         2.3318
         0.0787         2.5882         2.0374         1.0000         2.3260         2.3322
         0.0800         2.5886         2.0378         1.0000         2.3264         2.3326
         0.0813         2.5891         2.0381         1.0000         2.3268         2.3331
         0.0827         2.5895         2.0385         1.0000         2.3272         2.3335
         0.0840         2.5900         2.0389         1.0000         2.3277         2.3339
         0.0853         2.5904         2.0392         1.0000         2.3281         2.3343
         0.0867         2.5909         2.0396         1.0000         2.3285         2.3347
         0.0880         2.5913         2.0400         1.0000         2.3289         2.3351
         0.0893         2.5918         2.0403         1.0000         2.3293         2.3355
         0.0907         2.5922         2.0407         1.0000         2.3297         2.3359
         0.0920         2.5927         2.0410         1.0000         2.3301         2.3363
         0.0933         2.5931         2.0414         1.0000         2.3305         2.3368
         0.0947         2.5936         2.0418         1.0000         2.3309         2.3372
         0.0960         2.5940         2.0421         1.0000         2.3313         2.3376
         0.0973         2.5944         2.0425         1.0000         2.3317         2.3380
         0.0987         2.5949         2.0429         1.0000         2.3321         2.3384
         0.1000         2.5953         2.0432         1.0000         2.3325         2.3388
         0.1013         2.5958         2.0436         1.0000         2.3329         2.3392
         0.1027         2.5963         2.0440         1.0000         2.3333         2.3397
         0.1040         2.5967         2.0443         1.0000         2.3337         2.3401
         0.1053         2.5972         2.0447         1.0000         2.3341         2.3405
         0.1067         2.5976         2.0451         1.0000         2.3345         2.3409
         0.1080         2.5981         2.0454         1.0000         2.3349         2.3413
         0.1093         2.5985         2.0458         1.0000         2.3353         2.3417
         0.1107         2.5990         2.0462         1.0000         2.3357         2.3422
         0.1120         2.5994         2.0465         1.0000         2.3361         2.3426
         0.1133         2.5999         2.0469         1.0000         2.3366         2.3430
         0.1147         2.6003         2.0473         1.0000         2.3370         2.3434
         0.1160         2.6008         2.0476         1.0000         2.3374         2.3438
         0.1173         2.6012         2.0480         1.0000         2.3378         2.3443
         0.1187         2.6017         2.0484         1.0000         2.3382         2.3447
         0.1200         2.6021         2.0488         1.0000         2.3386         2.3451
         0.1213         2.6026         2.0491         1.0000         2.3390         2.3455
         0.1227         2.6031         2.0495         1.0000         2.3394         2.3459
         0.1240         2.6035         2.0499         1.0000         2.3398         2.3464
         0.1253         2.6040         2.0502         1.0000         2.3402         2.3468
         0.1267         2.6044         2.0506         1.0000         2.3407         2.3472
         0.1280         2.6049         2.0510         1.0000         2.3411         2.3476
         0.1293         2.6053         2.0514         1.0000         2.3415         2.3480
         0.1307         2.6058         2.0517         1.0000         2.3419         2.3485
         0.1320         2.6063         2.0521         1.0000         2.3423         2.3489
         0.1333         2.6067         2.0525         1.0000         2.3427         2.3493
         0.1347         2.6072         2.0529         1.0000         2.3431         2.3497
         0.1360         2.6076         2.0532         1.0000         2.3436         2.3502
         0.1373         2.6081         2.0536         1.0000         2.3440         2.3506
         0.1387         2.6086         2.0540         1.0000         2.3444         2.3510
         0.1400         2.6090         2.0544         1.0000         2.3448         2.3514
         0.1413         2.6095         2.0547         1.0000         2.3452         2.3519
         0.1427         2.6099         2.0551         1.0000         2.3456         2.3523
         0.1440         2.6104         2.0555         1.0000         2.3460         2.3527
         0.1453         2.6109         2.0559         1.0000         2.3465         2.3532
         0.1467         2.6113         2.0562         1.0000         2.3469         2.3536
         0.1480         2.6118         2.0566         1.0000         2.3473         2.3540
         0.1493         2.6123         2.0570         1.0000         2.3477         2.3544
         0.1507         2.6127         2.0574         1.0000         2.3481         2.3549
         0.1520         2.6132         2.0578         1.0000         2.3485         2.3553
         0.1533         2.6137         2.0581         1.0000         2.3490         2.3557
         0.1547         2.6141         2.0585         1.0000         2.3494         2.3562
         0.1560         2.6146         2.0589         1.0000         2.3498         2.3566
         0.1573         2.6150         2.0593         1.0000         2.3502         2.3570
         0.1587         2.6155         2.0597         1.0000         2.3506         2.3574
         0.1600         2.6160         2.0600         1.0000         2.3511         2.3579
         0.1613         2.6164         2.0604         1.0000         2.3515         2.3583
         0.1627         2.6169         2.0608         1.0000         2.3519         2.3587
         0.1640         2.6174         2.0612         1.0000         2.3523         2.3592
         0.1653         2.6179         2.0616         1.0000         2.3528         2.3596
         0.1667         2.6183         2.0619         1.0000         2.3532         2.3600
         0.1680         2.6188         2.0623         1.0000         2.3536         2.3605
         0.1693         2.6193         2.0627         1.0000         2.3540         2.3609
         0.1707         2.6197         2.0631         1.0000         2.3544         2.3613
         0.1720         2.6202         2.0635         1.0000         2.3549         2.3618
         0.1733         2.6207         2.0639         1.0000         2.3553         2.3622
         0.1747         2.6211         2.0643         1.0000         2.3557         2.3627
         0.1760         2.6216         2.0646         1.0000         2.3561         2.3631
         0.1773         2.6221         2.0650         1.0000         2.3566         2.3635
         0.1787         2.6226         2.0654         1.0000         2.3570         2.3640
         0.1800         2.6230         2.0658         1.0000         2.3574         2.3644
         0.1813         2.6235         2.0662         1.0000         2.3579         2.3648
         0.1827         2.6240         2.0666         1.0000         2.3583         2.3653
         0.1840         2.6245         2.0670         1.0000         2.3587         2.3657
         0.1853         2.6249         2.0674         1.0000         2.3591         2.3662
         0.1867         2.6254         2.0677         1.0000         2.3596         2.3666
         0.1880         2.6259         2.0681         1.0000         2.3600         2.3670
         0.1893         2.6264         2.0685         1.0000         2.3604         2.3675
         0.1907         2.6268         2.0689         1.0000         2.3608         2.3679
         0.1920         2.6273         2.0693         1.0000         2.3613         2.3684
         0.1933         2.6278         2.0697         1.0000         2.3617         2.3688
         0.1947         2.6283         2.0701         1.0000         2.3621         2.3692
         0.1960         2.6287         2.0705         1.0000         2.3626         2.3697
         0.1973         2.6292         2.0709         1.0000         2.3630         2.3701
         0.1987         2.6297         2.0713         1.0000         2.3634         2.3706
         0.2000         2.6302         2.0717         1.0000         2.3639         2.3710
         0.2013         2.6306         2.0720         1.0000         2.3643         2.3715
         0.2027         2.6311         2.0724         1.0000         2.3647         2.3719
         0.2040         2.6316         2.0728         1.0000         2.3652         2.3723
         0.2053         2.6321         2.0732         1.0000         2.3656         2.3728
         0.2067         2.6326         2.0736         1.0000         2.3660         2.3732
         0.2080         2.6330         2.0740         1.0000         2.3665         2.3737
         0.2093         2.6335         2.0744         1.0000         2.3669         2.3741
         0.2107         2.6340         2.0748         1.0000         2.3673         2.3746
         0.2120         2.6345         2.0752         1.0000         2.3678         2.3750
         0.2133         2.6350         2.0756         1.0000         2.3682         2.3755
         0.2147         2.6355         2.0760         1.0000         2.3686         2.3759
         0.2160         2.6359         2.0764         1.0000         2.3691         2.3764
         0.2173         2.6364         2.0768         1.0000         2.3695         2.3768
         0.2187         2.6369         2.0772         1.0000         2.3699         2.3773
         0.2200         2.6374         2.0776         1.0000         2.3704         2.3777
         0.2213         2.6379         2.0780         1.0000         2.3708         2.3782
         0.2227         2.6384         2.0784         1.0000         2.3713         2.3786
         0.2240         2.6389         2.0788         1.0000         2.3717         2.3791
         0.2253         2.6393         2.0792         1.0000         2.3721         2.3795
         0.2267         2.6398         2.0796         1.0000         2.3726         2.3800
         0.2280         2.6403         2.0800         1.0000         2.3730         2.3804
         0.2293         2.6408         2.0804         1.0000         2.3735         2.3809
         0.2307         2.6413         2.0808         1.0000         2.3739         2.3813
         0.2320         2.6418         2.0812         1.0000         2.3743         2.3818
         0.2333         2.6423         2.0816         1.0000         2.3748         2.3822
         0.2347         2.6428         2.0820         1.0000         2.3752         2.3827
         0.2360         2.6432         2.0824         1.0000         2.3757         2.3831
         0.2373         2.6437         2.0828         1.0000         2.3761         2.3836
         0.2387         2.6442         2.0832         1.0000         2.3766         2.3841
         0.2400         2.6447         2.0836         1.0000         2.3770         2.3845
         0.2413         2.6452         2.0840         1.0000         2.3774         2.3850
         0.2427         2.6457         2.0844         1.0000         2.3779         2.3854
         0.2440         2.6462         2.0848         1.0000         2.3783         2.3859
         0.2453         2.6467         2.0853         1.0000         2.3788         2.3863
         0.2467         2.6472         2.0857         1.0000         2.3792         2.3868
         0.2480         2.6477         2.0861         1.0000         2.3797         2.3873
         0.2493         2.6482         2.0865         1.0000         2.3801         2.3877
         0.2507         2.6487         2.0869         1.0000         2.3806         2.3882
         0.2520         2.6492         2.0873         1.0000         2.3810         2.3886
         0.2533         2.6497         2.0877         1.0000         2.3815         2.3891
         0.2547         2.6501         2.0881         1.0000         2.3819         2.3896
         0.2560         2.6506         2.0885         1.0000         2.3824         2.3900
         0.2573         2.6511         2.0889         1.0000         2.3828         2.3905
         0.2587         2.6516         2.0893         1.0000         2.3833         2.3910
         0.2600         2.6521         2.0898         1.0000         2.3837         2.3914
         0.2613         2.6526         2.0902         1.0000         2.3842         2.3919
         0.2627         2.6531         2.0906         1.0000         2.3846         2.3923
         0.2640         2.6536         2.0910         1.0000         2.3851         2.3928
         0.2653         2.6541         2.0914         1.0000         2.3855         2.3933
         0.2667         2.6546         2.0918         1.0000         2.3860         2.3937
         0.2680         2.6551         2.0922         1.0000         2.3864         2.3942
         0.2693         2.6556         2.0927         1.0000         2.3869         2.3947
         0.2707         2.6561         2.0931         1.0000         2.3873         2.3951
         0.2720         2.6566         2.0935         1.0000         2.3878         2.3956
         0.2733         2.6571         2.0939         1.0000         2.3882         2.3961
         0.2747         2.6576         2.0943         1.0000         2.3887         2.3965
         0.2760         2.6581         2.0947         1.0000         2.3891         2.3970
         0.2773         2.6586         2.0951         1.0000         2.3896         2.3975
         0.2787         2.6591         2.0956         1.0000         2.3900         2.3979
         0.2800         2.6596         2.0960         1.0000         2.3905         2.3984
         0.2813         2.6602         2.0964         1.0000         2.3910         2.3989
         0.2827         2.6607         2.0968         1.0000         2.3914         2.3994
         0.2840         2.6612         2.0972         1.0000         2.3919         2.3998
         0.2853         2.6617         2.0977         1.0000         2.3923         2.4003
         0.2867         2.6622         2.0981         1.0000         2.3928         2.4008
         0.2880         2.6627         2.0985         1.0000         2.3932         2.4012
         0.2893         2.6632         2.0989         1.0000         2.3937         2.4017
         0.2907         2.6637         2.0993         1.0000         2.3942         2.4022
         0.2920         2.6642         2.0998         1.0000         2.3946         2.4027
         0.2933         2.6647         2.1002         1.0000         2.3951         2.4031
         0.2947         2.6652         2.1006         1.0000         2.3955         2.4036
         0.2960         2.6657         2.1010         1.0000         2.3960         2.4041
         0.2973         2.6662         2.1015         1.0000         2.3965         2.4046
         0.2987         2.6668         2.1019         1.0000         2.3969         2.4050
         0.3000         2.6673         2.1023         1.0000         2.3974         2.4055
