 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0013         0.0000         0.0000         0.0000       185.6244         0.0000         0.0000
         0.0027         0.0000         0.0000         0.0000       371.2994         0.0000         0.0000
         0.0040         0.0000         0.0000         0.0000       557.0248         0.0000         0.0000
         0.0053         0.0000         0.0000         0.0000       742.8009         0.0000         0.0000
         0.0067         0.0000         0.0000         0.0000       928.6275         0.0000         0.0000
         0.0080         0.0000         0.0000         0.0000      1114.5047         0.0000         0.0000
         0.0093         0.0000         0.0000         0.0000      1300.4328         0.0000         0.0000
         0.0107         0.0000         0.0000         0.0000      1486.4111         0.0000         0.0000
         0.0120         0.0000         0.0000         0.0000      1672.4409         0.0000         0.0000
         0.0133         0.0000         0.0000         0.0000      1858.5209         0.0000         0.0000
         0.0147         0.0000         0.0000         0.0000      2044.6520         0.0000         0.0000
         0.0160         0.0000         0.0000         0.0000      2230.8338         0.0000         0.0000
         0.0173         0.0000         0.0000         0.0000      2417.0662         0.0000         0.0000
         0.0187         0.0000         0.0000         0.0000      2603.3501         0.0000         0.0000
         0.0200         0.0000         0.0000         0.0000      2789.6846         0.0000         0.0000
         0.0213         0.0000         0.0000         0.0000      2976.0700         0.0000         0.0000
         0.0227         0.0000         0.0000         0.0000      3162.5069         0.0000         0.0000
         0.0240         0.0000         0.0000         0.0000      3348.9937         0.0000         0.0000
         0.0253         0.0000         0.0000         0.0000      3535.5331         0.0000         0.0000
         0.0267         0.0000         0.0000         0.0000      3722.1225         0.0000         0.0000
         0.0280         0.0000         0.0000         0.0000      3908.7636         0.0000         0.0000
         0.0293         0.0000         0.0000         0.0000      4095.4557         0.0000         0.0000
         0.0307         0.0000         0.0000         0.0000      4282.1986         0.0000         0.0000
         0.0320         0.0000         0.0000         0.0000      4468.9935         0.0000         0.0000
         0.0333         0.0000         0.0000         0.0000      4655.8394         0.0000         0.0000
         0.0347         0.0000         0.0000         0.0000      4842.7362         0.0000         0.0000
         0.0360         0.0000         0.0000         0.0000      5029.6839         0.0000         0.0000
         0.0373         0.0000         0.0000         0.0000      5216.6840         0.0000         0.0000
         0.0387         0.0000         0.0000         0.0000      5403.7364         0.0000         0.0000
         0.0400         0.0000         0.0000         0.0000      5590.8385         0.0000         0.0000
         0.0413         0.0000         0.0000         0.0000      5777.9931         0.0000         0.0000
         0.0427         0.0000         0.0000         0.0000      5965.1987         0.0000         0.0000
         0.0440         0.0000         0.0000         0.0000      6152.4554         0.0000         0.0000
         0.0453         0.0000         0.0000         0.0000      6339.7648         0.0000         0.0000
         0.0467         0.0000         0.0000         0.0000      6527.1253         0.0000         0.0000
         0.0480         0.0000         0.0000         0.0000      6714.5369         0.0000         0.0000
         0.0493         0.0000         0.0000         0.0000      6902.0015         0.0000         0.0000
         0.0507         0.0000         0.0000         0.0000      7089.5173         0.0000         0.0000
