 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         1.3743         0.0000         0.0000
         0.0013         0.0000         0.0000         0.0000         1.3745         0.0000         0.0000
         0.0027         0.0000         0.0000         0.0000         1.3747         0.0000         0.0000
         0.0040         0.0000         0.0000         0.0000         1.3749         0.0000         0.0000
         0.0053         0.0000         0.0000         0.0000         1.3751         0.0000         0.0000
         0.0067         0.0000         0.0000         0.0000         1.3753         0.0000         0.0000
         0.0080         0.0000         0.0000         0.0000         1.3754         0.0000         0.0000
         0.0093         0.0000         0.0000         0.0000         1.3756         0.0000         0.0000
         0.0107         0.0000         0.0000         0.0000         1.3758         0.0000         0.0000
         0.0120         0.0000         0.0000         0.0000         1.3760         0.0000         0.0000
         0.0133         0.0000         0.0000         0.0000         1.3762         0.0000         0.0000
         0.0147         0.0000         0.0000         0.0000         1.3764         0.0000         0.0000
         0.0160         0.0000         0.0000         0.0000         1.3766         0.0000         0.0000
         0.0173         0.0000         0.0000         0.0000         1.3768         0.0000         0.0000
         0.0187         0.0000         0.0000         0.0000         1.3769         0.0000         0.0000
         0.0200         0.0000         0.0000         0.0000         1.3771         0.0000         0.0000
         0.0213         0.0000         0.0000         0.0000         1.3773         0.0000         0.0000
         0.0227         0.0000         0.0000         0.0000         1.3775         0.0000         0.0000
         0.0240         0.0000         0.0000         0.0000         1.3777         0.0000         0.0000
         0.0253         0.0000         0.0000         0.0000         1.3779         0.0000         0.0000
         0.0267         0.0000         0.0000         0.0000         1.3781         0.0000         0.0000
         0.0280         0.0000         0.0000         0.0000         1.3783         0.0000         0.0000
         0.0293         0.0000         0.0000         0.0000         1.3784         0.0000         0.0000
         0.0307         0.0000         0.0000         0.0000         1.3786         0.0000         0.0000
         0.0320         0.0000         0.0000         0.0000         1.3788         0.0000         0.0000
         0.0333         0.0000         0.0000         0.0000         1.3790         0.0000         0.0000
         0.0347         0.0000         0.0000         0.0000         1.3792         0.0000         0.0000
         0.0360         0.0000         0.0000         0.0000         1.3794         0.0000         0.0000
         0.0373         0.0000         0.0000         0.0000         1.3796         0.0000         0.0000
         0.0387         0.0000         0.0000         0.0000         1.3798         0.0000         0.0000
         0.0400         0.0000         0.0000         0.0000         1.3800         0.0000         0.0000
         0.0413         0.0000         0.0000         0.0000         1.3801         0.0000         0.0000
         0.0427         0.0000         0.0000         0.0000         1.3803         0.0000         0.0000
         0.0440         0.0000         0.0000         0.0000         1.3805         0.0000         0.0000
         0.0453         0.0000         0.0000         0.0000         1.3807         0.0000         0.0000
         0.0467         0.0000         0.0000         0.0000         1.3809         0.0000         0.0000
         0.0480         0.0000         0.0000         0.0000         1.3811         0.0000         0.0000
         0.0493         0.0000         0.0000         0.0000         1.3813         0.0000         0.0000
         0.0507         0.0000         0.0000         0.0000         1.3815         0.0000         0.0000
         0.0520         0.0000         0.0000         0.0000         1.3817         0.0000         0.0000
         0.0533         0.0000         0.0000         0.0000         1.3819         0.0000         0.0000
         0.0547         0.0000         0.0000         0.0000         1.3820         0.0000         0.0000
         0.0560         0.0000         0.0000         0.0000         1.3822         0.0000         0.0000
         0.0573         0.0000         0.0000         0.0000         1.3824         0.0000         0.0000
         0.0587         0.0000         0.0000         0.0000         1.3826         0.0000         0.0000
         0.0600         0.0000         0.0000         0.0000         1.3828         0.0000         0.0000
         0.0613         0.0000         0.0000         0.0000         1.3830         0.0000         0.0000
         0.0627         0.0000         0.0000         0.0000         1.3832         0.0000         0.0000
         0.0640         0.0000         0.0000         0.0000         1.3834         0.0000         0.0000
         0.0653         0.0000         0.0000         0.0000         1.3836         0.0000         0.0000
         0.0667         0.0000         0.0000         0.0000         1.3838         0.0000         0.0000
         0.0680         0.0000         0.0000         0.0000         1.3840         0.0000         0.0000
         0.0693         0.0000         0.0000         0.0000         1.3841         0.0000         0.0000
         0.0707         0.0000         0.0000         0.0000         1.3843         0.0000         0.0000
         0.0720         0.0000         0.0000         0.0000         1.3845         0.0000         0.0000
         0.0733         0.0000         0.0000         0.0000         1.3847         0.0000         0.0000
         0.0747         0.0000         0.0000         0.0000         1.3849         0.0000         0.0000
         0.0760         0.0000         0.0000         0.0000         1.3851         0.0000         0.0000
         0.0773         0.0000         0.0000         0.0000         1.3853         0.0000         0.0000
         0.0787         0.0000         0.0000         0.0000         1.3855         0.0000         0.0000
         0.0800         0.0000         0.0000         0.0000         1.3857         0.0000         0.0000
         0.0813         0.0000         0.0000         0.0000         1.3859         0.0000         0.0000
         0.0827         0.0000         0.0000         0.0000         1.3861         0.0000         0.0000
         0.0840         0.0000         0.0000         0.0000         1.3863         0.0000         0.0000
         0.0853         0.0000         0.0000         0.0000         1.3864         0.0000         0.0000
         0.0867         0.0000         0.0000         0.0000         1.3866         0.0000         0.0000
         0.0880         0.0000         0.0000         0.0000         1.3868         0.0000         0.0000
         0.0893         0.0000         0.0000         0.0000         1.3870         0.0000         0.0000
         0.0907         0.0000         0.0000         0.0000         1.3872         0.0000         0.0000
         0.0920         0.0000         0.0000         0.0000         1.3874         0.0000         0.0000
         0.0933         0.0000         0.0000         0.0000         1.3876         0.0000         0.0000
         0.0947         0.0000         0.0000         0.0000         1.3878         0.0000         0.0000
         0.0960         0.0000         0.0000         0.0000         1.3880         0.0000         0.0000
         0.0973         0.0000         0.0000         0.0000         1.3882         0.0000         0.0000
         0.0987         0.0000         0.0000         0.0000         1.3884         0.0000         0.0000
         0.1000         0.0000         0.0000         0.0000         1.3886         0.0000         0.0000
         0.1013         0.0000         0.0000         0.0000         1.3888         0.0000         0.0000
         0.1027         0.0000         0.0000         0.0000         1.3890         0.0000         0.0000
         0.1040         0.0000         0.0000         0.0000         1.3891         0.0000         0.0000
         0.1053         0.0000         0.0000         0.0000         1.3893         0.0000         0.0000
         0.1067         0.0000         0.0000         0.0000         1.3895         0.0000         0.0000
         0.1080         0.0000         0.0000         0.0000         1.3897         0.0000         0.0000
         0.1093         0.0000         0.0000         0.0000         1.3899         0.0000         0.0000
         0.1107         0.0000         0.0000         0.0000         1.3901         0.0000         0.0000
         0.1120         0.0000         0.0000         0.0000         1.3903         0.0000         0.0000
         0.1133         0.0000         0.0000         0.0000         1.3905         0.0000         0.0000
         0.1147         0.0000         0.0000         0.0000         1.3907         0.0000         0.0000
         0.1160         0.0000         0.0000         0.0000         1.3909         0.0000         0.0000
         0.1173         0.0000         0.0000         0.0000         1.3911         0.0000         0.0000
         0.1187         0.0000         0.0000         0.0000         1.3913         0.0000         0.0000
         0.1200         0.0000         0.0000         0.0000         1.3915         0.0000         0.0000
         0.1213         0.0000         0.0000         0.0000         1.3917         0.0000         0.0000
         0.1227         0.0000         0.0000         0.0000         1.3919         0.0000         0.0000
         0.1240         0.0000         0.0000         0.0000         1.3921         0.0000         0.0000
         0.1253         0.0000         0.0000         0.0000         1.3923         0.0000         0.0000
         0.1267         0.0000         0.0000         0.0000         1.3924         0.0000         0.0000
         0.1280         0.0000         0.0000         0.0000         1.3926         0.0000         0.0000
         0.1293         0.0000         0.0000         0.0000         1.3928         0.0000         0.0000
         0.1307         0.0000         0.0000         0.0000         1.3930         0.0000         0.0000
         0.1320         0.0000         0.0000         0.0000         1.3932         0.0000         0.0000
         0.1333         0.0000         0.0000         0.0000         1.3934         0.0000         0.0000
