 #  energy  x  y  z  sp  sm
         0.0000         0.1698         0.0955         0.0000         0.1352         0.1352
         0.0013         0.1699         0.0955         0.0000         0.1352         0.1352
         0.0027         0.1699         0.0955         0.0000         0.1353         0.1353
         0.0040         0.1700         0.0956         0.0000         0.1353         0.1353
         0.0053         0.1700         0.0956         0.0000         0.1354         0.1354
         0.0067         0.1700         0.0956         0.0000         0.1354         0.1354
         0.0080         0.1701         0.0957         0.0000         0.1355         0.1355
         0.0093         0.1701         0.0957         0.0000         0.1355         0.1355
         0.0107         0.1702         0.0958         0.0000         0.1355         0.1355
         0.0120         0.1702         0.0958         0.0000         0.1356         0.1356
         0.0133         0.1703         0.0958         0.0000         0.1356         0.1356
         0.0147         0.1703         0.0959         0.0000         0.1357         0.1357
         0.0160         0.1704         0.0959         0.0000         0.1357         0.1357
         0.0173         0.1704         0.0959         0.0000         0.1357         0.1357
         0.0187         0.1705         0.0960         0.0000         0.1358         0.1358
         0.0200         0.1705         0.0960         0.0000         0.1358         0.1358
         0.0213         0.1705         0.0960         0.0000         0.1359         0.1359
         0.0227         0.1706         0.0961         0.0000         0.1359         0.1359
         0.0240         0.1706         0.0961         0.0000         0.1360         0.1360
         0.0253         0.1707         0.0962         0.0000         0.1360         0.1360
         0.0267         0.1707         0.0962         0.0000         0.1360         0.1360
         0.0280         0.1708         0.0962         0.0000         0.1361         0.1361
         0.0293         0.1708         0.0963         0.0000         0.1361         0.1361
         0.0307         0.1709         0.0963         0.0000         0.1362         0.1362
         0.0320         0.1709         0.0963         0.0000         0.1362         0.1362
         0.0333         0.1710         0.0964         0.0000         0.1362         0.1362
         0.0347         0.1710         0.0964         0.0000         0.1363         0.1363
         0.0360         0.1710         0.0964         0.0000         0.1363         0.1363
         0.0373         0.1711         0.0965         0.0000         0.1364         0.1364
         0.0387         0.1711         0.0965         0.0000         0.1364         0.1364
         0.0400         0.1712         0.0966         0.0000         0.1365         0.1365
         0.0413         0.1712         0.0966         0.0000         0.1365         0.1365
         0.0427         0.1713         0.0966         0.0000         0.1365         0.1365
         0.0440         0.1713         0.0967         0.0000         0.1366         0.1366
         0.0453         0.1714         0.0967         0.0000         0.1366         0.1366
         0.0467         0.1714         0.0967         0.0000         0.1367         0.1367
         0.0480         0.1715         0.0968         0.0000         0.1367         0.1367
         0.0493         0.1715         0.0968         0.0000         0.1368         0.1368
         0.0507         0.1716         0.0969         0.0000         0.1368         0.1368
         0.0520         0.1716         0.0969         0.0000         0.1368         0.1368
         0.0533         0.1716         0.0969         0.0000         0.1369         0.1369
         0.0547         0.1717         0.0970         0.0000         0.1369         0.1369
         0.0560         0.1717         0.0970         0.0000         0.1370         0.1370
         0.0573         0.1718         0.0970         0.0000         0.1370         0.1370
         0.0587         0.1718         0.0971         0.0000         0.1370         0.1371
         0.0600         0.1719         0.0971         0.0000         0.1371         0.1371
         0.0613         0.1719         0.0971         0.0000         0.1371         0.1371
         0.0627         0.1720         0.0972         0.0000         0.1372         0.1372
         0.0640         0.1720         0.0972         0.0000         0.1372         0.1372
         0.0653         0.1721         0.0973         0.0000         0.1373         0.1373
         0.0667         0.1721         0.0973         0.0000         0.1373         0.1373
         0.0680         0.1721         0.0973         0.0000         0.1373         0.1373
         0.0693         0.1722         0.0974         0.0000         0.1374         0.1374
         0.0707         0.1722         0.0974         0.0000         0.1374         0.1374
         0.0720         0.1723         0.0974         0.0000         0.1375         0.1375
         0.0733         0.1723         0.0975         0.0000         0.1375         0.1375
         0.0747         0.1724         0.0975         0.0000         0.1376         0.1376
         0.0760         0.1724         0.0976         0.0000         0.1376         0.1376
         0.0773         0.1725         0.0976         0.0000         0.1376         0.1376
         0.0787         0.1725         0.0976         0.0000         0.1377         0.1377
         0.0800         0.1726         0.0977         0.0000         0.1377         0.1377
         0.0813         0.1726         0.0977         0.0000         0.1378         0.1378
         0.0827         0.1727         0.0977         0.0000         0.1378         0.1378
         0.0840         0.1727         0.0978         0.0000         0.1379         0.1379
         0.0853         0.1728         0.0978         0.0000         0.1379         0.1379
         0.0867         0.1728         0.0979         0.0000         0.1379         0.1379
         0.0880         0.1728         0.0979         0.0000         0.1380         0.1380
         0.0893         0.1729         0.0979         0.0000         0.1380         0.1380
         0.0907         0.1729         0.0980         0.0000         0.1381         0.1381
         0.0920         0.1730         0.0980         0.0000         0.1381         0.1381
         0.0933         0.1730         0.0980         0.0000         0.1382         0.1382
         0.0947         0.1731         0.0981         0.0000         0.1382         0.1382
         0.0960         0.1731         0.0981         0.0000         0.1382         0.1383
         0.0973         0.1732         0.0982         0.0000         0.1383         0.1383
         0.0987         0.1732         0.0982         0.0000         0.1383         0.1383
         0.1000         0.1733         0.0982         0.0000         0.1384         0.1384
         0.1013         0.1733         0.0983         0.0000         0.1384         0.1384
         0.1027         0.1734         0.0983         0.0000         0.1385         0.1385
         0.1040         0.1734         0.0984         0.0000         0.1385         0.1385
         0.1053         0.1735         0.0984         0.0000         0.1386         0.1386
         0.1067         0.1735         0.0984         0.0000         0.1386         0.1386
         0.1080         0.1735         0.0985         0.0000         0.1386         0.1386
         0.1093         0.1736         0.0985         0.0000         0.1387         0.1387
         0.1107         0.1736         0.0985         0.0000         0.1387         0.1387
         0.1120         0.1737         0.0986         0.0000         0.1388         0.1388
         0.1133         0.1737         0.0986         0.0000         0.1388         0.1388
         0.1147         0.1738         0.0987         0.0000         0.1389         0.1389
         0.1160         0.1738         0.0987         0.0000         0.1389         0.1389
         0.1173         0.1739         0.0987         0.0000         0.1389         0.1389
         0.1187         0.1739         0.0988         0.0000         0.1390         0.1390
         0.1200         0.1740         0.0988         0.0000         0.1390         0.1390
         0.1213         0.1740         0.0988         0.0000         0.1391         0.1391
         0.1227         0.1741         0.0989         0.0000         0.1391         0.1391
         0.1240         0.1741         0.0989         0.0000         0.1392         0.1392
         0.1253         0.1742         0.0990         0.0000         0.1392         0.1392
         0.1267         0.1742         0.0990         0.0000         0.1393         0.1393
         0.1280         0.1743         0.0990         0.0000         0.1393         0.1393
         0.1293         0.1743         0.0991         0.0000         0.1393         0.1393
         0.1307         0.1743         0.0991         0.0000         0.1394         0.1394
         0.1320         0.1744         0.0992         0.0000         0.1394         0.1394
         0.1333         0.1744         0.0992         0.0000         0.1395         0.1395
         0.1347         0.1745         0.0992         0.0000         0.1395         0.1395
         0.1360         0.1745         0.0993         0.0000         0.1396         0.1396
         0.1373         0.1746         0.0993         0.0000         0.1396         0.1396
         0.1387         0.1746         0.0993         0.0000         0.1396         0.1396
         0.1400         0.1747         0.0994         0.0000         0.1397         0.1397
         0.1413         0.1747         0.0994         0.0000         0.1397         0.1397
         0.1427         0.1748         0.0995         0.0000         0.1398         0.1398
         0.1440         0.1748         0.0995         0.0000         0.1398         0.1398
         0.1453         0.1749         0.0995         0.0000         0.1399         0.1399
         0.1467         0.1749         0.0996         0.0000         0.1399         0.1399
         0.1480         0.1750         0.0996         0.0000         0.1400         0.1400
         0.1493         0.1750         0.0997         0.0000         0.1400         0.1400
         0.1507         0.1751         0.0997         0.0000         0.1400         0.1400
         0.1520         0.1751         0.0997         0.0000         0.1401         0.1401
         0.1533         0.1752         0.0998         0.0000         0.1401         0.1401
         0.1547         0.1752         0.0998         0.0000         0.1402         0.1402
         0.1560         0.1753         0.0999         0.0000         0.1402         0.1402
         0.1573         0.1753         0.0999         0.0000         0.1403         0.1403
         0.1587         0.1753         0.0999         0.0000         0.1403         0.1403
         0.1600         0.1754         0.1000         0.0000         0.1404         0.1404
         0.1613         0.1754         0.1000         0.0000         0.1404         0.1404
         0.1627         0.1755         0.1000         0.0000         0.1404         0.1404
         0.1640         0.1755         0.1001         0.0000         0.1405         0.1405
         0.1653         0.1756         0.1001         0.0000         0.1405         0.1405
         0.1667         0.1756         0.1002         0.0000         0.1406         0.1406
         0.1680         0.1757         0.1002         0.0000         0.1406         0.1406
         0.1693         0.1757         0.1002         0.0000         0.1407         0.1407
         0.1707         0.1758         0.1003         0.0000         0.1407         0.1407
         0.1720         0.1758         0.1003         0.0000         0.1408         0.1408
         0.1733         0.1759         0.1004         0.0000         0.1408         0.1408
         0.1747         0.1759         0.1004         0.0000         0.1408         0.1409
         0.1760         0.1760         0.1004         0.0000         0.1409         0.1409
         0.1773         0.1760         0.1005         0.0000         0.1409         0.1409
         0.1787         0.1761         0.1005         0.0000         0.1410         0.1410
         0.1800         0.1761         0.1006         0.0000         0.1410         0.1410
