 #  energy  x  y  z  sp  sm
         0.0000         2.4019         1.8943         1.0000         2.1630         2.1631
         0.0013         2.4022         1.8945         1.0000         2.1633         2.1633
         0.0027         2.4026         1.8948         1.0000         2.1636         2.1636
         0.0040         2.4029         1.8950         1.0000         2.1639         2.1639
         0.0053         2.4032         1.8952         1.0000         2.1642         2.1642
         0.0067         2.4035         1.8955         1.0000         2.1645         2.1645
         0.0080         2.4038         1.8957         1.0000         2.1647         2.1647
         0.0093         2.4041         1.8960         1.0000         2.1650         2.1650
         0.0107         2.4045         1.8962         1.0000         2.1653         2.1653
         0.0120         2.4048         1.8965         1.0000         2.1656         2.1656
         0.0133         2.4051         1.8967         1.0000         2.1659         2.1659
         0.0147         2.4054         1.8970         1.0000         2.1662         2.1662
         0.0160         2.4057         1.8972         1.0000         2.1664         2.1664
         0.0173         2.4060         1.8975         1.0000         2.1667         2.1667
         0.0187         2.4064         1.8977         1.0000         2.1670         2.1670
         0.0200         2.4067         1.8979         1.0000         2.1673         2.1673
         0.0213         2.4070         1.8982         1.0000         2.1676         2.1676
         0.0227         2.4073         1.8984         1.0000         2.1679         2.1679
         0.0240         2.4076         1.8987         1.0000         2.1681         2.1682
         0.0253         2.4080         1.8989         1.0000         2.1684         2.1684
         0.0267         2.4083         1.8992         1.0000         2.1687         2.1687
         0.0280         2.4086         1.8994         1.0000         2.1690         2.1690
         0.0293         2.4089         1.8997         1.0000         2.1693         2.1693
         0.0307         2.4092         1.8999         1.0000         2.1696         2.1696
         0.0320         2.4096         1.9002         1.0000         2.1699         2.1699
         0.0333         2.4099         1.9004         1.0000         2.1701         2.1702
         0.0347         2.4102         1.9007         1.0000         2.1704         2.1704
         0.0360         2.4105         1.9009         1.0000         2.1707         2.1707
         0.0373         2.4108         1.9012         1.0000         2.1710         2.1710
         0.0387         2.4112         1.9014         1.0000         2.1713         2.1713
         0.0400         2.4115         1.9017         1.0000         2.1716         2.1716
         0.0413         2.4118         1.9019         1.0000         2.1719         2.1719
         0.0427         2.4121         1.9022         1.0000         2.1722         2.1722
         0.0440         2.4124         1.9024         1.0000         2.1724         2.1725
         0.0453         2.4128         1.9027         1.0000         2.1727         2.1727
         0.0467         2.4131         1.9029         1.0000         2.1730         2.1730
         0.0480         2.4134         1.9032         1.0000         2.1733         2.1733
         0.0493         2.4137         1.9034         1.0000         2.1736         2.1736
         0.0507         2.4141         1.9037         1.0000         2.1739         2.1739
         0.0520         2.4144         1.9039         1.0000         2.1742         2.1742
         0.0533         2.4147         1.9042         1.0000         2.1745         2.1745
         0.0547         2.4150         1.9044         1.0000         2.1747         2.1748
         0.0560         2.4153         1.9047         1.0000         2.1750         2.1750
         0.0573         2.4157         1.9049         1.0000         2.1753         2.1753
         0.0587         2.4160         1.9052         1.0000         2.1756         2.1756
         0.0600         2.4163         1.9054         1.0000         2.1759         2.1759
         0.0613         2.4166         1.9057         1.0000         2.1762         2.1762
         0.0627         2.4170         1.9059         1.0000         2.1765         2.1765
         0.0640         2.4173         1.9062         1.0000         2.1768         2.1768
         0.0653         2.4176         1.9064         1.0000         2.1771         2.1771
         0.0667         2.4179         1.9067         1.0000         2.1774         2.1774
         0.0680         2.4183         1.9069         1.0000         2.1776         2.1777
         0.0693         2.4186         1.9072         1.0000         2.1779         2.1780
         0.0707         2.4189         1.9074         1.0000         2.1782         2.1782
         0.0720         2.4192         1.9077         1.0000         2.1785         2.1785
         0.0733         2.4196         1.9079         1.0000         2.1788         2.1788
         0.0747         2.4199         1.9082         1.0000         2.1791         2.1791
         0.0760         2.4202         1.9084         1.0000         2.1794         2.1794
         0.0773         2.4205         1.9087         1.0000         2.1797         2.1797
         0.0787         2.4209         1.9089         1.0000         2.1800         2.1800
         0.0800         2.4212         1.9092         1.0000         2.1803         2.1803
         0.0813         2.4215         1.9094         1.0000         2.1806         2.1806
         0.0827         2.4219         1.9097         1.0000         2.1809         2.1809
         0.0840         2.4222         1.9100         1.0000         2.1812         2.1812
         0.0853         2.4225         1.9102         1.0000         2.1814         2.1815
         0.0867         2.4228         1.9105         1.0000         2.1817         2.1818
         0.0880         2.4232         1.9107         1.0000         2.1820         2.1820
         0.0893         2.4235         1.9110         1.0000         2.1823         2.1823
         0.0907         2.4238         1.9112         1.0000         2.1826         2.1826
         0.0920         2.4242         1.9115         1.0000         2.1829         2.1829
         0.0933         2.4245         1.9117         1.0000         2.1832         2.1832
         0.0947         2.4248         1.9120         1.0000         2.1835         2.1835
         0.0960         2.4251         1.9123         1.0000         2.1838         2.1838
         0.0973         2.4255         1.9125         1.0000         2.1841         2.1841
         0.0987         2.4258         1.9128         1.0000         2.1844         2.1844
         0.1000         2.4261         1.9130         1.0000         2.1847         2.1847
         0.1013         2.4265         1.9133         1.0000         2.1850         2.1850
         0.1027         2.4268         1.9135         1.0000         2.1853         2.1853
         0.1040         2.4271         1.9138         1.0000         2.1856         2.1856
         0.1053         2.4274         1.9140         1.0000         2.1859         2.1859
         0.1067         2.4278         1.9143         1.0000         2.1862         2.1862
         0.1080         2.4281         1.9146         1.0000         2.1865         2.1865
         0.1093         2.4284         1.9148         1.0000         2.1868         2.1868
         0.1107         2.4288         1.9151         1.0000         2.1871         2.1871
         0.1120         2.4291         1.9153         1.0000         2.1874         2.1874
         0.1133         2.4294         1.9156         1.0000         2.1876         2.1877
         0.1147         2.4298         1.9159         1.0000         2.1879         2.1880
         0.1160         2.4301         1.9161         1.0000         2.1882         2.1883
         0.1173         2.4304         1.9164         1.0000         2.1885         2.1886
         0.1187         2.4308         1.9166         1.0000         2.1888         2.1889
         0.1200         2.4311         1.9169         1.0000         2.1891         2.1891
         0.1213         2.4314         1.9171         1.0000         2.1894         2.1894
         0.1227         2.4318         1.9174         1.0000         2.1897         2.1897
         0.1240         2.4321         1.9177         1.0000         2.1900         2.1900
         0.1253         2.4324         1.9179         1.0000         2.1903         2.1903
