 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         2.4019         1.8943         1.0000         0.0000         0.0000         0.0000
         0.0013         2.4022         1.8945         1.0000         0.0000         0.0000         0.0000
         0.0027         2.4026         1.8948         1.0000         0.0000         0.0000         0.0000
         0.0040         2.4029         1.8950         1.0000         0.0000         0.0000         0.0000
         0.0053         2.4032         1.8952         1.0000         0.0000         0.0000         0.0000
         0.0067         2.4035         1.8955         1.0000         0.0000         0.0000         0.0000
         0.0080         2.4038         1.8957         1.0000         0.0000         0.0000         0.0000
         0.0093         2.4041         1.8960         1.0000         0.0000         0.0000         0.0000
         0.0107         2.4045         1.8962         1.0000         0.0000         0.0000         0.0000
         0.0120         2.4048         1.8965         1.0000         0.0000         0.0000         0.0000
         0.0133         2.4051         1.8967         1.0000         0.0000         0.0000         0.0000
         0.0147         2.4054         1.8970         1.0000         0.0000         0.0000         0.0000
         0.0160         2.4057         1.8972         1.0000         0.0000         0.0000         0.0000
         0.0173         2.4060         1.8975         1.0000         0.0000         0.0000         0.0000
         0.0187         2.4064         1.8977         1.0000         0.0000         0.0000         0.0000
         0.0200         2.4067         1.8979         1.0000         0.0000         0.0000         0.0000
         0.0213         2.4070         1.8982         1.0000         0.0000         0.0000         0.0000
         0.0227         2.4073         1.8984         1.0000         0.0000         0.0000         0.0000
         0.0240         2.4076         1.8987         1.0000         0.0000         0.0000         0.0000
         0.0253         2.4080         1.8989         1.0000         0.0000         0.0000         0.0000
         0.0267         2.4083         1.8992         1.0000         0.0000         0.0000         0.0000
         0.0280         2.4086         1.8994         1.0000         0.0000         0.0000         0.0000
         0.0293         2.4089         1.8997         1.0000         0.0000         0.0000         0.0000
         0.0307         2.4092         1.8999         1.0000         0.0000         0.0000         0.0000
         0.0320         2.4096         1.9002         1.0000         0.0000         0.0000         0.0000
         0.0333         2.4099         1.9004         1.0000         0.0000         0.0000         0.0000
         0.0347         2.4102         1.9007         1.0000         0.0000         0.0000         0.0000
         0.0360         2.4105         1.9009         1.0000         0.0000         0.0000         0.0000
         0.0373         2.4108         1.9012         1.0000         0.0000         0.0000         0.0000
         0.0387         2.4112         1.9014         1.0000         0.0000         0.0000         0.0000
         0.0400         2.4115         1.9017         1.0000         0.0000         0.0000         0.0000
         0.0413         2.4118         1.9019         1.0000         0.0000         0.0000         0.0000
         0.0427         2.4121         1.9022         1.0000         0.0000         0.0000         0.0000
         0.0440         2.4124         1.9024         1.0000         0.0000         0.0000         0.0000
         0.0453         2.4128         1.9027         1.0000         0.0000         0.0000         0.0000
         0.0467         2.4131         1.9029         1.0000         0.0000         0.0000         0.0000
         0.0480         2.4134         1.9032         1.0000         0.0000         0.0000         0.0000
         0.0493         2.4137         1.9034         1.0000         0.0000         0.0000         0.0000
         0.0507         2.4141         1.9037         1.0000         0.0000         0.0000         0.0000
         0.0520         2.4144         1.9039         1.0000         0.0000         0.0000         0.0000
         0.0533         2.4147         1.9042         1.0000         0.0000         0.0000         0.0000
         0.0547         2.4150         1.9044         1.0000         0.0000         0.0000         0.0000
         0.0560         2.4153         1.9047         1.0000         0.0000         0.0000         0.0000
         0.0573         2.4157         1.9049         1.0000         0.0000         0.0000         0.0000
         0.0587         2.4160         1.9052         1.0000         0.0000         0.0000         0.0000
         0.0600         2.4163         1.9054         1.0000         0.0000         0.0000         0.0000
         0.0613         2.4166         1.9057         1.0000         0.0000         0.0000         0.0000
         0.0627         2.4170         1.9059         1.0000         0.0000         0.0000         0.0000
         0.0640         2.4173         1.9062         1.0000         0.0000         0.0000         0.0000
         0.0653         2.4176         1.9064         1.0000         0.0000         0.0000         0.0000
